country_code,output,expenditure,deficit,gdp,labor,rnd_gdp,price_level
1.0,30854950.868165,31410982.705736004,-556031.8375710025,17550680174000.0,211539193.0,0.027215099334716802,1.0
2.0,37930169.469122,37706672.505100004,223496.96402199566,20896718957772.383,396232714.0,0.019751738288904475,1.0177304442146153
3.0,8859278.384127,8947899.365635,-88620.98150799982,4896994405353.29,77229906.0,0.0336788010597229,0.972696106350949
4.0,28686111.518991,28401086.325425003,285025.1935659982,10475682920594.5,987820941.0,0.0202242994308472,0.611851720421537
5.0,4162552.130715,4226690.611757,-64138.481042,2455993625159.37,141291467.0,0.0126970994472504,0.770591189898789
6.0,3912880.653877,3947126.7145459997,-34246.060668999795,2039127446299.3,854999441.0,0.00701590001583099,0.300710932885399
7.0,3145797.461717,3166739.218216,-20941.756498999894,1805749878439.94,24147355.0,0.0171416997909546,1.11370101260246
8.0,3428364.443147,3317694.274948,110670.16819899995,1484318219633.63,37173037.0,0.0407785987854004,0.8280252275298379
9.0,3358103.6989370002,3277844.503466,80259.19547100039,2059241965490.83,101033855.0,0.0107240998744965,0.54715632833223
10.0,2796604.203048,2804894.8697780003,-8290.666730000172,1467545212521.8,15593448.0,0.021784899234771702,1.33341503717984
11.0,2181524.3560079997,2205332.7024979996,-23808.34648999991,1315351183524.54,77325278.0,0.0043529999256134,0.605252435583976
12.0,1651003.720223,1661032.29918,-10028.578957000049,890814755233.225,171140668.0,0.0008470000326633451,0.339713685351995
13.0,9992601.954431001,9885946.766222998,106655.1882080026,12394417856962.695,1679166778.0,0.014821435737124486,0.5354325086293037
