country_code,country,fee
1,USA,13131.279215095967
2,EUR,73739.07596241559
3,JAP,23554.491595927502
4,CHN,14485.312632228184
5,BRA,21798.323325212008
6,IND,11805.695108829106
7,ROW,96319.86023979865
