,delta_dom,delta_int,welfare
USA,0.01,0.01,70.72645058807629
EUR,0.01,0.01,14.960644184851219
JAP,0.01,0.01,40.784562060322855
CHN,0.01,12.0,-8.371919515112282
BRA,0.01,12.0,-11.930506333168466
IND,0.0232952851362636,12.0,-5.579430586934805
CAN,0.01,0.01,21.55120952696916
KOR,0.01,0.01,45.48491699449201
RUS,0.01,12.0,-7.488204734099185
MEX,0.0174245226765273,11.943311146105756,-3.8170039660070643
ZAF,0.01,7.400355833399005,-3.960811261494541
ROW,0.01,5.233286537765642,-1.4466356705999033
Negishi,,,8.490065275936857
Equal,,,-3.236716718559947
