,delta_dom,delta_int,welfare
USA,0.01,0.01,70.82337877352722
EUR,0.01,0.01,15.003057348956887
JAP,0.01,0.01,40.843178761452435
CHN,0.01,12.0,-8.34658094790504
BRA,0.01,12.0,-11.905835409051363
IND,0.9097135148598144,12.0,-5.540048867229686
CAN,0.01,0.01,21.606478663066596
KOR,0.01,0.01,45.56487033451313
RUS,0.01,12.0,-7.4622748877269345
MEX,0.01,0.01,-7.67001348206999
ZAF,0.01,3.711875723250221,-3.937500430202917
ROW,0.0535363315706567,12.0,-1.3617310420906676
Negishi,,,8.435087968461815
Equal,,,-3.214072723607927
