origin_code,destination_code,sector,value
1.0,1.0,0,23914575.253097
1.0,1.0,1,9723658.019604001
1.0,2.0,0,260835.297157
1.0,2.0,1,315281.69369
1.0,3.0,0,56567.133188
1.0,3.0,1,83870.696366
1.0,4.0,0,115078.69298200001
1.0,4.0,1,116303.64202600002
1.0,5.0,0,23553.54382
1.0,5.0,1,31902.088246
1.0,6.0,0,27994.650665
1.0,6.0,1,31651.359766
1.0,7.0,0,391315.114649
1.0,7.0,1,573309.688909
2.0,1.0,0,229461.805841
2.0,1.0,1,513910.091098
2.0,2.0,0,22534409.462519
2.0,2.0,1,11560821.928083
2.0,3.0,0,48296.284350999995
2.0,3.0,1,105210.93680200001
2.0,4.0,0,134090.98636
2.0,4.0,1,275124.31276400003
2.0,5.0,0,31524.986049
2.0,5.0,1,48305.932262
2.0,6.0,0,38864.605643999996
2.0,6.0,1,71645.076687
2.0,7.0,0,393316.907005
2.0,7.0,1,702875.7960580001
3.0,1.0,0,32059.045995
3.0,1.0,1,117756.276721
3.0,2.0,0,42858.01189
3.0,2.0,1,78160.95034899999
3.0,3.0,0,4953762.096751
3.0,3.0,1,3070223.349324
3.0,4.0,0,50209.091301
3.0,4.0,1,139458.627968
3.0,5.0,0,1788.532737
3.0,5.0,1,4548.722401
3.0,6.0,0,4830.87271
3.0,6.0,1,16213.524618
3.0,7.0,0,81143.516482
3.0,7.0,1,228607.577619
4.0,1.0,0,57733.32273
4.0,1.0,1,432737.49247000006
4.0,2.0,0,69218.93239900001
4.0,2.0,1,371644.456992
4.0,3.0,0,27485.912146000002
4.0,3.0,1,163485.952953
4.0,4.0,0,17017469.42534
4.0,4.0,1,15569261.680786
4.0,5.0,0,5915.77396
4.0,5.0,1,31153.130532000003
4.0,6.0,0,11921.913922
4.0,6.0,1,92993.036112
4.0,7.0,0,131874.886037
4.0,7.0,1,760990.851363
5.0,1.0,0,12246.220979000002
5.0,1.0,1,27493.089085
5.0,2.0,0,22635.300705
5.0,2.0,1,24250.339631000003
5.0,3.0,0,14902.376178999999
5.0,3.0,1,4190.35402
5.0,4.0,0,54702.95193699999
5.0,4.0,1,11141.863838000001
5.0,5.0,0,1901519.455817
5.0,5.0,1,933559.454922
5.0,6.0,0,2966.714298
5.0,6.0,1,3571.6032920000002
5.0,7.0,0,20841.343356
5.0,7.0,1,43884.671364
6.0,1.0,0,18836.510868
6.0,1.0,1,98696.659532
6.0,2.0,0,23573.953481999997
6.0,2.0,1,94810.717236
6.0,3.0,0,3743.1014
6.0,3.0,1,10039.942038000001
6.0,4.0,0,9970.947006
6.0,4.0,1,31014.635394000004
6.0,5.0,0,1502.788845
6.0,5.0,1,5596.239759
6.0,6.0,0,3090373.57791
6.0,6.0,1,1490654.735084
6.0,7.0,0,28633.798506
6.0,7.0,1,111669.19275
7.0,1.0,0,412906.135687
7.0,1.0,1,748277.5940429999
7.0,2.0,0,542131.330065
7.0,2.0,1,454816.24537400005
7.0,3.0,0,160591.989526
7.0,3.0,1,164545.30802300002
7.0,4.0,0,483520.697162
7.0,4.0,1,497708.43089200003
7.0,5.0,0,21472.665674
7.0,5.0,1,39624.140832
7.0,6.0,0,122787.93522399999
7.0,6.0,1,101214.443192
7.0,7.0,0,16538699.090809
7.0,7.0,1,7605761.400938
