,Non patent,Patent,Pharmaceuticals,Chemicals
USA,57874.504572756734,40988.05870691089,5779.8664070675895,10898.806097156435
EUR,21482.068403994253,14589.11066133801,998.0126290694476,3503.6834311172465
JAP,21887.58682076038,15053.83272388894,99.88657732961298,3197.1527190001984
CHN,2387.5887828620102,1786.0314726908832,1193.830722810867,1165.223780280132
BRA,1736.9871710216737,1296.794596211299,68.5315688016545,455.9251724715433
IND,144.3104471098057,120.58188513013386,150.2590055903402,1.6311020385772128
CAN,18577.428668061835,12814.85889759176,46.2164840357392,3000.7723958417487
KOR,16715.140880192994,11458.519028063038,774.8857142026542,1726.4843887477869
RUS,5819.899115988219,4659.4938217602285,45.30185185750249,1577.8021834914878
MEX,3276.229231586319,2356.737732211617,702.4797982040408,618.822041813178
ZAF,1943.634592560036,1178.541082510587,1085.3642503291949,8.601982052780468
ROW,345.17750092837355,216.2283303768748,183.50255025095237,243.21150680217812
count,12.0,12.0,12.0,12.0
mean,12682.54634898522,8876.565744890357,927.3447966291329,2199.8430667344405
std,16628.555132914607,11689.409168344768,1591.32736467019,3010.4736821024853
min,144.3104471098057,120.58188513013386,45.30185185750249,1.6311020385772128
25%,1891.9727371754454,1267.231217786121,92.04782519762335,402.746756054202
50%,4548.064173787269,3508.115776985923,442.9911742274966,1371.51298188581
75%,19303.58860204494,13258.421838528322,1019.8505343843844,3049.867476631361
max,57874.504572756734,40988.05870691089,5779.8664070675895,10898.806097156435
