,Patent,Pharmaceuticals,Chemicals,welfare
USA,0.01,0.01,0.01,2.5585265580455854
EUR,0.01,0.01,0.01,2.9820113290475803
JAP,0.01,0.01,0.01,2.95540448531753
CHN,12.0,0.01,12.0,12.195658138447655
BRA,12.0,0.01,12.0,10.70726944644673
IND,12.0,12.0,12.0,10.740594282864578
CAN,0.01,0.01,0.01,4.70590340348862
KOR,0.01,0.01,0.01,4.567025303889878
RUS,12.0,0.01,12.0,10.549375022497927
MEX,12.0,0.01,12.0,10.163928662660467
ZAF,12.0,12.0,12.0,10.767692674501902
ROW,12.0,0.01,12.0,9.755355707019845
