target,moment
0.0993216572879748,0.11556441279910395
0.0992350101009959,0.0819445181506045
0.0337765958752535,0.04020824714830397
0.0006014409966876,0.0006850708685039552
0.0027053605272689,0.0030675624267595936
0.0085039190678576,0.018583726380023133
0.041527687579643,0.031476369435871364
0.0005847761600853,0.0007135649887516031
0.0003218689292825,0.0008601392802627804
0.0369035534903235,0.025690004574396554
0.0348082668091763,0.044485671442352236
0.0190091902582963,0.00986078279954407
0.0070181877531208,0.007734242493945233
0.0001567951507267,0.00020118272470849073
0.0006585759787774,0.0007336743569094441
0.0013383064509483,0.0022562047342958827
0.0059613263871823,0.008587741936426753
0.0001931654706644,0.0003242781924908102
7.378147317971125e-05,9.309329186406505e-05
0.005326310880882,0.006726482255235638
0.0316539102956662,0.03248487601433618
0.0323459548262191,0.032296122426023005
0.0075403041380073,0.0077064288699724036
7.758927331195589e-05,0.00014694841194851246
0.0003896944346476,0.0004489127079787682
0.0007865695913624,0.0016355049138873504
0.007900956106566,0.01021828946943638
0.0001376901075232,0.00017777374665021463
7.181728168821973e-05,6.686170826452847e-05
0.0049925465025773,0.006682925558127847
0.0593359097027704,0.04211812920437255
0.0655297680595555,0.07480161506734034
0.0657619087260734,0.03909819685229689
0.0002095934552592,0.0004201467346685939
0.0004665971312678,0.0014158145294397128
0.001594827234851,0.006315535005602609
0.0228934973694045,0.031476369435871364
0.0002835802972844,0.0005140882740316468
7.964985699829665e-05,0.00020947281988631164
0.0174662500341452,0.018975975685373733
0.0132040475368315,0.011143526805048704
0.0146726079635111,0.012070251242094706
0.0028662495200521,0.0016365360637354157
0.0012892416275793,0.001752481029341574
0.0002285181437857,0.00016820297726613225
0.0002833890137972,0.000560371734194595
0.0005125259675997,0.0020885747111920585
5.323767067864383e-05,4.6531583475844435e-05
6.986668793758531e-05,3.346099141829942e-05
0.0011720714181191,0.0016693431773120197
0.0208259549350984,0.015079850897471705
0.0213341227336019,0.02257088402436554
0.009073821222454,0.007496207323599287
0.0032407461295712,0.004432122484647014
0.000114970217759,9.491890333363217e-05
0.0006150992761539,0.0008422975658772214
0.0029633002666761,0.00681899765587002
0.0001698925793389,0.00010506576531957517
6.086808358232789e-05,3.5460404809671694e-05
0.0019519700384057,0.00410810549904856
0.0291657046556606,0.04144272815007316
0.0183232475636885,0.016488237095215907
0.0036728771932228,0.005406648861898863
0.0015925471420631,0.002767058465419974
0.0001229798974359,6.40971980367905e-05
0.0003083215589217,0.0002111288506463519
0.0006344601068847,0.0031755336217094963
0.0001016910705829,4.902963222543637e-05
9.92695996378262e-05,7.479029965204159e-05
0.0028379002831042,0.0021101943318345222
0.0200516751262124,0.02035532869613459
0.0204536590749746,0.02140157943548026
0.0245521812238412,0.01634720481575369
0.0053945722393737,0.0045299992543481995
2.227587172721776e-05,7.37338264089575e-05
0.0002087307079801,0.000298198944165099
0.0004815393013566,0.0008428359120098868
0.0001043428055787,0.00011872310323846797
4.5675466546939264e-05,4.610637214016842e-05
0.0028337180243314,0.0038484533946958103
0.0060356762529347,0.005463118640214069
0.0108440386507317,0.01158938826549622
0.002394083096934,0.0023478714386582123
0.0020706803236311,0.0014075487088970233
3.1057764541637354e-05,3.4915312695357834e-05
9.020089714951544e-05,8.988993445206081e-05
0.0001691450267078,0.0002864961656655661
0.0005190890992203,0.0015079834793294117
2.028047490931882e-05,1.1926610102818513e-05
0.0013670996892751,0.000990505592290544
0.0125795464858561,0.01528853951121318
0.0085664910478584,0.0061332873267523754
0.0022477005849345,0.003251580725805606
0.0012123921618215,0.0011717537183041282
0.0001192392580717,2.9396005836175335e-05
0.0001650221020563,7.09269361515902e-05
0.0002916773729368,0.0006062104872066462
0.0004152110761499,0.0018984697961687026
2.045866553905873e-05,1.7763307561558794e-05
0.0007681762654076,0.0008351043412694046
0.0027114703624229,0.0023519331435444633
0.0021009706553808,0.0023705988525553933
0.0011839818969094,0.001549885266907582
0.0004175834198753,0.00041255580536369825
2.102093322530824e-05,1.063093990443811e-05
5.062292868842462e-05,3.465011336910953e-05
9.283411107438537e-05,0.00010249893042809371
0.0002191309906738,0.0007078697421505538
1.469991055809018e-05,1.0100488638097466e-05
6.157495355573743e-06,4.841596695489036e-06
