moments,weights
GPDIFF,1
GROWTH,1
KM,5
OUT,4
RD,3
RP,3
SRDUS,1
SRGDP,1
JUPCOST,1
SINNOVPATUS,1
TO,3
SPFLOW,100
DOMPATEU,1
DOMPATUS,1
