origin_code,destination_code,sector,tariff
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,2,0,0.0015280273333333333
1,2,1,0.020077849999999998
1,2,2,0.0350983842383964
1,3,0,0.023298316666666666
1,3,1,0.01948478333333333
1,3,2,0.030627639023127234
1,4,0,0.19441966666666657
1,4,1,0.12627886666666663
1,4,2,0.13043981846867525
1,5,0,0.0014616436666666335
1,5,1,0.11843853333333333
1,5,2,0.10337537353047312
1,6,0,0.0116324293333333
1,6,1,0.23609333333333335
1,6,2,0.2773751310784576
1,7,0,0.0007113886666666666
1,7,1,0.008966950333333334
1,7,2,0.0008781410019258334
1,8,0,0.18246669333333332
1,8,1,0.053161163333333324
1,8,2,0.08138448717477627
1,9,0,0.007551306999999966
1,9,1,0.08060286666666666
1,9,2,0.09910728778376919
1,10,0,0.019380203333333332
1,10,1,0.04992799666666667
1,10,2,0.03367516702897717
1,11,0,0.0009833756666666666
1,11,1,0.05737451333333334
1,11,2,0.053006369069088066
1,12,0,0.005962032333333333
1,12,1,0.05910698333333333
1,12,2,0.07007557425594692
2,1,0,0.001196992
2,1,1,0.0207186233333333
2,1,2,0.028510873592937098
2,2,0,0.0
2,2,1,0.0
2,2,2,0.0
2,3,0,0.0007355169999999667
2,3,1,0.0294726833333333
2,3,2,0.030309537627957562
2,4,0,0.006768317
2,4,1,0.17878209999999997
2,4,2,0.13319261894019555
2,5,0,0.001552207
2,5,1,0.13072589999999998
2,5,2,0.10340327812546335
2,6,0,0.014359508666666666
2,6,1,0.2842307
2,6,2,0.33308809392096766
2,7,0,0.000312253
2,7,1,0.04913105
2,7,2,0.022827051399201163
2,8,0,0.014752701666666666
2,8,1,0.06635224333333332
2,8,2,0.08833654968335419
2,9,0,0.006937533333333333
2,9,1,0.1268166333333333
2,9,2,0.0961716280143116
2,10,0,0.0025383043333333335
2,10,1,0.13170269999999998
2,10,2,0.11249742813533757
2,11,0,0.00036171366666666664
2,11,1,0.08890729000000001
2,11,2,0.050185817679895606
2,12,0,0.004941894666666667
2,12,1,0.09820531666666664
2,12,2,0.08621174041188569
3,1,0,0.00015917033333333333
3,1,1,0.0216756333333333
3,1,2,0.0412724259210519
3,2,0,6.357699999999999e-05
3,2,1,0.044614856666666626
3,2,2,0.046136987107055265
3,3,0,0.0
3,3,1,0.0
3,3,2,0.0
3,4,0,0.0003723546666666667
3,4,1,0.16008063333333333
3,4,2,0.13254885551169643
3,5,0,0.00016594699999996666
3,5,1,0.17545183333333333
3,5,2,0.10544127190851427
3,6,0,0.00037221933333333334
3,6,1,0.2682660999999999
3,6,2,0.3378399741719547
3,7,0,5.168366666666666e-05
3,7,1,0.03935784333333327
3,7,2,0.03842804909615757
3,8,0,0.0005516979999999667
3,8,1,0.07234393666666666
3,8,2,0.07931452599279744
3,9,0,6.848000000000001e-05
3,9,1,0.1991186
3,9,2,0.09235660188014873
3,10,0,8.510266666666667e-05
3,10,1,0.12840666666666664
3,10,2,0.11390971997437165
3,11,0,0.0003528353333333333
3,11,1,0.17443409999999995
3,11,2,0.048911153246171034
3,12,0,0.0003079363333333333
3,12,1,0.10262641
3,12,2,0.07221688466971467
4,1,0,0.0013015973333333332
4,1,1,0.0425270733333333
4,1,2,0.03339155473809973
4,2,0,0.002370292
4,2,1,0.04153504666666663
4,2,2,0.0238882308469904
4,3,0,0.0041683323333333334
4,3,1,0.0232262733333333
4,3,2,0.0008030984763191668
4,4,0,0.0
4,4,1,0.0
4,4,2,0.0
4,5,0,0.0061117906666666
4,5,1,0.17080220000000002
4,5,2,0.09669055711982387
4,6,0,0.0150943033333333
4,6,1,0.2824307
4,6,2,0.3049313069334316
4,7,0,0.001424965
4,7,1,0.04244203
4,7,2,0.01365924718613607
4,8,0,0.024359399999999965
4,8,1,0.05376615333333332
4,8,2,0.08533445536360262
4,9,0,0.007469799333333333
4,9,1,0.1305714
4,9,2,0.06956183054093507
4,10,0,0.004602794
4,10,1,0.13970116666666665
4,10,2,0.09907081806995954
4,11,0,0.003913649
4,11,1,0.1290275333333333
4,11,2,0.04516745596566027
4,12,0,0.008651373666666667
4,12,1,0.08704573333333333
4,12,2,0.07110421561365507
5,1,0,0.012322826666666599
5,1,1,0.011533979666666633
5,1,2,0.008566593076060768
5,2,0,0.0078987223333333
5,2,1,0.049542906666666664
5,2,2,0.02188630670327077
5,3,0,0.0008038966666666
5,3,1,0.05908832666666666
5,3,2,0.013428741784318134
5,4,0,0.245534
5,4,1,0.2351805333333333
5,4,2,0.1385830174778633
5,5,0,0.0
5,5,1,0.0
5,5,2,0.0
5,6,0,0.11771613333333335
5,6,1,0.26529923333333333
5,6,2,0.35127777230241336
5,7,0,0.00037973966666663333
5,7,1,0.023886536666666666
5,7,2,0.021451437052995
5,8,0,0.27694533066666666
5,8,1,0.02799482333333333
5,8,2,0.10961974493103692
5,9,0,0.007060764999999999
5,9,1,0.06107837333333327
5,9,2,0.05681259906290684
5,10,0,0.015018089999999965
5,10,1,0.1490837
5,10,2,0.10132742715771981
5,11,0,0.011476772333333335
5,11,1,0.08568924666666665
5,11,2,0.07436398128751658
5,12,0,0.026092306666666665
5,12,1,0.08103739333333333
5,12,2,0.05093010394966957
6,1,0,0.004072016999999967
6,1,1,0.03736064333333333
6,1,2,0.0346701503377201
6,2,0,0.003835177999999967
6,2,1,0.05473839333333327
6,2,2,0.036782722211219594
6,3,0,0.003697824
6,3,1,0.03604702
6,3,2,0.031382366789373034
6,4,0,0.017460755999999966
6,4,1,0.08166653666666666
6,4,2,0.12418913941965437
6,5,0,0.03605541999999997
6,5,1,0.1340445
6,5,2,0.10349309779633341
6,6,0,0.0
6,6,1,0.0
6,6,2,0.0
6,7,0,0.0007909343333333332
6,7,1,0.054353296666666634
6,7,2,0.015146590206836933
6,8,0,0.035246304
6,8,1,0.05444667333333333
6,8,2,0.08021109216096754
6,9,0,0.006856704333333334
6,9,1,0.1277721333333333
6,9,2,0.08468278459642072
6,10,0,0.013515149999999967
6,10,1,0.1707249333333333
6,10,2,0.08450950784751297
6,11,0,0.002850324
6,11,1,0.18814643333333328
6,11,2,0.027872656823169768
6,12,0,0.009527598333333298
6,12,1,0.07866283666666667
6,12,2,0.0815057930144759
7,1,0,0.00020453466666663336
7,1,1,0.002599311999999967
7,1,2,0.0008064782299911666
7,2,0,0.0023313003333333333
7,2,1,0.0201657733333333
7,2,2,0.020318359466598
7,3,0,0.0035203016666666667
7,3,1,0.03175950999999996
7,3,2,0.026053063281367635
7,4,0,0.07180801666666667
7,4,1,0.1342419333333333
7,4,2,0.12322757825447761
7,5,0,0.0049548013333333
7,5,1,0.11604199999999996
7,5,2,0.05889158259730737
7,6,0,0.042020713333333265
7,6,1,0.17445823333333332
7,6,2,0.26551983446320476
7,7,0,0.0
7,7,1,0.0
7,7,2,0.0
7,8,0,0.011089241666666668
7,8,1,0.06915182
7,8,2,0.05780577226789546
7,9,0,0.0066575390000000005
7,9,1,0.10548976666666664
7,9,2,0.11427798355072527
7,10,0,0.008571337333333333
7,10,1,0.0457879833333333
7,10,2,0.03297292369816383
7,11,0,0.0018822593333333
7,11,1,0.04505775
7,11,2,0.06511887722952274
7,12,0,0.017933066666666667
7,12,1,0.06864684999999993
7,12,2,0.05062552121851837
8,1,0,0.0010627723333333
8,1,1,0.019918969999999998
8,1,2,0.037616482158696736
8,2,0,0.00027720166666666667
8,2,1,0.03988224666666663
8,2,2,0.03952795767574454
8,3,0,0.000956635
8,3,1,0.008403149333333334
8,3,2,0.0005528049914630334
8,4,0,0.0012093980000000002
8,4,1,0.12892016666666667
8,4,2,0.12894738521194227
8,5,0,0.0005823413333333
8,5,1,0.23201196666666668
8,5,2,0.12593156743774447
8,6,0,0.0011881793333333333
8,6,1,0.28689823333333336
8,6,2,0.33245369381201023
8,7,0,0.00028943600000000007
8,7,1,0.030921886666666596
8,7,2,0.018449258882113066
8,8,0,0.0
8,8,1,0.0
8,8,2,0.0
8,9,0,0.00017396699999996666
8,9,1,0.13933829999999997
8,9,2,0.08672731103132995
8,10,0,0.00018734066666663336
8,10,1,0.11552073333333329
8,10,2,0.123426855707298
8,11,0,5.9872666666666674e-05
8,11,1,0.18842083333333334
8,11,2,0.0736393003273353
8,12,0,0.001384072
8,12,1,0.11265433333333334
8,12,2,0.08490156018356905
9,1,0,0.0017992206666666332
9,1,1,0.007409812333333332
9,1,2,0.005032251468051566
9,2,0,0.0050038933333333
9,2,1,0.023486716666666668
9,2,2,0.0272214193914725
9,3,0,0.009828566666666667
9,3,1,0.025209316666666665
9,3,2,0.019844188038585165
9,4,0,0.05495181666666666
9,4,1,0.08110974
9,4,2,0.10048734415010376
9,5,0,0.009371243
9,5,1,0.12452306666666667
9,5,2,0.05020703968995627
9,6,0,0.04693414333333327
9,6,1,0.24255283333333333
9,6,2,0.21595850311847312
9,7,0,0.00015233966666666667
9,7,1,0.009907777333333333
9,7,2,0.0019535324867811666
9,8,0,0.0313301533333333
9,8,1,0.06585046333333329
9,8,2,0.07309646704848503
9,9,0,0.0
9,9,1,0.0
9,9,2,0.0
9,10,0,0.005005131666666667
9,10,1,0.1015810333333333
9,10,2,0.06077832681624137
9,11,0,0.00013983633333333333
9,11,1,0.04485273333333333
9,11,2,0.03221063537919757
9,12,0,0.004302003333333334
9,12,1,0.05367291333333333
9,12,2,0.06652890835405874
10,1,0,0.0031146903333333334
10,1,1,0.008960367666666667
10,1,2,0.0020558661143422665
10,2,0,0.0028472899999999663
10,2,1,0.033791439999999964
10,2,2,0.019468684873661532
10,3,0,0.008973983
10,3,1,0.014745989999999966
10,3,2,0.002808477575169967
10,4,0,0.02284785166666667
10,4,1,0.17409793333333332
10,4,2,0.12207862591057402
10,5,0,0.0006027766666666666
10,5,1,0.06048836333333333
10,5,2,0.08350916309631844
10,6,0,0.09302411333333327
10,6,1,0.2949639333333334
10,6,2,0.20823475834176933
10,7,0,0.0011718016666666666
10,7,1,0.0112497443333333
10,7,2,0.005827686240249334
10,8,0,0.007841566999999999
10,8,1,0.05474916
10,8,2,0.08119370987802417
10,9,0,0.009320632666666667
10,9,1,0.18041246666666663
10,9,2,0.09054479317528107
10,10,0,0.0
10,10,1,0.0
10,10,2,0.0
10,11,0,0.0007168086666666666
10,11,1,0.13083793333333335
10,11,2,0.029360322512054532
10,12,0,0.006434705666666666
