moments,weights
GPDIFF,1
GROWTH,1
KM,5
OUT,4
RD,3
RP,3
SRDUS,1
SPFLOWDOM,1
SRGDP,1
JUPCOST,1
SINNOVPATUS,1
TE,3
TO,3
