,Non patent,Patent,Pharmaceuticals,Chemicals
USA,57858.53905509827,40977.9232167332,5778.5683132998965,10895.77561585451
EUR,21474.41399194261,14583.907732915344,997.6650139686328,3502.44094253377
JAP,21873.74068886781,15044.650226304377,90.13559915901344,3194.0401061394605
CHN,2387.1412162758033,1785.6780025525316,1193.5798968384438,1164.9777789439736
BRA,1638.877653498501,1239.312368221894,11.23454546878568,446.5803881216115
IND,144.27135859436933,120.54992684175768,150.25719762336368,1.6308839071369876
CAN,18565.2476473722,12806.92959791102,43.71001261198859,2998.3991774180818
KOR,16697.871953810078,11447.211460508672,774.8389257853506,1721.3457193685388
RUS,5818.240268108257,4658.1652389273095,45.290347487351866,1577.3661708331072
MEX,3275.3942924129747,2356.1352755410344,702.3162202928355,618.6675917136528
ZAF,1943.3014476278704,1178.3365579165236,1085.1806741467717,8.601178043609346
ROW,345.11460953705347,216.18311421882936,183.4528911616492,243.1451199371869
count,12.0,12.0,12.0,12.0
mean,12668.512848595483,8867.915226549374,921.3524698203402,2197.7475560678868
std,16628.82244132983,11689.246297682988,1594.4454966156782,3010.071653945138
min,144.27135859436933,120.54992684175768,11.23454546878568,1.6308839071369876
25%,1867.195499095528,1224.0684156455513,78.92428624109805,395.7215710755054
50%,4546.817280260616,3507.150257234172,442.88455572724234,1371.1719748885403
75%,19292.539233514803,13251.174131662101,1019.5439290131676,3047.3094095984266
max,57858.53905509827,40977.9232167332,5778.5683132998965,10895.77561585451
