,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,DOMPATUS_target,DOMPATEU_target,kappa,gamma,rho
0,-50,0.2566301540023527,0.1419694676407372,0.2656816937399221,0.1095405599307295,0.2537988086762759,0.3887526236411565,0.2756565216768874,0.3287761290385276,0.771760064108183,0.240031681776961,0.2543546397021489
1,-40,0.2749861414972317,0.1758314618089331,0.2921144329121466,0.1324576122200643,0.2527208059242927,0.3499439610743584,0.2910025892475947,0.3135368137886414,0.6153474926069796,0.2424692081280312,0.2531306314033601
2,-30,0.2933349964582372,0.1971826300727238,0.2816190469000432,0.1571523584609139,0.2516645707045708,0.3074386556615766,0.278153357744789,0.2989649240195115,0.4905836819290579,0.2434482606077278,0.2519469244827886
3,-20,0.2746115661112208,0.2206283046088905,0.2636009565916247,0.1878522841289499,0.2506303039627107,0.2852600781193277,0.2676158899977803,0.284083202914932,0.391135144854961,0.2458454068699799,0.2508028908115362
4,-10,0.2650688455327498,0.2360209496217497,0.2558142833184506,0.2156962084216915,0.2496190824488027,0.2655967753564078,0.2587452681597157,0.261736680590899,0.3118468105135063,0.2466959739049262,0.2496983172839055
5,0,0.2486314412616079,0.2486314412616079,0.2486314412616079,0.2486314412616079,0.2486314412616079,0.2486314183869995,0.2486314412616079,0.2486314334174612,0.2486314412616079,0.2486314412616079,0.2486313967341693
6,10,0.2367566264876708,0.2644015138663174,0.2445961417408055,0.2885132950275,0.2476677573424316,0.233825175891324,0.244248512507646,0.2418080798737653,0.2038049802663177,0.2504449258282813,0.2476028721808114
7,20,0.2249624492326486,0.2713474775770649,0.2413175912157243,0.3354415488614511,0.2477478643652828,0.2245754992451934,0.2358197482852103,0.2283791655382854,0.1580468198391008,0.2520142345628343,0.2469921713643708
8,30,0.2154835136607673,0.2768432210102649,0.2340260833164053,0.3920783848898224,0.2462379590577481,0.2129793957152911,0.1917249694459099,0.216683396342579,0.1294721929588788,0.2533818028091096,0.2457182308516581
9,40,0.1978787261641525,0.2825818969087267,0.2281710121116304,0.4626060689591862,0.2465622392598503,0.2030590636290845,0.1720211841660364,0.2014611899343875,0.1032054726510083,0.2545824247746783,0.2489063519373774
10,50,0.1868880746445821,0.2871430796635946,0.2230338222512849,0.5539001874722723,0.2466443544793675,0.1930141672082458,0.1332884301950195,0.1907315186140664,0.0822498921646724,0.2556414432682686,0.2452179950344914
