,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,DOMPATUS_target,DOMPATEU_target,kappa,gamma,rho
0,-50,-0.0009722539900443999,-0.0016052231230107017,-0.0016309904126446395,-0.0007270860963120435,-0.0017081467696166905,-0.001879516255207797,-0.001667057682668352,-0.0018996145879295045,-0.0032657770964648197,-0.0014163930736794256,-0.0017109625257128586
1,-40,-0.0011517779627923802,-0.0016324768761018238,-0.0016870869650072867,-0.000885742954384941,-0.0017026713583816883,-0.001817979197187708,-0.0016624199767958925,-0.0018497681012277084,-0.0028769080281865894,-0.001493783181088712,-0.0017047540877525996
2,-30,-0.0012989763603789284,-0.0016501689911477269,-0.001693939012214693,-0.001055943233554263,-0.0016972931636920902,-0.0017495514120745292,-0.0016383444639812839,-0.0018085946229540184,-0.002530343363461862,-0.0030857398686530424,-0.001698732756611615
3,-20,-0.0014310199500100484,-0.001676997969964067,-0.0016775899204332645,-0.001247127498736622,-0.0016920145479243365,-0.0017286816375413488,-0.0016611730893470456,-0.0017637008861318831,-0.002219116948160016,-0.0016072255262775115,-0.001692896449628084
4,-10,-0.001570551762727565,-0.0016801632509572811,-0.0016804672126988218,-0.001451644761263013,-0.0016868386594603296,-0.001703454461128573,-0.00167999059407474,-0.0017076628098942198,-0.0019378036620679162,-0.0016468878368106066,-0.0016872429105054682
5,0,-0.0016821356223120643,-0.0016821356223120643,-0.0016821356223120643,-0.0016821356223120643,-0.0016821356223120643,-0.001682135668686427,-0.0016821356223120643,-0.0016821357408255966,-0.0016821356223120643,-0.0016821356223120643,-0.0016821358172738193
6,10,-0.0018057957949485504,-0.0017022373434434634,-0.0016882524676437027,-0.001955746840741693,-0.0016777172026222198,-0.0016651775592093493,-0.0017048144837810558,-0.0016731332905060153,-0.0014620728947117856,-0.001715540820128314,-0.0016774192103823082
7,20,-0.0019231002226106214,-0.00170726503056981,-0.0016938501089271835,-0.0022790571453677744,-0.0016762419056310512,-0.0016569778269855812,-0.0016990055894838818,-0.001660287499138241,-0.0012345657594451526,-0.0017447536444011036,-0.0016750286335003722
8,30,-0.0020320229356614317,-0.0017024471593605345,-0.001696131333363965,-0.0026709485174594705,-0.0016723548362400364,-0.0016432216644678144,-0.0016886120292818052,-0.0016460800028428313,-0.0010469437690459327,-0.0017702497633401149,-0.0016727583716739242
9,40,-0.0021106909665103563,-0.001702495310087343,-0.0016971161675476132,-0.003162220477245445,-0.0016716131600823941,-0.0016311390190731911,-0.0016781781712656846,-0.0016273938470413168,-0.0008632005299970269,-0.0017926828574901105,-0.001674396248663862
10,50,-0.002217617490336485,-0.0017018156919772903,-0.0016970497141631513,-0.003804861924593811,-0.0016696402209994549,-0.001618261473009669,-0.0016611564775215887,-0.001617942111255266,-0.0006929346694276722,-0.0018125628933888388,-0.0016682278618472546
