,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,DOMPATUS_target,DOMPATEU_target,kappa,gamma,rho
0,-50,0.0058168512882241,0.0141439932051377,0.0299911448973885,0.0318262316821353,0.0143040368878318,0.0097830223104477,0.0119615494558995,0.0156742949556856,0.0144546806340222,0.0149208021494378,0.0142861277195615
1,-40,0.0081056269941182,0.0143452661027901,0.0252520191623244,0.0266479295944337,0.0143379619728822,0.0109473344550856,0.0137242783774806,0.0153847861353783,0.0144541920150706,0.014923623838329,0.0143251969898894
2,-30,0.0097088878442609,0.0146009376706805,0.0214980374072186,0.0226012555658759,0.0143700515790953,0.0116442702152318,0.0140464880313839,0.0154052689454212,0.0144546040362304,0.0147206373898811,0.0143615867485057
3,-20,0.0111848467806862,0.0147117233699808,0.0183681956104965,0.0193401683145804,0.0144002471249138,0.0127331432946223,0.0143085330620421,0.0152034022484979,0.0144546731137575,0.0144789254163324,0.0143953049822577
4,-10,0.0129750591734425,0.014636819236707,0.0161963046027461,0.0165974221181667,0.01442848279344,0.0136177559421968,0.0144898339905947,0.0147295919430726,0.0144546792883201,0.0144523483038291,0.0144263114452291
5,0,0.0144546847164914,0.0144546847164914,0.0144546847164914,0.0144546847164914,0.0144546847164914,0.0144546832063359,0.0144546847164914,0.0144546797893,0.0144546847164914,0.0144546847164914,0.0144546770759811
6,10,0.0162245001783757,0.014420110514515,0.0130525477622146,0.0125478325001746,0.0144787910093683,0.0152806886525335,0.0147289800567719,0.0142286812636046,0.014702656036464,0.0144055279531187,0.0144803573812551
7,20,0.0180159092463114,0.0144799932935149,0.0119348007676621,0.010862521450406,0.0144672732954434,0.0158864819677248,0.0145188271052522,0.0140601535498489,0.0144546825441642,0.0143595633065608,0.0144898658875035
8,30,0.0193658538791368,0.0141579387548012,0.0109096244343986,0.0093473153914502,0.0145394655669579,0.0167149284694586,0.0141597374681383,0.0138431064132052,0.0147026191440975,0.0143172974318962,0.0144906706706909
9,40,0.0211996474303008,0.0140159569623977,0.0101069980680427,0.0079632777059229,0.0145187357297212,0.0175689564177218,0.0135231181886873,0.0132201647467433,0.0147015475446108,0.0142787160478892,0.0144786949437817
10,50,0.0220054670343734,0.0138712898882667,0.0094285713240902,0.0066813954453144,0.0145281306618763,0.0183841463011102,0.0113682023495094,0.0128304529016156,0.014702663827029,0.0142436651526989,0.0145265902045553
