,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,DOMPATUS_target,DOMPATEU_target,kappa,gamma,rho
0,-50,0.1171391511940324,0.1209574858296008,0.1252969936647444,0.0423198382515609,0.1288875467580974,0.2114884811877945,0.1443006130574024,0.113048007479516,0.1206395731209249,0.0934891236136074,0.1297454305363433
1,-40,0.118174760201385,0.1228913617155437,0.1194642153397326,0.0550472824644482,0.127208134941713,0.1836916923018966,0.1301447588437361,0.1146812558539073,0.1206447523271857,0.101448470152074,0.1278487367917765
2,-30,0.1176032824440727,0.1211381997767741,0.1201423812369689,0.0690313680466459,0.1255428586879516,0.161835090088155,0.1269697082940381,0.1165650315068335,0.1206400161473921,0.1085753538507091,0.1259901152685817
3,-20,0.1186583298369099,0.1220538786884425,0.1192113806969382,0.0849918467558197,0.1238923864090581,0.144944945933335,0.1244702042494095,0.1184955160570006,0.1206396095951426,0.1140946267392974,0.124169240672166
4,-10,0.1197858006271493,0.1210728458938434,0.1199564379463983,0.1020107981642357,0.1222576366155387,0.1317293562646859,0.1225507084328687,0.1186894374489437,0.1206395307529486,0.1176584755425851,0.1223859909781764
5,0,0.1206395007978773,0.1206395007978773,0.1206395007978773,0.1206395007978773,0.1206395007978773,0.1206395061315259,0.1206395007978773,0.1206395297266049,0.1206395007978773,0.1206395007978773,0.1206395403429064
6,10,0.1218350121733434,0.1215363719091132,0.1217871802307371,0.1432402264476962,0.1190387785142342,0.1113361256523189,0.1193294813874814,0.123546243890989,0.1218629219581311,0.123594016802959,0.1189299922824196
7,20,0.1228884654833726,0.119599569686501,0.1227754439660088,0.1698439543169856,0.1180145229181739,0.1049555152648894,0.1183804150366303,0.1247184663666204,0.120639543161723,0.1260963474705616,0.1176147403381751
8,30,0.1257647958717593,0.1198482244928091,0.12341981955327,0.2019457370629443,0.1162551846957646,0.0972343278870734,0.1213075710880435,0.1253163543404735,0.1218632489436688,0.1282400342949958,0.116309093964071
9,40,0.1245973909161072,0.1190928931505359,0.1237042155776445,0.2418921547186463,0.1152834443586586,0.0907259850408307,0.120631540006237,0.1269701451117685,0.1218751559733371,0.1300954607069997,0.1156639717178258
10,50,0.1291246883199501,0.1183006316288216,0.1234717081372589,0.2935172226327809,0.1140806483475826,0.0846739369315073,0.1203941395016211,0.1278477897036957,0.121862864995955,0.1317152351093074,0.1135464228367587
