,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,DOMPATUS_target,DOMPATEU_target,kappa,gamma,rho
0,-50,-0.015384177456623238,-0.025119077927415745,-0.023885716937943613,-0.0003684827631134091,-0.03961270451293686,-0.0307260007091692,-0.027183050189594216,-0.02436468567205141,-0.0643492984344185,-0.0005639695986547899,-0.041620776654072156
1,-40,-0.01763552032911786,-0.02514501777952649,-0.023596218150090387,-0.004148920300128811,-0.035988289876609514,-0.028732199933978464,-0.02519691064096774,-0.024552280112577485,-0.0546527026787591,-0.004949832068124049,-0.037325521169850884
2,-30,-0.019164953853778588,-0.024984145293327487,-0.0240501090179146,-0.008421919838719205,-0.032746909495384724,-0.02725732339320386,-0.024138825978015088,-0.024685356561526817,-0.04600374871522872,-0.019508641301357876,-0.03358586414903275
3,-20,-0.02114425868268155,-0.025088576585452493,-0.024279076541344757,-0.013282600985853321,-0.02983340657100042,-0.026313974168901133,-0.024438601147036554,-0.02475977625339132,-0.038232466243326435,-0.014839608523775638,-0.030303105414564158
4,-10,-0.023098626972695158,-0.024904653953583544,-0.024573398764105026,-0.018746522214507788,-0.027202802539061377,-0.025496427199034333,-0.024702785742847233,-0.024696547756963838,-0.03120540284711204,-0.019817284039980176,-0.027400645285591274
5,0,-0.02481713033968269,-0.02481713033968269,-0.02481713033968269,-0.02481713033968269,-0.02481713033968269,-0.02481713216950787,-0.02481713033968269,-0.024817135574639604,-0.02481713033968269,-0.02481713033968269,-0.024817139433175317
6,10,-0.026584091330927873,-0.024960557357867064,-0.025072329411879313,-0.03204071203202208,-0.02264487308069052,-0.02427792500321324,-0.025055371944393556,-0.02505048237819718,-0.01902176452788229,-0.029915610542330384,-0.02250343494216711
7,20,-0.028256028221052,-0.024858790605331027,-0.025283241680584823,-0.040625737847999055,-0.020731935557694037,-0.023979988177591505,-0.025069867782945288,-0.025212022558651626,-0.013630631989358655,-0.03498767470775377,-0.020478473756302407
8,30,-0.03002404258432012,-0.02481508329480464,-0.025540042644311978,-0.05108828512151442,-0.018913211962034993,-0.02350178140440029,-0.02587421438989823,-0.025260511353353277,-0.008638823140072471,-0.040014778635233395,-0.01866661022148497
9,40,-0.031123212840244996,-0.024787603341203113,-0.025681944904931697,-0.06425754178543963,-0.01730744389522032,-0.023100216941362994,-0.02600217623658363,-0.02533583247934512,-0.004042362149148104,-0.04498387368165879,-0.01698515556668445
10,50,-0.03321855331820389,-0.02476689917836339,-0.025747327890612848,-0.0815365321509387,-0.015792141631920664,-0.02272284970978866,-0.026293294433743508,-0.025425051752747674,0.00021705440151897903,-0.04988612471839016,-0.015431776086194393
