,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,DOMPATUS_target,DOMPATEU_target,kappa,gamma,rho
0,-50,0.5489645145650065,0.3995410005002951,0.2837904580185837,0.1226655142988634,0.3724204400092763,0.5470190117798215,0.4487961102998742,0.3088823322466527,0.3514449891402917,0.2725891857606332,0.374579100668721
1,-40,0.4815325593405405,0.3899586380557286,0.2804452485221658,0.1601637864984538,0.3681828548557213,0.4863806774027577,0.3863073489834524,0.3177829090424618,0.3514559458898559,0.2962608089106238,0.3698010655128702
2,-30,0.4333604113415558,0.3740337407985366,0.3013123898775992,0.2010250900220332,0.3639650961150345,0.4469326118828569,0.3737385843497054,0.3243815535985713,0.3514461767983115,0.3206515941173579,0.3650995346427973
3,-20,0.4026069721896179,0.3653077521196612,0.3214014567171461,0.2468149215344073,0.3597684138523466,0.4074486654348689,0.3637029217668294,0.3330580773387373,0.3514450949456205,0.3339567006671424,0.360473525301702
4,-10,0.3729387820546356,0.3568189677809316,0.3372674364272976,0.2974013858287186,0.3555944093003302,0.3772093283718325,0.3560808305112322,0.3426085251306957,0.3514449501384057,0.3439133951763974,0.3559227199248532
5,0,0.3514448692572313,0.3514448692572313,0.3514448692572313,0.3514448692572313,0.3514448692572313,0.3514449008480421,0.3514448692572313,0.3514449711749599,0.3514448692572313,0.3514448692572313,0.3514450307782082
6,10,0.3303453916472323,0.3467747910320943,0.3645377728588827,0.4158324936650219,0.3473213909973761,0.3292256785309161,0.3442380467252511,0.3603421360696594,0.3498840555917031,0.3590078270543764,0.3470404248550279
7,20,0.3118923641840757,0.3380397214712099,0.3757093866744088,0.4915088342957605,0.344414454249577,0.3133169493162747,0.343065269597834,0.3662578847816644,0.3514449778422437,0.3653687478694728,0.3434773408121291
8,30,0.3014420274878429,0.3365411941359478,0.3868620592188794,0.5827832566032682,0.3395911052140829,0.2940725773462576,0.3541218458635987,0.3709903825613421,0.3498847133730408,0.3707883843768874,0.3401578505432076
9,40,0.2844978705312787,0.3324826353936187,0.3952225472275883,0.6964394244805479,0.3367945268604123,0.2769810522566411,0.3573197654944196,0.3808254683756101,0.3499086587836661,0.3754586934600927,0.3371395685199798
10,50,0.281953780103111,0.3287700375268653,0.4013417523329107,0.843630908890403,0.3332226473617701,0.2611422407294632,0.3686477043190511,0.3868021323697406,0.3498838463619289,0.3795217172510682,0.332292593472644
