,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,4.650831480730711e-14,6.492392400285574e-08,3.1042151760831e-18,1.1866378302976858e-10,1.1364945153740387e-10,7.81217353880725e-11,6.282929437546233e-17,7.76063542343075e-09,1.507752849207417e-10,1.0806810042561706e-08,9.939650751214162e-10,2.37574960507858e-07,6.857117503466939e-11,1.83820450393198e-10
1,-80,5.061496915603386e-14,2.0268804813731214e-11,1.3561988495281888e-18,2.888982997354909e-11,2.0465512204445716e-17,7.755052014182288e-11,4.912301377126905e-16,5.649763960081834e-09,2.1906316754343853e-14,3.5759360954978643e-12,1.148585691824322e-09,8.263751448011044e-10,2.044571013695885e-11,7.908908793736563e-10
2,-70,4.7685098123811544e-15,1.3760117454937441e-13,6.748937032575535e-11,2.0836136301121264e-08,2.9278430335992626e-13,2.4378156410205197e-10,8.433322077189813e-11,1.8588786225725106e-09,7.352538216615587e-15,3.5768902117202027e-09,2.4641728218418824e-13,1.6590178736019445e-10,8.95013889209011e-17,1.0936124895759793e-10
3,-60,1.3980508755635294e-16,4.0016664496320595e-12,3.9852953396750987e-10,7.840974663205297e-08,3.4590960567713867e-11,2.1228943546880288e-09,2.456326475626261e-13,4.952372371453388e-10,2.6925259871988984e-11,1.628338585230451e-17,7.613293415055012e-15,1.0226911160659898e-08,5.632583657541868e-11,4.600111142849118e-10
4,-50,1.2433264981682468e-17,7.233122348498252e-13,5.73193821219545e-11,3.832198044111315e-09,9.609433842146105e-20,1.5170415937649814e-09,1.0732905379217293e-12,4.237335488660919e-14,3.809911046371598e-14,4.224348066838762e-10,1.1468158867061934e-18,1.1179873145654529e-10,1.3785875243334301e-11,3.749020729380569e-12
5,-40,2.4368978049406417e-12,6.356216559521619e-11,9.6642387971552e-12,3.8641483808498044e-07,1.5549965868138788e-15,3.5449902625034993e-12,2.6007005938939667e-12,8.152438736643359e-11,5.758542539193293e-11,4.685085028104437e-09,3.70290363657958e-15,9.324807711467124e-11,6.379819586808376e-11,1.0324313220261072e-12
6,-30,2.5138078938067616e-12,3.295729280709151e-11,2.053436808552356e-15,1.7389067792197525e-12,4.772999342317129e-15,4.759706853574761e-12,4.751879916805595e-20,1.1664403032219334e-14,4.659782681552339e-12,1.2878167704196315e-09,6.089969871326967e-18,8.689757567128472e-20,1.0329226257736931e-11,1.7066150261289601e-23
7,-20,1.3448747729568916e-13,2.524108098149748e-11,2.030227165054428e-12,3.033000904061125e-11,2.0256391883826098e-13,5.142342939600259e-16,1.6149417459060786e-11,6.0779103514568484e-18,4.474740940674079e-19,2.1233066399131e-12,8.482173682961633e-19,4.0997733780078393e-19,2.2695178153854182e-18,4.1800888894709137e-10
8,-10,7.578524622116058e-12,5.2692218884472075e-15,6.432057493940833e-18,3.848691026261443e-13,7.032205611860264e-11,1.9096125294650634e-13,4.0599249803850607e-13,1.0008578421269771e-11,2.242127486696414e-15,6.968731468235543e-18,8.520293961935232e-14,2.0743473420927047e-10,1.9880849038953458e-10,3.819024710389907e-18
9,0,5.287624483539305e-19,1.0459794197680675e-10,1.0235717998041335e-09,1.0235717998041335e-09,1.0235717998041335e-09,1.0329286522797397e-17,2.373300956857051e-18,2.130437245728779e-11,1.0235717998041335e-09,3.6962125909913065e-11,9.140637758216144e-12,1.2804527054415532e-11,3.0330629998144243e-18,7.056175981827568e-12
