,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,5.505083147114201e-07,3.939638597605031e-07,0.0032970476197173577,1.5520796045449714e-07,6.099291458748331e-07,3.02501835063411e-07,5.489273669684908e-07,1.333974097592055e-06,4.776284582604733e-07,3.4979154614187476e-08,2.949247009155145e-07,1.0175096624138593e-06,4.2266215334800124e-07,3.8910260333456973e-07
1,-80,5.486101555446725e-07,4.462892982807969e-07,0.0003239151051708391,1.6132450228412412e-07,6.067756283749893e-07,3.10140785192649e-07,5.485908658392322e-07,1.213665546634042e-06,5.238326557940251e-07,6.873925266448506e-08,2.2870736995700125e-07,1.106669527543322e-06,4.217558675977209e-07,3.3170965775172414e-07
2,-70,5.483758703715741e-07,4.932816853817179e-07,6.846499594622252e-05,4.889515886329317e-07,5.939329304551784e-07,2.9271516602842794e-07,5.406149574801358e-07,1.107328635266412e-06,5.447685384565654e-07,1.5403179788745232e-08,3.086976962050084e-07,1.0720897178217481e-06,4.297472330604166e-07,3.563376661435347e-07
3,-60,5.449327719503613e-07,5.153506475585167e-07,2.214323937097851e-05,3.4795547328255086e-07,5.890726853483864e-07,3.5064082667292204e-07,5.39632730933939e-07,9.544195395522457e-07,5.585936601706752e-07,4.1038242253454854e-08,3.8360996649176786e-07,1.0231658482633057e-06,4.361068530092059e-07,3.758621250356436e-07
4,-50,5.441570699571575e-07,5.268325744252486e-07,8.960097130906434e-06,4.038114548424989e-07,5.78248555997668e-07,4.2658685853060616e-07,5.420918293935982e-07,8.391177145439448e-07,5.600365633382976e-07,3.470060672882212e-08,4.329542518135065e-07,7.69248587599976e-07,4.483467865644946e-07,3.609387048916198e-07
5,-40,5.435515643197837e-07,5.314920032761833e-07,4.305106942510095e-06,2.7552440521622296e-07,5.678609169123785e-07,4.292667030891858e-07,5.397058424159262e-07,7.499952023647265e-07,5.435654171309851e-07,1.2297741654203357e-07,4.6988973774686064e-07,7.344985637417032e-07,4.7145462410962226e-07,3.955532025915549e-07
6,-30,5.374519057353248e-07,5.368449231766726e-07,2.3069196271391426e-06,5.31081134340476e-07,5.57460293192413e-07,4.5161477868265993e-07,5.37034971568067e-07,6.807136472733924e-07,5.428075835030679e-07,2.2881522132388574e-07,4.948993281558828e-07,6.818602981410143e-07,4.772477441145633e-07,4.4049512062533694e-07
7,-20,5.484299429010438e-07,5.399307425607796e-07,1.3349231616458012e-06,5.429357407611633e-07,5.548786859131394e-07,4.864527680847828e-07,5.217727953180812e-07,6.141222352145528e-07,5.395117261489097e-07,2.5181480430266963e-07,5.03411261126468e-07,6.253773462302934e-07,4.942257260022671e-07,4.774820052154189e-07
8,-10,5.377864011886575e-07,5.375001754426909e-07,8.271860924546391e-07,5.42483034624596e-07,5.327166521629476e-07,5.1747845804626e-07,5.391498291094838e-07,5.765833701355591e-07,5.412015321048037e-07,3.740603383056816e-07,5.357345377542891e-07,5.80831854998664e-07,5.167365857343514e-07,5.015882196666734e-07
9,0,5.374856744682482e-07,5.361593420084532e-07,5.346761258101609e-07,5.346761258101609e-07,5.346761258101609e-07,5.391296477046842e-07,5.371127335878169e-07,5.378185039580617e-07,5.346761258101609e-07,5.365047246224742e-07,5.369895004118001e-07,5.353932474376517e-07,5.353354430952246e-07,5.367288926350549e-07
10,10,5.361481989614185e-07,5.3658186964047e-07,3.622311898678628e-07,5.307648343703336e-07,5.342499907930763e-07,5.500491690608647e-07,5.315662775766462e-07,5.033495882096474e-07,5.302234327967199e-07,7.468253802725441e-07,5.433277884532067e-07,5.063601782245653e-07,5.726705288268811e-07,5.741157816927003e-07
11,20,5.383204408659569e-07,5.446731306967778e-07,2.566242798440605e-07,5.213663338308774e-07,5.238433057140677e-07,5.613422113458238e-07,5.351608164064105e-07,4.811623149333673e-07,5.381011296733248e-07,9.920551745648884e-07,5.514281200014118e-07,4.81742131808768e-07,6.03636463060365e-07,6.219596620461968e-07
12,30,5.27017739314683e-07,5.429597650060939e-07,1.8176119413325684e-07,5.059877217149663e-07,5.114417337154441e-07,5.717648281061835e-07,5.325130267817426e-07,4.579944597951959e-07,5.306880597419594e-07,1.2368322029679711e-06,5.469769654545251e-07,4.605751648220735e-07,6.217646725427126e-07,6.699077801637077e-07
13,40,5.343443739656947e-07,5.242882813157882e-07,1.359891950400519e-07,4.921091699502016e-07,5.156943286520235e-07,5.84790320605369e-07,5.320041490321691e-07,4.505635703947628e-07,5.228945380773684e-07,1.5444048601160798e-06,5.484760456465045e-07,4.5229311437969787e-07,6.677061508325317e-07,7.315040173849826e-07
