,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,0.00614524735041998,0.0059539669571508315,0.006678881080959712,0.0058105180452967375,0.006795722090978955,0.005675216228359965,0.006144196457217718,0.005894633903754928,0.006322259705909572,0.01069284218600419,0.005992208676280521,0.005870343197509512,0.006139128892235572,0.0061217145587284805
1,-80,0.006129936619245227,0.006000403377338003,0.006652943176357892,0.005777134915187874,0.006702727356026785,0.005680214497898095,0.00612757587860144,0.005913045037736534,0.006339312526170522,0.010240766796941352,0.006015827445435966,0.00585613633742635,0.006119456709020368,0.006097234929449051
2,-70,0.0061159719035095384,0.0060440797661389205,0.006579593122445924,0.005750643876357941,0.006602736759576624,0.005676258319979038,0.006103045856826808,0.005870710220677039,0.006313995370101162,0.00968292722326991,0.006035009594495664,0.005859486860888169,0.006107324998572035,0.006055919308467488
3,-60,0.006096230263582616,0.006059517304897274,0.006502126463262727,0.005762619722609733,0.0065154148325279005,0.0056937123895169665,0.00608803827171453,0.0058783071563380624,0.006289668016589469,0.009108406666917151,0.006048377805856755,0.0058978909192128545,0.006088906361771846,0.006039042022858649
4,-50,0.006081338466422856,0.0060588065220480245,0.00640641022779511,0.005767114915480686,0.006421433429286981,0.005720019643132458,0.006078318591143716,0.005915283744848089,0.006247671649196833,0.008306918993761762,0.006044596568216689,0.005874572228120666,0.006079268628126077,0.006020169016667304
5,-40,0.006066676866406626,0.006051255699237308,0.006325617217748786,0.00580279847218503,0.006329855186896853,0.00576922778690347,0.006061086741683023,0.005920976677886618,0.00618373348753178,0.00753487991780052,0.006042727629319218,0.005920702252288421,0.006074871301230008,0.006036973067120903
6,-30,0.00604705130119041,0.006043835675985117,0.00623838051431394,0.005890325556064762,0.006240274323817836,0.0058284151794341064,0.006042464867125051,0.005942851246439776,0.006136957075406097,0.0070190621092815295,0.006036140718623691,0.005945877825030688,0.006047078785557446,0.0060306607324371935
7,-20,0.006047951709240118,0.006032606746298753,0.006156458276094416,0.005942465272273626,0.006165224877329431,0.005896056262419664,0.006020233306385158,0.00596169711794319,0.0060933333047578355,0.006600106202587616,0.006022666785131273,0.0059715359621724815,0.006038799070364929,0.0060341328031196535
8,-10,0.0060175692109010834,0.006018627427411024,0.006079770973302293,0.005974149405030246,0.00606937852776348,0.005959918331211799,0.006019875803016133,0.005988179958974081,0.006050869974074653,0.006287585900990141,0.006029194600648234,0.005996215373649276,0.006026628550675696,0.006013516986701399
9,0,0.006005473467664255,0.0060024935118878076,0.005998629113450698,0.005998629113450698,0.005998629113450698,0.006007240461183878,0.00600299695106798,0.006005790923243166,0.005998629113450698,0.005998100372465705,0.006003818953982636,0.006004237928873537,0.00600166182753427,0.006003033764753225
10,10,0.005987620718204773,0.005989734862821872,0.005926787055078421,0.006031897400991123,0.005931328508399747,0.006031909094280399,0.005981400657288947,0.006014116329245759,0.005958628675915589,0.005771103182882039,0.005989811481637186,0.006016330495161502,0.006002129914848906,0.005990599200378164
11,20,0.00597612958138698,0.005988741665647953,0.005866086225271252,0.0060574511906598474,0.0058536454633653385,0.006042895337149619,0.005976393615785292,0.00603064063083562,0.005926773883585418,0.005552164726490262,0.005979097993296455,0.006028777032426664,0.005988417984572368,0.005987296260451028
12,30,0.005951842674289198,0.005973000310370005,0.0057824806540007065,0.006079844194339828,0.005772810084956186,0.006085608244548674,0.005956205914132224,0.0060341772498562745,0.005874371682915716,0.005362833062128975,0.005958822076648649,0.006037280841104817,0.0059579861063651825,0.0059824345039899435
13,40,0.0059470528113877465,0.005937374617022721,0.0057220297716230285,0.006102485469469635,0.005707166386318593,0.0060672938419976665,0.005942290834123877,0.006035745896257541,0.005827309527882623,0.005198258490975687,0.005941056234131585,0.006036999606070972,0.005950053109438944,0.005989589118478333
14,50,0.0059336340700698416,0.005930817893300394,0.005648701868334231,0.006138254813661085,0.005626751254676042,0.006067184083867942,0.005929126198792606,0.006031083138468231,0.0057803084622520175,0.005086432351441949,0.005938884506211229,0.006036420442275815,0.005943396571436182,0.005979327636531914
15,60,0.0059132883070611795,0.0059215378776666175,0.005573298917446329,0.0061717702003948665,0.00556212731392696,0.0060585977859847415,0.005906056353668902,0.006027044349407187,0.005733097006830977,0.004943165331915908,0.005923609482868138,0.006028603362630199,0.0059368508933656155,0.005947431736457131
16,70,0.005897930254542135,0.005915184838578963,0.00550289041167491,0.006197112208188874,0.0054960825122506935,0.00600262903282328,0.005907161383789077,0.006025976240909335,0.005694653379579927,0.004843118473265514,0.005899655986112532,0.006023009249749796,0.0059252528871357206,0.005980210932531053
17,80,0.0058853709688985135,0.005896178247907056,0.005442316483310754,0.006217407213377783,0.005419907878711316,0.006022637165293483,0.005879619215517391,0.006015826050310164,0.005654225747564384,0.004725212004646939,0.005886657460995339,0.0060247380397038496,0.005914487722710982,0.005959003878172842
18,90,0.005870610378661192,0.005887120770806031,0.005382758901562775,0.006247791720081311,0.005369259321033138,0.005976647179283097,0.00585868437316665,0.006010575867561793,0.0056169787611150945,0.004623197559723231,0.005876636786233525,0.006008067520417551,0.005909946191451804,0.0059762175875240995
