,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,0.002833577908869639,0.002959020962947258,0.003559348158757026,0.0027049955824034163,0.003102708681057449,0.0033944074669210256,0.0028494303429577473,0.02171939690210042,0.0030582569284436636,4.2437432984335134e-05,0.002988758344408335,1.4033815751900913e-06,0.002929245009864158,0.002704412916090598
1,-80,0.002831135855638133,0.002914931416544486,0.0032043588647669096,0.0026475193404327056,0.0030565813583065932,0.003276399101552982,0.0028463126896906446,0.019708626314827657,0.0029749956705523587,1.3446272686681271e-05,0.002883211904053092,7.717190822583535e-06,0.0029199280027970348,0.0027050280599224224
2,-70,0.0028173336930742356,0.002866619502963357,0.0030964438363186918,0.002648679325621388,0.0030235000215676207,0.0032594348639196605,0.00284666712537354,0.01693386467687814,0.002951522034390249,9.50825067588501e-06,0.0030107267797530963,9.511931666834371e-05,0.0029092875563116235,0.002699361632426595
3,-60,0.002817428417152073,0.002837699806536759,0.003012641250545615,0.0026656392544856587,0.0029771729033555845,0.003189326779892013,0.0028386403337925196,0.013951821474548789,0.0028865775226639794,0.00012160705430785483,0.002931730072365431,0.0003271720440595135,0.0029011687864315904,0.0026704900444082975
4,-50,0.0028087049664322038,0.0028224130900949625,0.002980652175449768,0.0027223589196379494,0.002947730827330049,0.0031299040039781062,0.0028237776635615334,0.01132129011173601,0.0028547132333092075,0.00034771184953777705,0.002891249749905092,0.000691129877803715,0.002873133117892525,0.0027158026490329995
5,-40,0.002802990870937593,0.002809595553512209,0.0029286161068707572,0.002748054925729512,0.0029194715614418326,0.003091450014117567,0.00281939273815795,0.008702108366899152,0.0028619769413752226,0.0008681288225367231,0.0028543253882091207,0.0011208200877331877,0.0028197169239867603,0.0027685585956686164
6,-30,0.002795148394841182,0.0027979005379202763,0.002900711275608167,0.0028405353865779215,0.0028920696832830787,0.003009567898304967,0.0028182194647378314,0.006556194523918984,0.002844171441176656,0.0012365916236347354,0.002819109687220213,0.0015721611296605814,0.002844544903154871,0.002836386544919556
7,-20,0.0027536999750168603,0.002781102166798898,0.00285587605743503,0.0028065120211337715,0.0028376332146011346,0.002931657992683447,0.0027954999756391085,0.004887441430699086,0.00281139063416539,0.0017442398891718345,0.002787101676903009,0.002000287449602799,0.002800653898369116,0.002781086812028612
8,-10,0.0027812380051908973,0.002776824576813659,0.00281486242482861,0.00279472666223673,0.002824821960125859,0.0028410583211430705,0.0027830517619327816,0.0036723225173723993,0.0027906174936118792,0.0022956363495719176,0.002752341930465834,0.0023912892125507587,0.002767102919754582,0.0027922616816775363
9,0,0.0027739612118481433,0.002775108480773693,0.002783245588284783,0.002783245588284783,0.002783245588284783,0.0027652299280582753,0.002775823511484298,0.0027709832567363382,0.002783245588284783,0.0027895980631550106,0.0027732666907069156,0.0027695203672094514,0.0027703859147934448,0.002774036962608364
10,10,0.0027729256049740187,0.002764173313711048,0.0027386011592068268,0.0027540263183887673,0.002733892372793611,0.0027226536413795994,0.0027836153323793585,0.002112122096050141,0.0027402548954330256,0.0031952657107719596,0.002769492849945991,0.003089124171715652,0.002718624150574137,0.002768473589030664
11,20,0.002758218205717639,0.0027234726441257456,0.002672549058779012,0.0027382335491814088,0.0027061935503888495,0.0027001573676505865,0.0027556927284147622,0.0016201813632604528,0.002697739323083562,0.0036153540824001643,0.002747910401532078,0.0033699853515529866,0.002693490246307503,0.0027492254203567365
12,30,0.002751277587255986,0.0027206318108984858,0.0026677237914639685,0.0027299072105632064,0.0026938338522443706,0.0025325902719639357,0.0027584134601988347,0.001265374117274744,0.0026984491061315865,0.003971885376195184,0.0027383638928064366,0.0036027337603796784,0.0026953858555544617,0.002727730384248431
13,40,0.002737135568587872,0.002749305258948188,0.002607317536393902,0.002721169028025631,0.0026547873829552452,0.002590502675438838,0.0027537422229903324,0.0010047245602722008,0.0026866254425813143,0.0042631755934050015,0.0027452424892427515,0.0038510820489731385,0.0026694320868416986,0.0026885334522975014
14,50,0.0027279773579947796,0.002735904865016544,0.0025872443066000334,0.0026745914650860266,0.0026449094473615905,0.002563851379990131,0.0027423548177192693,0.0007902950912589752,0.0026712312316004025,0.004393962637449936,0.002718764182185337,0.003982572625600512,0.002625291126889877,0.002696146555938188
15,60,0.002728484444632782,0.0027240736109290053,0.0025809364050545405,0.0025821822818703705,0.002609061581690634,0.0025730437416637783,0.002751539750679179,0.0006288577743906193,0.0026365937215806256,0.004420398937337672,0.002713146636091739,0.004104740102443339,0.002577128756076481,0.002638243058771254
16,70,0.0027228435851600593,0.002690720106507003,0.00255806462256451,0.0027386545033827566,0.0025846574228230754,0.002571068286314278,0.0027025582227315826,0.0005031105534777176,0.0026407019498680094,0.004529662008582473,0.002723983743240173,0.004200112475121373,0.0025439615510195997,0.002644021632155273
17,80,0.00271317305762471,0.00269294150917447,0.0025192185747142624,0.002661471556334279,0.0025325688860481648,0.0023826618570693637,0.0027325023292001814,0.0004083821731487557,0.0026239271622643776,0.004688356550559619,0.002708669011063702,0.0042346225085942366,0.0025092780386908285,0.002468683026394996
18,90,0.002704697334567719,0.0026734247674511935,0.0024880725551370184,0.0026005290696600554,0.002520146211115589,0.002411439207691217,0.0027345957119102845,0.00033399468972744915,0.002593165414332949,0.0046584757245139675,0.0026990433341903385,0.004352948381738749,0.002458118836613579,0.002389305919010719
