,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,2.3407515800601106e-09,9.478097016056653e-10,1.895109267366874e-09,1.4104258874154642e-06,4.936706583821825e-10,1.8737042224969368e-08,1.3581713958209833e-10,1.2595252496165907e-07,7.823612304829059e-10,9.150155240538126e-08,3.9891116777995446e-07,4.944625827226093e-07,7.583778994575398e-09,1.8495364607217899e-09
1,-80,2.4235649898118294e-10,2.3668213835682932e-09,2.4111359615964315e-09,7.572190479805281e-07,8.02718190556386e-09,3.5898799482219385e-08,4.068282572792531e-11,1.4678977531420215e-08,2.0863958525627773e-09,5.883258508778572e-11,7.16600380778243e-07,3.9616364321656383e-07,2.4748403280892567e-08,3.2537620600022737e-09
2,-70,1.518037996238247e-13,9.59393244641166e-10,6.664888571873393e-10,1.6379219258196118e-06,4.938176968302605e-10,1.1750242852977913e-11,2.020308996078711e-08,4.8707997738151e-07,1.3412143806677414e-10,1.3791641838087458e-06,5.3243944925564004e-09,4.055889626502975e-07,5.442194248143089e-09,3.408263821969684e-07
3,-60,2.0322341134517743e-09,7.766346844196294e-10,1.1436685155849872e-09,1.4434775575467585e-06,7.706319636290952e-09,9.922317649711407e-09,1.613515650807691e-08,2.493302663997898e-07,9.917712076772724e-09,1.3311409357259077e-08,6.707540953382673e-10,1.515397752187593e-08,1.0613153007775004e-08,4.805319601406815e-07
4,-50,1.0346279092143004e-09,7.248932510609685e-11,7.140736309833495e-09,1.943460499842376e-06,1.6177796307910235e-09,1.5761404094008032e-08,1.327991370694137e-09,1.6994991341105265e-08,1.1775548102234723e-08,1.6409630606490022e-06,8.219642128225494e-09,6.094149169407767e-07,9.971638412971504e-10,7.187876574602153e-07
5,-40,3.8861162404865607e-11,3.4349187746437205e-10,9.150171606006652e-10,1.6544716028777653e-06,2.583458998818654e-11,4.907007652908235e-08,2.95931838287611e-09,9.345746091553906e-10,1.2349113974006501e-08,1.5834004160271739e-06,2.6634663023195933e-09,1.0892196940004409e-08,2.8284539542851787e-09,1.319151400997095e-08
6,-30,6.9301513115391175e-09,2.6117203917757395e-10,3.092523981498049e-09,1.5802021364384386e-07,4.082748734449475e-09,1.6875893548414897e-08,7.921891135649378e-09,1.585937170027754e-10,1.0155894079588909e-08,2.4086311057883287e-06,4.306266052226886e-09,4.180272617995494e-10,7.063966599666607e-10,4.181686515963857e-09
7,-20,1.0937870417865614e-08,2.291300893869147e-11,6.82430029912082e-09,2.101034885843968e-08,1.2728124558529957e-10,9.614895429407032e-09,8.015299925966875e-08,1.3633776548262867e-08,7.79072555230277e-09,1.1642131596973321e-06,3.335388117674266e-08,2.8216639502397306e-09,3.127014347775168e-10,6.053096843902633e-09
8,-10,2.5692984059364735e-09,1.5338074108127765e-10,1.3390764520837428e-09,6.763260271320595e-09,4.272426090835392e-08,5.027370547282881e-09,3.416068680696883e-13,1.6086948270039818e-10,1.3463432808126767e-10,3.9659191187474245e-09,9.58756960267849e-09,7.272790048401243e-09,6.270919937735436e-10,7.759905782051125e-11
9,0,1.6399686699263932e-10,1.5549253287030606e-09,7.377447009081329e-09,7.377447009081329e-09,7.377447009081329e-09,2.1573471504821228e-10,7.962122848670058e-10,7.820718341415172e-11,7.377447009081329e-09,4.975138506932982e-09,4.610257056877475e-10,6.576278129630351e-10,5.554250225992023e-09,1.1608519153611062e-09
10,10,1.9051784096804678e-10,9.72853840070894e-10,1.7699916291117863e-09,3.03536004160672e-09,9.899584202089309e-10,1.8732815454004154e-08,8.644893873284437e-09,9.879883253586117e-09,4.1429533695213494e-09,1.6805020671644178e-08,1.0593953723907439e-10,3.932055372475659e-09,1.1922682475461083e-08,5.714978973496088e-09
11,20,1.0175560255633232e-09,1.0332599604657571e-08,9.426567063915905e-09,1.1244391238974703e-08,2.1004291053691458e-10,1.1283292651837516e-07,7.512434610709917e-10,3.173359699470557e-10,1.0724681327724941e-08,8.649949459152202e-09,2.586102098229798e-11,2.57968076147364e-10,1.3589031434037746e-08,2.2361671550666379e-10
12,30,2.1214182494337824e-08,8.552363171462627e-09,2.74277428873301e-10,1.0479978067624195e-08,1.0892803158290326e-08,6.405103661189835e-10,9.989417533261495e-10,2.6928789633273512e-09,5.830613546628454e-10,2.8089406888316805e-08,1.4738156204928257e-08,1.816120742244996e-10,1.0198291126838719e-08,2.2834813398429671e-10
13,40,8.748133977172525e-10,3.762655118265755e-08,5.864657652330309e-09,6.477232632566252e-09,5.861185749572646e-10,1.413181029246952e-07,8.0099940277986e-14,3.2172428603301645e-09,1.9604996361065815e-10,3.3209954078144735e-08,1.795229270428215e-08,1.317375015669514e-09,1.937753580072151e-11,1.6621557067676334e-08
14,50,2.8202368951692255e-09,3.197139943288264e-09,9.240504917398001e-10,3.1179573030472873e-09,3.381090563060295e-08,1.7067179599685175e-07,4.311451435258615e-10,1.2258900676222361e-08,6.105483330425922e-09,6.644695644550785e-07,1.1597039189270871e-09,6.871611761005538e-10,3.745600840828504e-09,7.711626789207042e-09
15,60,5.000481715253506e-10,8.958318060341747e-10,1.6107600907500395e-09,2.7962969136122265e-08,2.299450409625288e-08,2.8908370819935444e-07,6.10755867413251e-09,1.2474069273121393e-08,5.77402497797806e-08,5.670132276478476e-08,5.656392295423437e-10,9.346268116246271e-09,9.781022440541768e-09,3.77440187505036e-07
16,70,7.106106998167762e-10,8.929148185835623e-09,1.2010631510869056e-08,1.2780363990484842e-08,1.9520160498609237e-08,7.4525883135864796e-06,5.827479344937647e-09,4.795654879117643e-09,6.013375602435866e-09,5.623783684013021e-07,8.707873324871899e-09,1.2649088901876352e-08,7.012209681920094e-09,1.853601228963194e-08
17,80,3.192067781384104e-11,1.5770494043005927e-09,5.490184399964092e-09,4.959289537982663e-08,2.438486254093807e-07,3.4013957825603948e-06,1.1705568988293752e-09,2.0756420962252624e-08,2.916979328372653e-09,5.723783498182673e-07,9.115830623342019e-09,2.1704427201377176e-09,4.24311230808292e-09,1.9508474536020249e-07
18,90,1.6898467613931926e-12,1.0368595032559326e-08,4.2445509358388904e-10,6.542550850778966e-09,2.8283343793298513e-08,1.70721572065392e-05,1.4816729942291756e-08,1.2409339426754819e-08,9.206669322824855e-10,4.641593545180106e-07,3.652472391648492e-10,1.8699527112361753e-08,9.526514134518196e-09,1.59565190992576e-08
