,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,2.619132265869387e-05,0.012800855849335947,2.363284183987974e-05,7.011414222307813e-07,2.6292218117020066e-05,0.00021550601988317426,2.663178123821341e-05,3.032126562744434e-05,7.235789650391008e-06,0.00027667832007906886,5.736746535953674e-06,3.6441911341117757e-05,3.2359312209272886e-05,1.0942682223268652e-05
1,-80,2.5989485738177323e-05,0.006140224419237052,2.5497169403267086e-05,8.748334038280535e-06,2.474728355385861e-05,0.00020138262882952714,2.6688579475188455e-05,2.6240977166178254e-05,1.5896519997236983e-05,0.0002798008196996348,1.6512019567794613e-05,4.090495039335241e-05,3.325918585181735e-05,1.3707506538071907e-05
2,-70,2.5318192312942163e-05,0.0020430859259396306,2.6647791401109275e-05,2.3221735018361676e-05,2.6003575694571765e-05,0.00018664254687253775,2.9124096941791116e-05,3.840633763025041e-05,2.081732115669512e-05,0.00014160164403922014,1.84173777195699e-05,3.859563760311517e-05,3.168490342574401e-05,2.1684469278408604e-05
3,-60,2.634554625721439e-05,0.0007853333090158707,2.5068215374255375e-05,3.483453399640403e-05,2.4426587283345388e-05,0.00015972696321579904,2.879825021851163e-05,3.9377942968199834e-05,2.0177860852350335e-05,0.00015290111889959464,2.046992739937597e-05,3.1729054184160265e-05,3.19955023742025e-05,2.3868592680827433e-05
4,-50,2.6001154458554197e-05,0.00035744814849804346,2.79810885601154e-05,5.2622990560156705e-05,2.5430315569249418e-05,0.0001297424857202765,2.694561220363447e-05,3.0654812717815296e-05,2.0806170800124776e-05,4.1361460017892295e-05,2.3649505160411196e-05,4.224574526529076e-05,2.954344042880235e-05,2.54005093375954e-05
5,-40,2.564455474879987e-05,0.00018398356754340288,2.672130972082393e-05,6.448402459090071e-05,2.6515644269436838e-05,0.00010041622750831565,2.732675856630658e-05,3.267465403783987e-05,2.6148218957003747e-05,1.0906413566588726e-05,2.4261885045056157e-05,3.302956148616551e-05,2.548953502881509e-05,1.8572702072925262e-05
6,-30,2.6744713724109863e-05,9.998524310931894e-05,2.7582824498307943e-05,6.171987530037866e-05,2.7631733242566426e-05,7.511781384806684e-05,2.8133301760163816e-05,3.0659555105352546e-05,2.6669140327418968e-05,3.4019414501944214e-07,2.4750152073863256e-05,3.0033328727393066e-05,2.8500388715217076e-05,1.9536626062179106e-05
7,-20,2.1881000462516367e-05,5.914476271065788e-05,2.7448432947431133e-05,4.909207207617529e-05,2.5170432473084276e-05,5.3360139753924515e-05,3.014665048424555e-05,2.9658915725511488e-05,2.616078899079927e-05,1.4887684513656606e-06,2.6443812954417628e-05,2.696018741967773e-05,2.5723254418336964e-05,1.77050290882856e-05
8,-10,2.609971613435584e-05,3.8061339672948386e-05,2.6342823019512296e-05,3.7176860668854766e-05,2.963209012281005e-05,3.589044551745725e-05,2.5463390285502104e-05,2.633275958754817e-05,2.5182901155868972e-05,5.808418461233183e-06,2.1567008504864468e-05,2.4029481062213763e-05,2.4037098920315092e-05,2.2758232217830663e-05
9,0,2.514878234131224e-05,2.5947555708436848e-05,2.706358843270109e-05,2.706358843270109e-05,2.706358843270109e-05,2.4566412353250342e-05,2.5798733581035597e-05,2.5038963781310296e-05,2.706358843270109e-05,2.724009675439896e-05,2.5567397254846746e-05,2.5514127558192697e-05,2.6142687857933733e-05,2.5782914693140727e-05
