,Change,GPDIFF_weight,GROWTH_weight,KM_weight,OUT_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,0.13862554675656932,0.13797207716694762,0.1519484800519535,0.176069806297539,0.11135411681553814,0.15179392255365806,0.11175946336915417,0.13718130989897767,0.13051379743787242,0.14509092178422556,0.023799616040485833,0.13647297860516427,0.13055798543188665,0.13501454279788352,0.13715445063020026
1,-80,0.13826184863905885,0.13790074105659,0.15056900367654655,0.1704062958458412,0.11244020625452755,0.15012086478135145,0.11311540113239171,0.1368713426122262,0.13077519587821973,0.14412928310489384,0.028397002849625604,0.13714405438104973,0.13085790845326922,0.1347851113651555,0.1368649079963383
2,-70,0.1378960105867776,0.13770804038857284,0.14863420168896804,0.16504747457520694,0.1150783446681538,0.14833394916739998,0.11548764068820784,0.13661082943122704,0.1314912968246816,0.14304743984986346,0.03681672301279645,0.13707777023263124,0.13145364425867376,0.13461740816037276,0.1367163239717917
3,-60,0.137544775956262,0.13743042384809154,0.14662427978101145,0.160043153725901,0.11805121489594654,0.14643943144037125,0.11839650285401897,0.13635725079725974,0.13221684242617668,0.14191530702875368,0.046288324752155795,0.1370321530885768,0.13212444618748903,0.13454022671391047,0.13651479231313404
4,-50,0.13718559617002693,0.13711845797498518,0.14466731751182021,0.15534316345051621,0.12109821433615858,0.14454073410071938,0.12180446733671639,0.13611974496855755,0.1329335301628357,0.14079857582268804,0.05903486465585557,0.13687683296510852,0.13309688774509423,0.1345080724442995,0.1363732398472073
5,-40,0.1368294243191743,0.13678997436002935,0.1427202422164212,0.15088373539441974,0.12430795396626061,0.14265691471893432,0.12530289389268914,0.1359333311519225,0.13368952638275072,0.13971527881501453,0.07227459927096956,0.13663482869255925,0.1336804321967685,0.1345407386743733,0.13602256281712172
6,-30,0.1364820471045557,0.13644987688587204,0.14084084924699042,0.14672269874896685,0.12689601837620593,0.1408069510682128,0.12857181679657328,0.13578064951732594,0.1343172210106306,0.13862494355779786,0.08679261583244673,0.1363551627769286,0.13430780151855928,0.13469560222344518,0.13585083268194925
7,-20,0.1361077723832394,0.13610611188797142,0.13899335287759684,0.14274445559455423,0.12986178261011252,0.13895488803025277,0.13138811676821716,0.13566111804011402,0.13481364416398176,0.1375392036167809,0.1019361577175233,0.136066624463656,0.1347963758399785,0.1348645971427068,0.1356715837156317
8,-10,0.1357773964649971,0.13576582616036695,0.1371861356439583,0.1390159941004553,0.13274412132311425,0.1372107082087586,0.13366040645991684,0.13551048875033586,0.13517075160145586,0.13647025085968179,0.11803623822366444,0.13572905090217113,0.1351582208361085,0.13510893752538927,0.13555254453154997
9,0,0.13542483928250704,0.13542883278710635,0.1354403211141653,0.1354403211141653,0.1354403211141653,0.1354403211141653,0.13541934698632357,0.13542880522070797,0.13542269748915528,0.1354403211141653,0.1354436979580455,0.13542626973023397,0.13542422098881451,0.13542961482841134,0.13542778476546558
10,10,0.13508454936642708,0.13508391931817554,0.1337167666161313,0.13204878031490783,0.13790568876261677,0.1337146770265787,0.13678544470424314,0.13538719838624386,0.13558964476743463,0.13439210926378137,0.15372421136217868,0.13510760946651332,0.13558569086956843,0.1357619424967061,0.13532051725742988
11,20,0.13473191618545158,0.1347254958092432,0.13202891093075847,0.128805269050141,0.1401665307027221,0.13205568886974323,0.13789308895236776,0.1353252707519627,0.13565178385887375,0.13336097540038572,0.17292010064724248,0.13477042216283777,0.13565920448512533,0.1361563710244162,0.1351947342813966
12,30,0.1344053327623768,0.13438540284243705,0.13041475959884008,0.1257641169954416,0.1421967688024126,0.13045249815839854,0.13834055198228778,0.1353177789438186,0.13567178450360703,0.13236737789181557,0.19290238412658392,0.13445304977662806,0.1356651863460866,0.13660771825128726,0.13507138292487392
13,40,0.13404383958819155,0.13408784692111336,0.1288121146908701,0.12284179253099338,0.14399683858478168,0.12885321626157017,0.13911897841322304,0.13532103482669328,0.13563252326976824,0.13138601620187626,0.21369167101903472,0.13413637592763752,0.1356291971630453,0.13705831206339192,0.13493601492277246
14,50,0.1337026198315628,0.13372756474058586,0.12726426575257357,0.12005557369614986,0.14557232993262176,0.1273387826034964,0.13952697938564232,0.1353380017538958,0.13555456429710264,0.13042228883538387,0.2353714145122953,0.13377747910258736,0.13553921406197256,0.13752999165772406,0.13481063663291867
15,60,0.13337261590818877,0.1333826347625805,0.12576864338153945,0.11737366004178398,0.1468914195310417,0.12581556666567648,0.1399867826978543,0.13539618271143283,0.13543324093548345,0.12947805226916892,0.2576445872217181,0.13344941063340843,0.1354242943848547,0.138020592472006,0.1348073440560981
16,70,0.13303771342026413,0.13303650684085835,0.12430315363871618,0.11482801974633677,0.14806306928167506,0.1243401458487417,0.14196618839194694,0.135412970309419,0.1352593814307704,0.12852582909790985,0.2812754887688086,0.1331434046250099,0.1352685872698942,0.13852132803077394,0.13455591390096386
17,80,0.13269951247526166,0.13270612246021826,0.1228463273428003,0.1123665824981159,0.14892157674334125,0.12295936233514176,0.14136560303549142,0.13550649139264911,0.1350874772335107,0.127594899839042,0.3046395601600486,0.13280736259038325,0.13505499619142713,0.13902134571014788,0.1344517658023488
18,90,0.13236657261842477,0.13237087229902375,0.12142854890062485,0.11004072122718805,0.14967603967845486,0.1214846456778574,0.1436925321200238,0.13560181829276802,0.13487725127839906,0.12666549454024342,0.32918382174470606,0.13247015919036245,0.13488662721220665,0.13950723246698243,0.13425842613132136
