,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight
0,-90,1.2611736499353382e-06,9.108053957029004e-08,1.1721915606188637e-06,6.465242168609847e-08,1.269590851082176e-06,1.3670694325332238e-05,1.2823223896096287e-06,5.497481901053179e-07,0.002194673952933888,1.528232299484575e-05,6.620016064017151e-07,1.3765697570209342e-06,1.5387522376154157e-06,4.976094428757973e-07
1,-80,1.2517678645536658e-06,2.98404156156844e-07,1.2352408017820375e-06,3.768818805319685e-07,1.192991184462373e-06,1.1391052104802403e-05,1.284718893362136e-06,5.04970697962473e-07,0.0003903030540001132,1.7485423013332292e-05,1.3916987206959792e-06,1.2373427854766323e-06,1.5829660868114833e-06,8.834414728009697e-07
2,-70,1.2190943434800487e-06,6.277129624619978e-07,1.2861481958819289e-06,1.0119525371592654e-06,1.252830364706434e-06,1.0949273677772852e-05,1.4008695448864914e-06,6.149190649509768e-07,0.00011126085586263145,7.105211515297582e-06,8.873096562493173e-07,1.2244926181598082e-06,1.5083961193386082e-06,1.1517169640002597e-06
3,-60,1.268388772093205e-06,8.474897987811022e-07,1.2092933914716945e-06,2.9663277584819867e-06,1.1774610717175255e-06,9.088721653701376e-06,1.3855343964133406e-06,9.59447785918703e-07,3.589400707802245e-05,8.566648369088395e-06,9.862518473880105e-07,1.3621127913551806e-06,1.5238668675631752e-06,1.2500944488463245e-06
4,-50,1.2519269891378159e-06,9.93800068194485e-07,1.3487979270344566e-06,2.524772690308876e-06,1.2251890793484427e-06,7.252054372427543e-06,1.2976649594257507e-06,1.4633504929548615e-06,1.5519114736344315e-05,1.9805698373389833e-06,1.1385349275638221e-06,1.8891247029419814e-06,1.4092740916768515e-06,1.2520994872955618e-06
5,-40,1.2348039566173748e-06,1.0955617720682892e-06,1.2873063259307892e-06,5.810549025051386e-06,1.2768082243355195e-06,5.227116469143152e-06,1.315511895138639e-06,1.5617351502744457e-06,9.504728337701059e-06,4.7094824002718445e-07,1.1681024783556564e-06,1.5925169111186888e-06,1.2109000346625583e-06,8.991951002699855e-07
6,-30,1.2873142905128214e-06,1.1225943325682094e-06,1.3277312568043619e-06,2.8574578829573243e-06,1.3300466921648885e-06,3.737405528414532e-06,1.3536156294906249e-06,1.4688258423238545e-06,5.2899830706286585e-06,6.1379615085002315e-09,1.19174153437402e-06,1.4464497348275758e-06,1.363478119270398e-06,9.450549993296509e-07
7,-20,1.0550288304086388e-06,1.1498188998316443e-06,1.321178781123006e-06,2.295354171252829e-06,1.2130670544688423e-06,2.6186693051383835e-06,1.4494287424918406e-06,1.423041264902865e-06,3.0527826726469532e-06,7.609208615131707e-08,1.2728171000332243e-06,1.2985717608797638e-06,1.2336211119302522e-06,8.574782563834392e-07
8,-10,1.257142821941448e-06,1.1947631759159936e-06,1.2682362261460718e-06,1.7618337690715046e-06,1.4263596381758586e-06,1.7416637368106918e-06,1.2263494461256516e-06,1.2668516245814891e-06,1.8446534259483923e-06,2.8546775376752263e-07,1.0401006402837175e-06,1.1580079532591145e-06,1.157425171391734e-06,1.0978351255368384e-06
9,0,1.2109647411801915e-06,1.2517686761429263e-06,1.3024479611121065e-06,1.3024479611121065e-06,1.3024479611121065e-06,1.183321955673801e-06,1.2420911667449156e-06,1.2054199641453317e-06,1.3024479611121065e-06,1.3111131002741832e-06,1.231947775224168e-06,1.2289244692074743e-06,1.2586087601466677e-06,1.2413593574405727e-06
