delt,USA,EUR,JAP,CHN,BRA,IND,ROW
0.0008333334410874397,1.0118699176562729,1.0153086336648542,0.9506277663203633,0.9177179210443464,1.0145164475112487,1.0144819250319062,1.0159703735738386
0.0010554998720001501,1.011667400487608,1.0150436430020127,0.9502942102506347,0.9247524351001273,1.014283591871052,1.0142539229738083,1.0157047945841657
0.0013368958028835845,1.011452689319905,1.0147604434006585,0.9499404995617651,0.9323451433267391,1.0140345125625394,1.0140106137782303,1.015421410344009
0.0016933117996318398,1.011226745233834,1.0144660085318165,0.9495688046020379,0.9404541721390948,1.0137755760713667,1.0137584666861905,1.0151272667993414
0.0021447481879947983,1.0109922095961426,1.0141706553695553,0.9491802613384231,0.9490699251125019,1.0135165232824734,1.0135072688926399,1.0148329271659282
0.002716537374219615,1.0107612270789659,1.0138776343442046,0.948795930908873,0.9577474423509956,1.0132594198225138,1.0132586230801637,1.0145411349617164
0.0034407653760190017,1.0105392227191452,1.0135946941672502,0.9484310094519266,0.9662560572962898,1.013011194735351,1.0130191444605876,1.014260057752465
0.004358072333244505,1.0103262401935367,1.0133344704970373,0.9480948009070839,0.974440978081045,1.0127832369610146,1.0127999425847296,1.014002011508728
0.005519933034133832,1.0101319807943987,1.0131014001258887,0.9477942296557217,0.9820060642086234,1.0125792129599964,1.012604264317622,1.0137712415377667
0.006991545429131926,1.0099625410721873,1.012897479765585,0.9475323688176632,0.9887179108704361,1.0124005960629063,1.0124332335966817,1.0135694031298763
0.008855489221580004,1.0098198869529773,1.012725249666905,0.9473132734429212,0.994473717067694,1.012249669071161,1.0122889264597732,1.0133989667029903
0.01121635983752111,1.0097039816606825,1.0125849051497382,0.9471340786857493,0.999217073162092,1.0121266391785444,1.012171426726313,1.0132601370378436
0.014206637810385135,1.0096131259695336,1.0124746178582889,0.9469966685046379,1.0029835501647337,1.0120299912771786,1.0120792163644137,1.0131510705136495
0.01799412294176807,1.0095444437421581,1.0123911235873684,0.9468904954659687,1.0058624666347626,1.0119567938739897,1.01200941574421,1.0130684557580225
0.022791350407115524,1.0094943056985264,1.0123300450973922,0.9468137182224553,1.0079848218333758,1.0119032998922615,1.0119584259719951,1.0130080558788084
0.02886751719219303,1.0094589163416658,1.0122868419010995,0.9467596416876141,1.0094963757654436,1.0118654738000143,1.011922364808795,1.0129653116400044
0.0365635881137342,1.0094346626194386,1.0122572056945072,0.946723737393209,1.0105397980884259,1.011839538137493,1.0118976797301973,1.0129359831563112
0.04631142910039929,1.0094185123583652,1.0122374538296701,0.9466978878816934,1.0112396335913667,1.0118222611162702,1.0118812118342921,1.0129164372538773
0.058658041400364874,1.009407982863039,1.0122245498451328,0.946682520708348,1.0116971070276277,1.0118110075668127,1.011870493139232,1.0129036894507182
0.0742962566209656,1.009401290902069,1.0122163504966264,0.9466714991591055,1.011989658539336,1.0118038331897417,1.0118636703732604,1.0128955580490082
0.09410361505616242,1.0093970935066063,1.0122112286194989,0.9466648026268583,1.0121730500960147,1.0117993378122836,1.0118593987944415,1.0128904663087523
0.11919160896377486,1.0093945053165374,1.0122080301787413,0.9466616762900046,1.01228633952981,1.0117965702494087,1.0118567524714381,1.0128873290628664
0.1509680540847945,1.0093929632931968,1.0122060974045175,0.9466585224618832,1.0123554471479117,1.0117948855422283,1.0118551504405855,1.0128854245436656
0.19121608938995252,1.0093919910263633,1.0122049268094762,0.9466578760263531,1.01239731549163,1.0117938611772754,1.0118541742017833,1.0128842560551352
0.24219423813364896,1.0093914043737655,1.0122042250894243,0.9466562060622477,1.0124223135817163,1.0117932681915345,1.011853594988814,1.012883560719121
0.30676314515310266,1.009391072641767,1.012203820346762,0.9466571453148339,1.0124372278791935,1.0117928793693034,1.0118532465323928,1.0128831476299218
0.388546102291231,1.0093908856260592,1.012203570879491,0.9466556581245125,1.0124460240577842,1.0117926867455609,1.0118530279232145,1.0128829072427672
0.49213236984632225,1.009390758546573,1.0122034326288378,0.9466559026870459,1.0124512126673353,1.0117925516962585,1.0118529207570301,1.012882766940452
0.6233347034556607,1.0093906918973827,1.012203341951018,0.9466558352950544,1.012454276891655,1.0117924605122806,1.0118528446338857,1.0128826705636116
0.7895155375645937,1.0093906611967394,1.0122032859466392,0.9466548204208719,1.012456066928895,1.0117924250151742,1.0118528052901743,1.0128826227760805
1.0000001293049274,1.0093905876866966,1.0122032504321188,0.9466553947191236,1.0124571190515483,1.0117923995073657,1.011852787174121,1.0128826068737966
