,eta_CHN,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.10084243644244376,0.01,0.01,0.01,0.01,4.983347404360579,10.979073236865034,0.01,0.01,3.157926940239464,2.8049648076714235,2.902838568234942,12.0
2,0.052367778368436826,0.01,0.01,0.01,0.01,5.144851260897624,12.0,0.01,0.01,2.447848084629162,1.2383110255271312,2.386311895439073,8.76923324165037
3,0.028130449331433362,0.01,0.010000037873995577,0.010001225053902146,0.01,4.620130994828629,11.999998774946098,0.010001225053902146,0.010001225053902146,1.841584304701083,0.07362112996508617,1.934481250625446,5.873306735720443
4,0.01601178481293163,0.01,0.01,0.01,0.01,4.509819898585393,12.0,0.01,0.01,1.6574887028851564,0.01,2.0726095038075605,5.559024844594224
5,0.009952452553680765,0.01,0.01,0.01,0.01,3.744621629778865,9.768660299287825,0.01,0.010001611956248928,1.6105977752079648,0.01,2.224334602304717,5.855469579513049
6,0.006922786424055333,0.01,0.01,0.01,0.01,3.071529704334713,8.430935526178008,0.010000560475716477,0.01,1.6074313957005697,0.01,2.118176217523604,6.199641786954623
7,0.005407953359242617,0.010000000118852147,0.010000014353764726,0.010000015184535296,11.999999984007037,4.7000569084227894,11.999999984442017,0.010000012504613241,0.01000001254620631,0.8245986627220173,0.010000012626320763,1.8408525446639967,4.07045578039329
8,0.006165369891648975,0.01,0.01,0.01,0.10413717161473962,4.063393327790995,12.0,0.01,0.01,0.6993985843381088,0.01,1.4929705774704898,3.517333169732527
9,0.005786661625445796,0.01,0.01,0.01,9.945923376485242,9.400223211948466,9.905971416086713,0.01,0.01,1.2286218089274663,0.01000003113106633,3.0477902280384024,5.93706079824292
10,0.005976015758547386,0.010000041311470866,0.010000041311470866,0.010000041311470866,0.12105698353488395,4.252056938883233,11.999999958688528,0.010000041311470866,0.010000041311470866,0.7762619959551923,0.010000041311470866,1.7352481916137872,3.7531767010938224
11,0.005881338691996591,0.010000008591187905,0.01,0.01,12.0,11.999999991408812,4.874966488768864,0.01,0.010000008591187905,1.3880750383785192,0.010000008591187905,3.8079403256114777,6.2711068310642695
12,0.005928677225271989,0.01,0.01,0.01,12.0,4.58452997452932,12.0,0.01,0.01,0.360986711417368,0.01,1.028013923963905,6.042121755565607
