country_code,country,fee
1,USA,18037.73371560506
2,EUR,33936.536474486405
3,JAP,32355.541318880743
4,CHN,19897.69677176974
5,BRA,29943.18719038549
6,IND,16216.849951364333
7,ROW,132309.42409117648
