,k,g_0,fe,fo,zeta,nu,theta,delta USA,delta EUR,delta JAP,delta CHN,delta BRA,delta IND,delta CAN,delta KOR,delta RUS,delta MEX,delta ZAF,delta ROW,eta USA,eta EUR,eta JAP,eta CHN,eta BRA,eta IND,eta CAN,eta KOR,eta RUS,eta MEX,eta ZAF,eta ROW,T Non patent USA,T Non patent EUR,T Non patent JAP,T Non patent CHN,T Non patent BRA,T Non patent IND,T Non patent CAN,T Non patent KOR,T Non patent RUS,T Non patent MEX,T Non patent ZAF,T Non patent ROW,T Patent USA,T Patent EUR,T Patent JAP,T Patent CHN,T Patent BRA,T Patent IND,T Patent CAN,T Patent KOR,T Patent RUS,T Patent MEX,T Patent ZAF,T Patent ROW
theta,0.0066661775788634525,0.002341989440465264,-0.0076789743336419525,-0.001973418309832442,-0.001994538215441821,0.014354542903686207,0.02403672532910961,0.008679107524293128,-0.040516498288993286,-0.014063260524501686,-0.03378375490799723,-0.037288823045655284,-0.03328660915696502,-0.0527923908949951,-0.05329383841057411,-0.03440904165850467,-0.037583325099945775,-0.042530886794586165,-0.04427030564111201,0.0265041856617243,0.025423129427368796,0.027376615911339774,0.033991564626166815,0.0014730386079286895,0.009563937137898604,0.001931339363543394,0.006109340052682377,0.0008078839892344813,0.0009987573446734732,-0.0035819642544704378,0.032791292048922616,-0.532287507015905,-0.4377039054652454,-0.6341555411568922,-0.27214213088043004,-0.3060372375596182,-0.160882058065282,-1.6525320273812587,-0.792059769595701,-0.389675846212596,-0.3177218841591345,-0.3061071764314244,-0.21385148097955053,1.4543025884009297,1.2161356722931749,1.4512569031218192,0.8748334458804652,0.9516456583275912,0.6730734538878047,5.067828116063087,2.088285783830609,1.1300885408574546,0.9864253798391454,0.9584306754731697,0.7628109314105225
gamma,-0.05643971339956366,0.006023844069685813,0.3340834826644201,-0.26813577155273716,-0.2713500002445163,0.26244047816964766,-0.038984450564749085,0.40465500679500166,0.3670029598304936,0.3496636637157813,0.21929686621627975,0.26050011526599803,0.1698104338633466,0.4705492528007438,0.482038921912904,0.21866201832394405,0.20919238108201177,0.31193531968706223,0.09243059428622025,-0.3104670605274046,-0.2733610690967969,-0.3916201542518444,-0.16134877885389753,-0.17008491083713828,-0.1633498765913055,-0.2677976896552736,-0.29352723685361015,-0.16397701236632534,-0.16593155446478547,-0.160323777568675,-0.1602710073667174,0.17176079374247366,-0.041457383848843565,-0.10415811241528128,-0.043165433627459504,-0.060052875357682334,-0.0315527216866901,-0.033438827519530756,-0.04272402940632025,-0.03973062844520592,-0.03897867460426807,-0.037363926066187325,-0.0318991432013338,-0.3153188978675625,0.030998670668456185,0.1699330122008491,0.027444916355331417,0.05779051217354669,0.00725466736529734,0.009754126490596482,0.031822852092325826,0.021005101553688288,0.02329629459727478,0.0170187741891481,0.012273544558532024
kappa,0.06442094019492806,0.0018406801728065858,-0.18472700094087968,0.2098566108714206,0.003960599370349538,0.015322926243448443,0.018586845165395882,-0.011409114641464102,-0.12474222995168094,-0.17722440969999753,-0.06798541460837526,-0.1450211796766776,-0.10532163730147759,-0.18291765718499386,-0.18870904674132327,-0.14433247813651295,-0.1480264252821495,-0.20221300351507987,-0.13196602108530242,-1.8479693330534712,-1.7461159476847954,-2.1035834824040167,-2.026790831673027,-2.8556120364444637,-2.188802771909643,-2.59403144903942,-2.2537026707278685,-2.8464212966990363,-3.005363788725196,-2.9102604274246078,-1.8054044673252783,0.14536829773509008,0.013754397448655364,0.035736714794163404,0.08232601924050953,0.039762894113978264,-0.32206266974732445,-0.11179669091183564,0.030988237725034784,-0.021351580797830394,0.07110133685818254,0.010854779699722705,0.08859026221726851,-0.2168147356087219,-0.008149035576793251,-0.0070304965828899,-0.11101363456067215,-0.038194990153649355,0.5961176195787998,0.19763056567469683,-0.04327397963246549,0.05980734880524641,-0.08866961680679852,0.005918765910537527,-0.11206196718579531
rho,0.024250281637722138,-0.0037596403993900296,-0.14480707999416975,0.1897486999972664,0.19795680447069475,-0.1872373481447498,-0.0033780811784650533,-0.3167566029116492,-0.2913247501452315,-0.21046302054682442,-0.18193457005228453,-0.19539624228088193,-0.13883116387175765,-0.34423568438922303,-0.36805858646153156,-0.16441961909645086,-0.1551308176957089,-0.21347991497098706,-0.07067776631162925,0.15853948098105586,0.1268940237244598,0.22873723144837932,0.03460012072060148,0.07090457252986293,0.05884806944419063,0.15891796466609764,0.17630744240598517,0.06730782330606311,0.06837771037507712,0.06699736693870473,0.03861265646437517,0.0009069931520477859,0.0009872410695577205,5.593753247268296e-06,0.0028171244061936385,0.0013204469652039474,0.0036242647109663295,7.579987452266401e-05,-0.00011777952782177081,4.30778497650941e-05,0.00014747181191321346,0.0006532636219735988,0.0019076696999476006,0.006629272759275384,0.005534383455340075,0.005539976703923255,0.005152130943094635,0.004715413751128494,0.00498234477105397,0.009136298918608343,0.005468410683588942,0.004528366771175962,0.004727027702583486,0.004442934148064515,0.003967976890394409
sigma,0.23316760732724373,-0.00693956743689661,-0.6189739965310992,3.8406506255482453,-4.10277047757575,-2.393172817018972,0.016555861542010275,-2.902589645124153,-2.9466956541427383,-2.704254980784453,-2.787668248202113,-2.607558078041515,-2.3144185925192553,-3.1288556531973986,-3.413522814818249,-2.4625427675010814,-2.3549827050006127,-2.677485642497447,-1.918279466251968,0.20824809484809248,0.14316827293413548,1.724890465697908,-0.3604934447570757,1.7884054454652387,1.135692274827289,2.2186652233138338,2.3236428667693962,1.8377519185324176,1.712310468940157,3.5061445596078187,0.05294313625000102,0.45622925244880097,0.10913356337524549,-1.1033777489811603,0.14152026409071983,0.13903027062742712,0.1756874029032529,0.1303606183761863,0.10894940709359369,0.1272887403011691,0.15539561333718033,0.14347652225664698,0.15283362861333138,-0.411703839179573,0.08494552124012955,2.8182192175612375,0.08832254700450792,0.07046839380334902,0.0004152558839876086,0.09687140990497056,0.09687670304623475,0.07649589312954008,0.033259128568785545,0.05356622713244108,0.030456925361392884
KM,-0.24834733396057684,0.0013577435657197157,1.4173288613687063,0.70499572749539,-0.123944878754359,0.18167713137059116,-0.012688523138010277,-0.651186124656436,-0.30683439552640746,-0.31671816621656024,-0.4085859344602544,-0.04757205485918903,-0.14995855407460956,-0.23232958848109386,-0.2406393406364976,0.017611675404006766,-0.008174894187135129,0.19591067128970407,0.13076553785469236,-1.1221475638957812,-1.0634549850916502,-1.0424539420881167,-0.9773363548984948,-1.1021972537160252,-1.0632727001913327,-1.0991980059041744,-1.0506064758530076,-1.0956586445000893,-1.1094642858590065,-1.1511244689876443,-0.9871419492555855,0.0033468960164717565,-0.019964748421987255,0.0031035672655743696,-0.016118866590443814,-0.017606989993963484,-0.01995522590402643,-0.0001500524480524401,0.0005706245195280513,-0.022700763638747734,-0.02753484208142143,-0.02531584928755437,-0.03632934931551368,0.024938609800226885,0.01328317420980718,0.023332240956982497,0.02150559630354487,0.0036984051955035735,0.0037718675462805606,0.016630947473089686,0.02231634272976568,0.0011117592787590613,0.01217236977528402,0.009704793549075719,0.023063752299486984
TE,0.0239510874163118,-0.03352128737610982,-0.036137182296930304,-0.8955778966897865,0.4826970002559372,0.9766017722698339,0.36142968471402637,0.8357270177018739,0.2384192533491114,0.32696867791080053,0.5072993188325414,0.3387544230714412,0.33993583952941275,0.3110017810713972,0.3708365416223047,0.3031586460890412,0.24510944505046428,0.2574774454130557,0.22683685326981506,0.510633329893162,0.4497800408497321,0.05653157837476219,0.2606283063199166,-0.010514191446378551,0.07051953023352597,0.13942422391595488,0.1315729467091875,-0.0038854185624864757,0.05048334597677173,-0.3360177640981177,0.16948494934031944,0.017162096517810976,0.011891068530350823,0.004304602116779188,-0.029820744197804894,-0.06063500177608483,-0.0027590596460569383,0.002464741083177957,0.002149238732372938,-0.03918180083637257,-0.03085376422635011,-0.06654679220279791,0.3839506127811221,-0.5318704010183217,-0.5191961157129965,-0.5175841502111145,-0.4882785831375508,-0.42640110874298864,-0.5448389433663492,-0.4957578653956535,-0.5218660432694616,-0.45490019580920804,-0.4526668645127091,-0.4083056540482022,-1.1966510679049014
TO,-0.07492968251425647,0.007064263184013431,-0.5550714736058726,-1.1008428586053292,3.557182346034986,1.5155427747471595,-0.02586040105822862,1.6709359476903785,1.6643412769984767,1.5539696940582093,1.428636435909959,1.5072220964350513,1.3704314907060677,1.813772722162238,1.8403676405276526,1.453388082549928,1.4363862089259605,1.5967283853145342,1.2953205252761624,0.6194509954894956,0.6784993841909037,0.5041888659559568,0.8538216738852877,0.800214081748073,0.8200479540659866,0.6552712603510502,0.6282885846000563,0.8082091532219238,0.8042071840758058,0.8044309668382366,0.8497442401409838,0.019600104959983655,-0.045100899292712104,-0.30276229842153,-0.4631927960276777,-0.6345961706747105,-0.039719835204534704,-0.02494042851933609,-0.03880057612993759,-0.04412885700793956,-0.03561055364400656,-0.03419304896308761,-0.038407836197328904,-0.06209538698027928,0.016772170982700674,0.36828821967803127,1.441046707603827,1.2532414690942162,0.053292740908048586,0.0007808387244534476,0.013518622597905594,0.03136062895030434,0.02057766729565924,0.01680777954014223,-0.0021477428763339024
UUPCOST,0.10460343306616604,-0.0014422174039457891,0.33159470278261716,-0.08446838421978409,0.11300536896904023,0.05636990408453113,-0.0007527292760850512,-0.19393808601625429,-0.20457739750553816,-0.06229621157941012,-0.0860773037079754,-0.27856756035756436,-0.20097619986413517,-0.3476743602061477,-0.3560297913335436,-0.27431867998072734,-0.2783768187374891,-0.37423286256883515,-0.2069282296104863,0.45079101471415917,0.44710286572291924,0.4382115769267614,0.4214033535970263,0.5138396573635107,0.4897206593101411,0.4566444777218881,0.4555129753429721,0.5141994129113359,0.5089585255727735,0.5549675209992577,0.4195948488251,0.0004242951480981638,-0.006284047585715102,1.457101398427696e-06,-0.0019494729161972923,-0.0002301734818588308,-0.0017332704111178154,-9.514452437187071e-05,-0.00807038036757246,-3.1440999441190165e-05,-0.003840793016818278,-0.00046892989187030665,-0.000760877876533339,0.001682759667097633,-0.0011298426668149286,0.0012335485475556407,0.001140491858524495,0.0007665375551013653,-0.0006257777269236264,-0.010557243575528563,-0.0018490920172220537,0.0009209722799896625,0.0005901723007339932,0.0004699661825480206,0.0004035085968467911
OUT,-0.04740610378847543,-0.024205026701810683,-0.32821926968989945,0.9613711275226189,-0.253663006567339,-0.3850470435651382,-0.4556900010419268,-0.2884932810489821,-0.36273100368120703,-0.2268216047914673,-0.25860487480400873,-0.2015738348664442,-0.20535885471792859,-0.17560284416586247,-0.28124276700914386,-0.2046425490399867,-0.16252931222157263,-0.14334048571930935,-0.1344129572103403,-0.31536235025362735,-0.32140038430997553,-0.16759041510969241,-0.46974766557704883,0.13663066080718322,-0.0349789678723178,0.22167867220438287,0.11377554335993856,0.1365813576596031,0.14168699941273566,0.3055373326724653,-0.363766616658619,0.005399011469907622,0.012461444088632811,8.341384144516795e-06,0.040821957494294736,0.029634778342783052,0.19628401867278766,0.00106330005847588,0.010785350239304048,0.047577262372824336,0.04719832263429535,0.08729140951201697,0.1602606915609961,0.942131719287973,0.8849559883685909,0.891235242070918,0.8251665318792034,0.6513087239967552,0.5599603070554826,0.8435480521566407,0.8980731969553746,0.7587785914621215,0.7613496820430343,0.67973709296689,0.5840499242756392
