country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,18530130.652065,18882735.1509,-352604.4988349974,0.0,189269845.0,,
2,17627537.830189,17500198.90345,127338.92673899978,16.0,378107660.0,,
3,7450462.4095129995,7414788.811205001,35673.59830799885,0.0,85671811.0,,
4,3263648.081847,3237352.993401,26295.088446000125,3.0,878790092.0,,
5,987996.99894,999328.94759,-11331.948650000035,0.0,116036453.0,,
6,864741.884098,870673.146221,-5931.262122999993,0.0,655697139.0,,
7,1332996.264247,1287042.329844,45953.934402999934,0.0,21262292.0,,
8,1112948.077273,1104762.349099,8185.728174000047,7.0,33985803.0,,
9,583355.083296,545022.056328,38333.02696799999,0.0,102172930.0,,
10,765444.094672,766323.976059,-879.8813869999722,0.0,12909312.0,,
11,1261020.868203,1270530.032871,-9509.16466800007,0.0,60684664.0,,
12,331163.54128999996,319071.564609,12091.976680999971,0.0,140342251.0,,
13,6598383.881747,6511999.405803001,86384.47594399936,33623874142320.7,1259449050.0,,
