,baseline,variation,method,USA,EUR,JAP,CHN,BRA,IND,ROW,aggregation_method,CAN,KOR,RUS,MEX,ZAF
69,1060,99.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
70,1060,99.1,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
71,1060,99.2,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
72,1060,99.3,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
73,1060,99.4,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
74,1060,99.5,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
75,1060,99.6,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
76,1060,99.7,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
77,1060,99.8,,0.01,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
78,1060,99.9,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
79,1060,99.10,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
80,1060,99.11,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
81,1060,99.12,,0.01,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
82,1060,99.13,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
83,1060,99.14,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
84,1060,99.15,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
85,1060,2.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
86,1060,10.2,,0.01,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
