,baseline,variation,method,USA,EUR,JAP,CHN,BRA,IND,ROW,aggregation_method,CAN,KOR,RUS,AUS,MEX
0,311,baseline,fixed_point,0.0100045076147471,99.99996012824236,99.99989098564085,99.99999279912176,99.99999510621784,99.99997465517006,99.99999215890348,,,,,,
1,311,1.0,fixed_point,0.0100045076147471,99.99993302578598,99.99985624737558,99.99994625632492,99.99998740676122,99.99999038356688,99.99999212941216,,,,,,
2,311,1.1,fixed_point,0.0100045076147471,99.99999215890348,99.9999939691792,99.99999215890348,99.99999215890348,99.99999215890348,99.99999215890348,,,,,,
3,311,1.2,fixed_point,0.0100045076147471,99.9999923430542,99.99999234375542,99.99999234421672,99.99999234440588,99.99999234440864,99.99999234342572,,,,,,
4,311,1.3,fixed_point,0.0100045076147471,99.9999628254286,99.99995194145754,99.99979059931373,99.99926341381006,99.99994733993782,99.99992088200356,,,,,,
5,311,1.4,fixed_point,0.0100045076147471,99.99999215890348,99.9999301754529,99.99999036456056,99.99999212941216,99.99999361071086,99.99999222333405,,,,,,
6,311,1.5,fixed_point,0.0100045076147471,99.9999923104714,99.999992310873,99.99999231105642,99.9999923111764,99.9999923111816,99.99999231059032,,,,,,
7,311,1.6,fixed_point,99.9768604322969,99.99974467409956,99.9893101863111,99.99802387965642,99.98347491233604,99.99451920844125,99.99652629297276,,,,,,
8,311,1.7,fixed_point,99.995266037005,99.99888346437716,99.998414129021,99.99963163537096,99.9994094210742,99.99748063886464,99.99954579805323,,,,,,
9,311,1.8,fixed_point,99.99744810371176,99.99974338796552,99.99927671875572,99.99983735181064,99.99960414211414,99.9997777856978,99.99995320159135,,,,,,
10,311,2.1.0,fixed_point,0.0100045076147471,99.99999293010164,99.99999293263504,99.99999293370846,99.9999929340404,99.99999293403457,99.99999293193888,,,,,,
11,311,2.1.1,fixed_point,0.0100045076147471,99.9999931796836,99.99999318253276,99.99999318367468,99.99999318404517,99.99999318403508,99.99999318152308,,,,,,
12,311,2.1.2,fixed_point,0.0100045076147471,99.99999332166176,99.9999933248303,99.99999332601612,99.99999332641345,99.99999332640084,99.99999332359069,,,,,,
