,k,g_0,fe,fo,zeta,nu,theta,delta USA,delta EUR,delta JAP,delta CHN,delta BRA,delta IND,delta CAN,delta KOR,delta RUS,delta MEX,delta ZAF,delta ROW,eta USA,eta EUR,eta JAP,eta CHN,eta BRA,eta IND,eta CAN,eta KOR,eta RUS,eta MEX,eta ZAF,eta ROW,T Non patent USA,T Non patent EUR,T Non patent JAP,T Non patent CHN,T Non patent BRA,T Non patent IND,T Non patent CAN,T Non patent KOR,T Non patent RUS,T Non patent MEX,T Non patent ZAF,T Non patent ROW,T Patent USA,T Patent EUR,T Patent JAP,T Patent CHN,T Patent BRA,T Patent IND,T Patent CAN,T Patent KOR,T Patent RUS,T Patent MEX,T Patent ZAF,T Patent ROW
theta,0.013924495757732247,0.014699723186255564,-0.004471458269273976,0.09197567616365476,0.02449217036575302,0.12218268510812202,0.23163156546092023,0.04106180281213345,-0.14342017512916028,-0.11309086538153046,-0.14678378040508033,-0.0895671163806755,-0.0990413918255223,-0.16917665457504394,-0.11525887369495891,-0.0667067397674842,-0.09132253112556166,-0.09068192559313182,-0.12295107064861754,0.08567354955478224,0.03922812030709211,0.08232192463704657,0.09774077504410172,-0.18107076334241967,-0.10671891037370984,-0.17748179454819657,-0.1386406997443379,-0.1865243404500233,-0.19178094325744244,-0.24346069866516218,0.08061827138244215,-0.7014803725274249,0.714524850342656,-0.3211713337206096,-0.1446602842882866,-0.15412469512887494,-0.008281779938036915,0.28941465979475667,-0.9175012668436405,-0.45211408386550633,-0.18642551541936725,-0.14345954406614125,-0.01787931491627981,2.0235370012084273,-0.4546386972068417,0.9943407608194954,0.9671422238534921,0.9011538232442851,0.6846820520786168,-0.3064395122692365,2.1901506714396213,0.8587699285282635,0.959572755149698,0.8970388585997191,0.7481346917547971
gamma,0.016757414938226578,0.01763717610261284,0.1003211561119377,-0.038943793073469846,-0.2228272218857602,0.2954473720228168,0.009719535106527122,0.40965016336936166,0.11650385965034094,0.0952615262391876,0.07229699920281996,0.029737391247056655,-0.01746478641246607,0.13935254497702942,0.17490092231340015,0.00953129435298794,-0.012304676973697304,0.022043349241572807,-0.12053050755757799,0.0035265479741730665,0.0050758398300143615,-0.11102867733779553,0.09522618829488017,0.0995597141429605,0.10623459067265473,-0.02227170003106682,-0.0665894071311085,0.0993728791288373,0.04019298376973235,0.12268650025405448,0.13460959108444248,0.0007070863332137023,3.536193312836389e-05,3.3110044694861784e-06,0.0055341859308455366,0.004869796477091626,0.03556446489776377,7.605551223699436e-05,-0.02394840285113553,-0.1875827910489164,0.008031463915861847,0.007233824395304067,0.036919403768740366,-0.017635786327239167,-0.016710312729051324,-0.017401698002613708,-0.010998994602666179,-0.010567043985944546,0.005777315763054736,-0.012253138628170457,-0.03167436249997213,-0.16385648031448763,-0.008023690455314925,-0.009583306206846776,0.034492352117015956
kappa,0.19773642212498554,0.011851907401910777,-0.5388244781542706,0.7138821199053924,-0.06858595828485525,0.11208834405972312,0.20163405413568758,-0.06607479073331424,-0.6103039099905039,-0.6767064931868072,-0.5881073483937743,-0.5887295768504941,-0.48233525651011966,-0.7972205648342273,-0.7705484559502596,-0.5649947522631887,-0.5890344734934089,-0.7360508238152236,-0.5592786046809656,-1.5477256889019635,-1.4758802350369409,-1.8490979504780969,-1.7777607176060821,-2.7496245637768744,-2.0289966958726873,-2.467896791853119,-2.1052667617405287,-2.741087708509029,-2.5387165118302457,-2.811436063465854,-1.3482245340641463,-0.32053218038745224,-0.22386496858574523,0.24784667813130823,0.2488371361833852,0.2212584881101376,0.198256734334874,-0.9951289607337832,0.209760903796683,-2.359687588326942e-05,0.22406972934627345,0.22533475224222665,0.2147462993634719,0.7053924874687933,0.6841138328854013,-0.156181805959007,-0.07568103463553744,-0.08613895601246813,-0.019052216788510434,3.079651077039909,-0.1847030072360628,-0.2745194232019782,-0.10296989345437879,-0.08028747674784675,0.0009215043333732353
rho,0.02529730423646126,-0.000910459954091003,-0.14514017961170023,0.18432421388690834,0.08984896920636865,-0.20722778197878378,-0.0064820676801941035,-0.3822505718547209,-0.4595035440320844,-0.20386712346995794,-0.31967415961017154,-0.30838995611495945,-0.2673792688742266,-0.4790087265943599,-0.48494973418877596,-0.27239542588251064,-0.27455949681066016,-0.31459830456199267,-0.20593777586525974,0.11792652944943915,0.09370707800493983,0.24643742392767787,0.0009067108671290125,0.021341863074351153,0.013685408400997412,0.1400128194993433,0.17350198849683585,0.01760461608233177,0.08875804644478458,0.010581931600338601,0.0004358888905620084,0.0007627515674979435,1.1613633961182757e-05,-1.4830676092758566e-06,0.0032447286119641205,0.003526838596209503,0.04205680837952919,3.4397123074292324e-05,-0.03758365828433863,-0.18556956394901458,0.00030345028715683675,0.00477686022669066,0.038149786940195884,0.012964040433199875,0.011235185934175274,0.01167803687867508,0.01034934084600092,0.010099331075725804,0.026819504457648025,0.011092382976851667,-0.006123012080982981,-0.13992439210907537,0.00937028498664616,0.010466260271451144,0.054809999626224126
sigma,0.39651333822853685,-0.0005491503868376713,-1.0261617006026047,4.013123300813686,-2.906101944045545,-2.269543973002806,0.11583158528782445,-2.9179138261561293,-2.827927770975579,-2.486708459673921,-2.502378176339475,-2.5289721027988588,-2.222800110044282,-2.9997357638723554,-3.2961296891504897,-2.425372698282187,-2.3236767209467226,-2.671476482920496,-1.9723009889246346,0.6561466903679658,0.72889406837781,2.24867047609124,0.05398685015390092,2.4081876851847572,1.7008168136323254,2.783228740624202,3.318904019835789,2.468500970212788,2.256125346548888,4.6330197059150455,0.8822536626426081,0.2594052530431701,0.2926648664045972,0.17018142088076615,0.3476410866820756,0.3024178312452175,0.19146209448711704,0.09447274197108446,0.2695763889123082,-0.04807061412492042,0.2933347617043336,0.3191174166877009,-0.0009346100793983236,0.005087006605996036,-0.003072201018063936,0.021982382968089853,0.0164970709300849,0.02021418459606128,0.23280477539512345,0.8236502101022791,-0.10676737930702063,0.012748373231520338,0.006615855257964265,0.0011010211792261693,0.5969146076605436
KM,-0.12806969273298607,0.003447929343424194,0.9000460984027292,1.3475137256697722,-0.25910329410218147,0.0690947663227015,-0.014189183857232779,-0.7673581962337972,-0.6699156415723806,-0.7013534905111274,-0.6466835740266108,-0.4087399350025933,-0.43840142233248447,-0.6501494356333404,-0.6565080728594164,-0.3421624946673746,-0.38988971939362294,-0.2833823275125513,-0.24644295161770025,-0.6369804127124845,-0.5852722290549323,-0.5181390657769891,-0.5467644651415043,-0.6089136075254892,-0.5940336156969095,-0.5984764874728893,-0.5501522612574256,-0.6111405584427598,-0.5863921547310719,-0.6411656302512925,-0.5390200982667454,0.0006238012950254834,1.6199963189800215e-05,-3.883569893448069e-07,0.003136412000892541,0.0014853418446636457,0.028193246326592147,4.1538188280121346e-05,-0.028545956810214768,-0.19915885271427902,-0.00024505731889945537,0.0023155718579848106,0.028322350319266443,0.02750439475949551,0.024658358084803655,0.025642316390587228,0.020994886489683617,0.019352296950596592,0.023845051252323612,0.02320092128003881,0.009759509735962624,-0.14067445841212556,0.020151802012915443,0.019504887774297597,0.04542880350672185
TE,-0.4069458870862114,0.012161688406384652,1.7615013245511602,-2.9149906791375377,0.3807204825647559,1.342475907223688,1.4904293865671803,1.2209304674428767,1.4863128216373267,1.604164598920449,0.9683650443539116,1.6544356359198809,1.2473442932174361,1.7222335127071353,2.3244184557695213,1.6953782837718878,1.5326702791781788,2.0876309713662553,1.4282862996770074,-1.3984567769680827,-1.498233671635583,-1.726000163296612,-1.2559954077539093,-2.3007698239948975,-2.03829253243848,-2.280881245146359,-2.1947881317985076,-2.2827264792525135,-2.2565242208803937,-2.6848561630530696,-1.6033766511122505,1.1677899617984766,0.7580850425319219,0.41229541318919316,0.8483982340136964,0.8411119533922662,1.0331519946258028,0.33201314756690414,0.7461908194054678,0.3863274941498396,0.9087473255252732,0.8471445782556897,-0.36870634603615615,-1.3239772524881366,-1.4002718387678437,-1.4789077756278262,-1.1354942300129915,-1.114791235011227,-1.351047142678659,-0.6174071378419099,-1.5415291801715825,-1.0429291309608424,-1.1594786967553694,-1.0854598849424024,-0.1006784548216838
TO,-0.01476392708858798,0.01447927677245775,-0.6323356431047528,-0.9324185491632203,2.7114214724406605,1.4315167058849376,0.011258081495395533,1.560716894395845,1.1975089703131059,1.234813021235478,1.106819293407223,1.1028120963636234,1.0269102474852054,1.253942705501685,1.3032066285780153,1.0798852381238766,1.0560701062080458,1.1278499350197269,0.8883871003350563,0.8726290473494347,0.8754946941941499,0.7297161567415789,1.0159236514858783,0.9887764676696775,1.0074264023766966,0.8344218609122867,0.7811828444989088,0.991211336481802,0.9184820674606975,1.0063813058065574,1.0638355047793513,0.0019621991641105563,8.435908095849598e-05,0.009738156753015259,0.011718357544110436,0.007964425770422556,0.030912359794894595,0.0002190545118707643,-0.037581406588178545,-0.21146981920664998,0.0012545687081688683,0.012240584474561,0.03209641462867063,-0.019379673672760833,-0.019315839113965283,-0.011483229625856017,-0.01046059773707142,-0.011194722526809975,0.005391403675164552,-0.009832267376166937,-0.041254918459374124,-0.18451929241886988,-0.015383078452936294,-0.00946431337382203,0.030698535028746976
UUPCOST,0.14516230525856932,-0.004179526274920575,0.40674693834279685,0.22263255919943048,-0.10094613286060372,0.004890231151317703,-0.00380408986738745,-0.36945800125773587,-0.6733209826182596,-0.268134391408979,-0.4529831897292913,-0.6419909280632019,-0.537912634520582,-0.8159330530913489,-0.8224034269718195,-0.614919311910625,-0.6257823602114593,-0.7472746858322538,-0.5392648720225085,0.5005138206097803,0.49413144657076025,0.5497840290806,0.44949463309321036,0.5622595213862913,0.5321691690624997,0.5340700094367556,0.5294798935951606,0.5588870313379568,0.5328512437646793,0.6158961053590073,0.47852604778693575,0.0009428057112703669,2.7669549048647823e-05,7.349181718740994e-07,0.005016529650099244,0.004445749441388536,0.03888400095946265,5.922829269811025e-05,-0.020078779381468848,-0.2083880241249797,0.00037637646280064274,0.006107472519436552,0.03747514813068342,0.008052374161634512,0.0066007654366506685,0.006848676132817921,0.007396321878414547,0.006963541474561685,0.01976804026824097,0.007818117924104362,-0.0037382636092769816,-0.16463113866081458,0.005579971619910085,0.007514048737720103,0.047740806260095914
OUT,-0.002322315159778432,-0.01996092685449924,-0.4555503135221678,1.0939250457839511,-0.19921535217185704,-0.35464122647295426,-0.47937224620705765,-0.31734900597615023,-0.6209935105983255,-0.4179896083820883,-0.5918645971789366,-0.43616984584150476,-0.4141208049821443,-0.5083874509677383,-0.6031248016803464,-0.4195002579711665,-0.40167862196931803,-0.3968413925188985,-0.34423753178861205,-0.17163627004314674,-0.14236564850903743,0.00926974274850334,-0.27880888218044353,0.39661487250371774,0.20484554044362446,0.44916472807729035,0.34141105876400846,0.3936331119598657,0.46879611496181695,0.6368933771862195,-0.1202261415785083,0.0013255738629169844,1.1380961053575334e-05,-0.016043186894931782,0.0076203568792976295,0.01623712347249895,0.256280167221169,3.398720529568244e-05,-0.04470083069846753,-0.13970448573773053,0.0026977707158748476,0.01964683203894091,0.1937619357418452,1.1096984175774705,1.0054452289488736,1.0324373555232658,0.7911987661757258,0.7556679846428682,0.6273217275495102,0.8811746317728775,1.0230842003859142,0.6862878054488741,0.8147351536571179,0.7500947083864418,0.7415470280693193
GROWTH,0.10965094539632902,1.4475101681439806,-0.2931561028899826,0.6111877886766903,-0.9897573859838066,-0.17670976740840116,-0.005567957344671526,-0.4054262580356388,-0.5467472354593056,-0.47909163198042837,-0.35412623195920867,-0.4444113733528454,-0.3588930740626539,-0.616701363237841,-0.6336391931676455,-0.4088236685421709,-0.4078018513096776,-0.5157410559619768,-0.3362962417149651,0.41607773778321255,0.41013992981076997,0.5550929456906073,0.2739525749059035,0.3613202824093842,0.32809421261461136,0.46214839307398226,0.48542433416609465,0.3498286150046992,0.41079019877573786,0.37923180598971706,0.2896351148219134,0.000710133501249377,1.610220155545683e-05,-6.978684907732458e-08,0.0036680590897697485,0.004011228932472299,0.04385531022999545,3.8200942651389624e-05,-0.0305593920210806,-0.18397097264419293,0.00042419663844328603,0.0053446809309321,0.03924691568267136,0.011182036887874558,0.009651458253679968,0.010029344870401413,0.009259617020250799,0.00909597319322053,0.024088008815836837,0.009817502768943998,-0.005646114717753892,-0.14022272763024868,0.008116260042124734,0.009495604726752482,0.05189447578368922
