,k,g_0,fe,fo,zeta,nu,theta,delta USA,delta EUR,delta JAP,delta CHN,delta BRA,delta IND,delta CAN,delta KOR,delta RUS,delta MEX,delta ROW,eta USA,eta EUR,eta JAP,eta CHN,eta BRA,eta IND,eta CAN,eta KOR,eta RUS,eta MEX,eta ROW,T Non patent USA,T Non patent EUR,T Non patent JAP,T Non patent CHN,T Non patent BRA,T Non patent IND,T Non patent CAN,T Non patent KOR,T Non patent RUS,T Non patent MEX,T Non patent ROW,T Patent USA,T Patent EUR,T Patent JAP,T Patent CHN,T Patent BRA,T Patent IND,T Patent CAN,T Patent KOR,T Patent RUS,T Patent MEX,T Patent ROW
theta,0.014004054908591801,0.0008809556669331364,-0.08549093078623393,-0.032757824139788005,-0.0005441696074903746,0.007366815375702274,0.02551435224102394,0.027317501350677675,0.046974474612971884,-0.03302317927299847,0.054630363233865165,0.007924460286893309,0.019621632473254547,0.026665950659722215,-0.04434256003021497,0.013122012227878566,0.010862980631342056,0.026291719643608547,0.07766752226100349,0.0700307488765739,0.03790499343165776,0.06221141898961724,0.04857787853759232,0.05146494038467342,0.04220528426817194,0.046314105825290275,0.04614124537965503,0.046129285083486016,0.06221410487259105,-0.33980112811957786,-0.41563526498172465,-0.9845389501011281,-0.3911550508693895,-0.3754238483055605,-0.24564252571650402,-0.2084618073199046,-1.0526420343155078,-0.4313243623919438,-0.4074378873962836,-0.21225766635946497,0.9839171973932437,1.182937502336281,2.3390711051112634,1.1315657017565839,1.0754478324836447,0.8977054108813121,0.6874400521618107,3.010424625527006,1.250533568287422,1.245914276069232,0.7573710736877692
gamma,0.011238076536915775,0.008788846329390587,0.04711431128996857,-0.17606466840752788,-0.19423323015281713,0.2841197505287085,-0.05209745644463748,0.47937440487440197,0.31817718475357193,0.16378219944426564,0.24028466787511693,0.16736798525955,0.12823645678982531,0.345313151722243,0.31186736328958853,0.13333146887243186,0.11134139103147422,0.011695371287687717,0.010823492136657897,0.029627742432529747,-0.16665137449495548,0.11912568528819611,0.19208793154252612,0.17796849612177534,0.05562645423008217,-0.002736659900172689,0.19176722135988644,0.192694832952649,0.1524115641843371,-0.07726210090420793,-0.08135226369641979,-0.03960164234776242,-0.04289894240795844,-0.052672874704761674,-0.0014825269932500218,-0.0007416366485690773,0.00010499532444696591,-0.0035890846017150313,-0.00038448038617910907,-0.04130394171943996,0.038877677586292014,0.10688557457052328,0.02276710913807989,0.0314865893747962,0.02007757420812606,0.007122414131225385,0.09423552064445673,0.08721822435103777,0.04618142741352527,0.01212752183479493,0.016141751758574907
kappa,-0.09386480219621296,-0.001858200449446623,0.2548882759453397,-0.5660409311240533,0.09104913825265681,0.0348483980136538,0.00870129988916446,0.16350647885849168,0.4074897405149913,0.44909318112705043,0.28230531167595774,0.376250050037511,0.2925617479659348,0.4897773176380893,0.44723696466995255,0.37950952701572227,0.37621992312250274,0.41020795860794657,-2.240351646541782,-2.1462975054276288,-2.476587065360039,-2.3403461509034926,-3.1429852177929205,-2.5416734403032524,-2.8980731664535795,-2.598834948872926,-3.125348097078387,-3.2619605343829403,-2.042243775998625,8.179699961807785e-07,-0.0009670262775429705,-0.00045098630725270983,-0.002954228358924005,-0.007158120907845289,0.002021789239887717,0.00030460827811218394,1.5797966157471421e-07,0.0027699650702806,0.002672036350543916,-0.018729000584363775,-0.016221250044231028,-0.01849547650205785,-0.024575578580174895,-0.014622303059315667,-0.020432989624594167,0.03224315522291854,-0.01531909632234596,-0.014201145920703095,-0.007273448634588231,0.007399244398387239,-0.014115059040667455
rho,0.04300232616711419,-0.006146140778857667,-0.20287453877296358,0.0791021405144221,0.14901092900329815,-0.19920055782737922,0.004903783358678471,-0.27973679676690455,-0.32816884306445915,-0.11484259453799883,-0.21787471324379415,-0.23505203425472854,-0.17201999083947317,-0.36953769689886895,-0.4839067222165172,-0.20350937525764223,-0.18668655909242216,-0.12240576922262603,0.228866122342819,0.21006154981515812,0.35008267186606323,0.11296709811212224,0.133292521077788,0.12233020799711336,0.2463303477364176,0.26809377161664316,0.12795960078354707,0.1308712723638472,0.10390000409996714,0.002898480017240468,0.006952517636956701,-0.004063288632137896,-0.012158794537276418,-0.009144287697414044,-0.0005663685728712897,3.7086204294212166e-05,0.00030525761266497753,0.0009266021295650795,0.0005005209354824736,-0.008983463217250853,-0.007790100404009848,-0.009925408665132363,-0.017071620729741666,0.021511596231160723,0.006790350971856984,0.062165626641612626,-0.008687711924854624,-0.007246319129430301,-0.00036184504536851403,0.049488166410384116,-0.004046418816658348
sigma,0.22711156694701917,-0.0077970187292142334,-0.7021310860621416,2.8695947469974215,-3.0964723936652,-2.297376835301416,-0.07860318148512291,-2.74799072745874,-2.715984387661777,-2.586178105224086,-2.3906669816129145,-2.387071280453602,-2.1283345315999482,-2.834600792858968,-3.2339454620446295,-2.2597508796482613,-2.0885347574071487,-1.7805575817086106,0.2840650603957784,0.3313285998400761,1.7106724690018416,-0.23402460976321204,2.111186146868028,1.4530388251957294,2.5440398788303287,2.8892954392293735,2.122369911520403,1.9430380408509629,0.5218334014815829,0.07331659684489455,0.043379575908301105,0.04683169513757135,0.04582895651375374,0.20819619765313213,-0.6229653650647776,0.05535239990454466,0.061051579178030835,0.12685856380468152,0.23575357473980207,0.09253540528914694,0.11115795498723768,0.15471915731971153,0.05706371677247302,0.19268766982528662,-0.08835194124200252,1.5623819606066724,0.1592689323305685,0.27551088499872756,0.06661378083125835,-0.07034733030765017,0.07600325569482425
KM,-0.11463918468135492,0.0038916092872509633,0.8310183824577777,0.9998071355554083,-0.2697158598128635,0.0825971306022577,0.004805254017724581,-0.6663651213388688,-0.4848239851757319,-0.5816135861083238,-0.47533684889718264,-0.28847264647594684,-0.30233225355326965,-0.4907262396976564,-0.6105692057066903,-0.23096515739203183,-0.2568746503699987,-0.1254395331476077,-0.6350772571303254,-0.5836479202855765,-0.5690243409736306,-0.5536394930871247,-0.615450918277482,-0.6018094770798088,-0.618834795834779,-0.5763433223753611,-0.6154220501773561,-0.6237373447940081,-0.5557695507498495,0.004317100872874846,0.0033422656514414673,-0.004993724429708246,-0.004309878191351424,-0.013849488641325403,0.004205333447822035,7.507249604743471e-05,0.0006620325516204506,-0.00011119901346390293,0.00024263159568937986,-0.02256774292696162,-0.005724036080302364,-0.011402039690952548,-0.01686154757839453,-0.015703292932822688,-0.021122518486957342,0.010977835096168675,-0.008503867932624365,-0.006187874810296701,-0.007250476060909894,0.020888476191398553,-0.024338179432885076
TE,-0.18906218842252853,-0.0019339369846260723,0.6386916864877301,-2.0886600728063995,0.30548650979634995,1.1320745499529572,1.189762591777277,1.2310084508204777,1.173123080454117,1.0972534926309652,0.9470580709264209,1.165155067165935,0.9797033271281452,1.2190447991601472,1.5613449782381394,1.143811178848464,1.0133465378253725,0.9186808648431832,-0.5237414580773253,-0.6278726479055591,-0.9513621674565703,-0.5085599023148218,-1.4746368293327066,-1.2420891276516193,-1.408177903523025,-1.3441297716483525,-1.4425299503685833,-1.4101181858425416,-0.869828069002988,0.9083947036957885,1.1482680883968999,0.6030337389865692,0.8559611519995303,0.4777059345242085,1.164779103940402,1.127829706905703,0.857941196888663,0.5589092958085817,0.6360018841092396,0.3676915777035572,-1.2120673344736537,-1.4597144581403854,-0.8679747571757951,-1.2603513057880944,-0.7508820835839553,-1.427483923593749,-1.4168936240648766,-1.2479443018448126,-0.8048552065596148,-0.80175929106379,-0.5937726965433682
TO,-0.04984710965458439,0.007327165964131632,-0.6041272166163209,-1.2023342809776638,2.8929960577269864,1.4149203305119484,-0.0693716842403197,1.6877428665581617,1.5500722048188176,1.5039287641663346,1.3834044482003816,1.3743608245257655,1.2824486191038975,1.6394271532655158,1.6096640415882646,1.3312294503796651,1.3013180365898558,1.144719982387279,0.6984407398011827,0.7287702839775012,0.5004828938778239,0.8850249549116107,0.9334371266942154,0.9295000359324967,0.7663103412907424,0.695916921940567,0.9410941707119791,0.9391258295041793,0.9126442294006909,-0.09589521043179117,-0.10270721861636523,-0.04596382555330403,-0.07595694031462819,-0.023676379274171766,0.0070077205076790605,-0.08154522757956029,-0.011148472955840316,-0.035558112403001885,-0.006668276786653826,-0.058840671528269106,0.056449550839597906,0.10073193711032546,-0.011478965980263323,0.04005439220649554,-0.06905300641836809,-0.04314054599033723,0.05342640270763144,0.10657138162240898,-0.005280683179704204,-0.017773551689272415,-0.0007641078658160438
UUPCOST,0.11969122717571001,0.0030466727963340823,0.23452796689123923,-0.03799026653288351,-0.05942467482525138,-0.008931580347634194,0.007666433663868766,-0.25924349226715826,-0.3399728971664284,-0.17613935023591543,-0.22408787193376412,-0.3912578591809879,-0.300117164706325,-0.4832885030921802,-0.5771451217416024,-0.37667408984121964,-0.3796073285802032,-0.33487440212941255,0.5075210557580256,0.49991040953445864,0.4715863561646849,0.4687945103576119,0.5465270653101573,0.5266197213070956,0.5046250020767995,0.5048834098276145,0.5414849682064238,0.5368111269004439,0.48323469577441824,0.0008577607534643317,0.00888850754768078,-0.0007548114208250079,0.000192017407714129,-0.004573946967451059,0.002046592563643701,6.687236144053976e-05,0.00037141457859379834,0.0006704718663574916,0.00044854416412110076,0.024334136167474263,-0.013894911213341299,-0.016425363377419178,-0.015723033091824545,-0.014640476880307673,-0.01607609457586534,0.04081879759033402,-0.01356600652783646,-0.011584922737181147,-0.005807546995038604,0.04046808370869015,-0.07175125043171249
OUT,0.0013207100756507106,-0.02301675093546396,-0.5996350866918831,0.5881148996741004,-0.12967744670247194,-0.2916165409948229,-0.4536667989542287,-0.11872394392230923,-0.18832190254478853,-0.26612846689296865,-0.08505001687849068,-0.1214923882977087,-0.10172611817476307,-0.052761128133427815,-0.21748785895615574,-0.1222444371498882,-0.0817410955104203,-0.07205906783260552,-0.09912328465011111,-0.04350064343613347,-0.021365454592076616,-0.1736665803663906,0.4483586225603431,0.27256447060136413,0.48328636923564594,0.3796084221591589,0.4391326225767722,0.4364262425198484,-0.04200723950845975,0.010523133704650744,-0.07752730077766945,0.043538520814428994,0.1372225353972767,0.16361167795111875,-0.6590249364269168,0.016969940664883776,0.0035425915075237846,0.10841562561898721,-0.006430648932272409,0.19795056651065068,1.0330384472369236,1.1815759840331796,0.9134778118318543,0.7694239893965826,0.7201401293678478,2.038546233763819,0.9778508432573352,0.8986322321503981,0.8567007937103099,0.8840343704751474,0.633004090868009
GROWTH,0.07787067240394463,1.4486645323869651,-0.31420043597171543,0.23205508656398366,-1.019070424913927,-0.1873616361310776,0.0029487968776498175,-0.2753246880467053,-0.2615702601249098,-0.2573967074426603,-0.13337555804889933,-0.2327932286769996,-0.1539612132840762,-0.33640674181077856,-0.4451678267010645,-0.20625609524426436,-0.18972282320508183,-0.12310736888877571,0.3692781390563926,0.36214316620399756,0.4656061346612861,0.23862620767739484,0.3002546206921819,0.277141731356656,0.39157016570505077,0.41181900365123036,0.2909663564158027,0.29321376992555215,0.24154848400520734,0.0014782312567762634,0.004338618835679764,-0.0016136260150689807,0.0009294795042713577,-0.0005812737164689885,-0.0004530932684621014,1.1575534840657653e-05,0.00017556153248166062,0.0005511982673511717,0.0004445509991357621,-0.02652537009897038,-0.004812807551787257,-0.006258202263441093,-0.01911095800068041,-0.0025742135687700785,-0.007908933188323086,0.06013673637668138,-0.00523056852864856,-0.0043804166093153185,-0.00025266046234151407,0.045661061461931274,0.023472072250457776
GPDIFF,0.09225194546276128,-0.4563602196552763,-0.3252715217354807,0.003831547391254242,-0.9520922716026015,-0.005598267082684849,0.03538403198680262,0.05663157736997548,-0.1198657632142186,-0.15026330151360012,-0.050730519278365804,-0.16268222044691139,-0.10541528645203246,-0.18516225134114328,-0.26708505688037787,-0.15858377035438131,-0.16020496635377135,-0.19759217807574225,0.425791416788982,0.3990235530250341,0.36240630190959133,0.3484279571773141,0.37838452242516474,0.3691681374153788,0.3822288676475438,0.3741224185192882,0.3700804464362206,0.3736335728492013,0.3718244374956725,0.02394229414192872,0.02328017620676137,-0.000961540396995364,0.005898337504476325,0.006562059613913762,-0.0015631673068727814,0.0002999427964278656,0.0007989657906926073,0.0030372807472589525,0.0007494772421401397,-0.008097764549524489,-0.04748807052287973,-0.07089443619373303,-0.04628691757516623,-0.03281984903624968,-0.03176247226063689,0.047893751205171364,-0.061967686196297556,-0.055218194439418666,-0.02710888199786876,0.042528260019575326,-0.019935860602050548
SINNOVPATUS,-0.005932708479033932,0.0024907352907943547,-0.7946026441954301,-0.8044436052720949,0.01564865326698195,0.01786957621816687,0.008224328449267793,0.1671399604342938,0.14789283552204435,0.12931803990710367,0.11997368378525608,0.12094093433187458,0.11241545143020115,0.167208890019227,0.11546849818194205,0.12127677217873001,0.11986360119636386,0.06738092575847454,-0.013537115655841148,-0.020709322399800056,-0.0394296545225048,-0.019450506654509203,-0.028339896027870792,-0.02586987467983637,-0.029396157847821347,-0.029318917679187484,-0.03052481483489855,-0.030339955060801338,-0.014342057145321219,0.001821036108045071,0.006732008809540169,-0.002934064593780872,3.0655417180280864e-05,-0.005663384905679747,0.0010898905480449805,8.331598861821554e-05,0.0005162096823518869,0.0007843604104784685,0.00039735336342272554,-0.012658688819027208,-0.013968188029920281,-0.01725663236040731,-0.016058413433448493,-0.012554492349046154,-0.015904269556228368,0.03698500216102629,-0.01454789938164669,-0.012126351222215837,-0.005771424077425369,0.03509917292878528,-0.01773377663869924
