,delta_dom,delta_int,welfare
USA,0.01,0.01,93.3246893960571
EUR,0.01,0.01,14.386460975116961
JAP,0.01,0.01,43.80376728041708
CHN,0.01,12.0,-12.015924680120719
BRA,0.01,12.0,-13.3037958484541
IND,0.0527354704675182,12.0,-6.514647344124214
CAN,0.01,0.01,24.258271677520256
KOR,0.01,0.01,63.93681169159859
RUS,0.2595318193268849,12.0,-11.843194512005866
MEX,0.01,12.0,-7.0250294783424465
ZAF,0.01,4.650347068852855,-3.3578938077599645
ROW,0.01,12.0,-3.228386964749376
Negishi,,,7.967731869118751
Equal,,,-4.9598793892725865
