,delta_dom,delta_int,welfare
USA,0.01,0.01,93.4767840094103
EUR,0.01,0.01,14.447170148465503
JAP,0.01,0.01,43.88728648936825
CHN,0.01,10.296188454787536,-11.97794316078884
BRA,0.01,4.23685669146206,-13.268511300723517
IND,1.4356778088918811,11.999999999999952,-6.465057859830509
CAN,0.01,0.01,24.340052576366062
KOR,0.01,0.01,64.05808715135706
RUS,0.01,12.0,-11.820069217889966
MEX,0.01,0.01,-11.71366040249363
ZAF,0.01,2.7608376074238903,-3.3227082859465753
ROW,0.0542875400177345,10.230902807841185,-3.1189812853990873
Negishi,,,7.89856591401778
Equal,,,-4.92979852875682
