country_code,country,fee
1,USA,13137.503722758387
2,EUR,27129.64256267934
3,JAP,23565.656929557346
4,CHN,14492.178980738097
5,BRA,21808.656197458735
6,IND,11811.291261226856
7,ROW,96365.51791703519
