country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,33809012.782967,34413913.669914,-604900.8869469985,0.0,214183259.0,,
2,35499256.601533994,35103430.986494,395825.6150399968,18.0,397769422.0,,
3,8674378.506973,8644752.443751,29626.063222000375,0.0,75084846.0,,
4,31022989.680096,30844149.150907002,178840.52918899804,0.0,986411437.0,,
5,3456975.414283,3443550.3076420003,13425.106640999671,0.0,145586706.0,,
6,4839861.602082,4947524.969324,-107663.36724200007,0.0,898694113.0,,
7,2885006.875433,2924954.942856,-39948.067423,0.0,24502656.0,,
8,3576346.3417379996,3501643.6065859995,74702.7351520001,0.0,37533636.0,,
9,2846218.802439,2767361.837637,78856.9648020002,9.0,98705692.0,,
10,2546446.242319,2544713.120982,1733.121336999815,0.0,16166021.0,,
11,1963843.0487910002,1980699.032017,-16855.983225999866,0.0,80964835.0,,
12,1863783.344761,1858656.744218,5126.600543000037,0.0,177789493.0,,
13,21427456.099884003,21436224.530972,-8768.43108799681,81409498368179.0,1775687402.0,,
