,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,zeta
0,-50,0.1065264077656629,0.1053763633974729,0.1139950436268632,0.0472609715052218,0.1245747020561493,0.5142943707791208,0.107280663049665,0.0884599553457919,0.1252497777494211,
1,-40,0.1073886685413227,0.1074162186319206,0.1139366380712379,0.0587999026688532,0.1223321196313777,0.317885714026358,0.1084729337268797,0.0932522849351947,0.1228790119473705,
2,-30,0.1086398317211903,0.109208094154409,0.1138598910479059,0.0712142844348548,0.1201207587148495,0.2252857321973377,0.1096312588170321,0.0987541249993672,0.1203860772602912,
3,-20,0.1099963738911811,0.1108371407277036,0.1137395528009073,0.0845299836001471,0.1178654122541308,0.1720604422348228,0.1109472739508373,0.1041696332765292,0.118043749305136,
4,-10,0.1117384875332646,0.1123097668951891,0.1137566745449328,0.0986287472098195,0.1157222522814403,0.1374581754745342,0.1122853815714855,0.109170300525392,0.1157417300603435,
5,0,0.1137357708842621,0.1137357708842621,0.1137357708842621,0.1136614597602154,0.1137357708842621,0.11365175664831,0.1137357708842621,0.1137357708842621,0.1136520827812739,
6,10,0.115704653780228,0.1148325693813017,0.1135623092946925,0.1295000943525226,0.1115656341850171,0.096519397341985,0.1148713145056676,0.117493182990479,0.1115241235413561,
7,20,0.1179643773966905,0.1159861950883456,0.1135118924988319,0.1464009533157995,0.1095952828387652,0.0837657875723265,0.1160800233214276,0.1208351867115382,0.1095388910530665,
8,30,0.1203763574085271,0.1170635323506368,0.113498392120302,0.1644111526860968,0.1076881798092753,0.073919696298221,0.11653681867215,0.1237865575150335,0.107671856636999,
9,40,0.1228940869267621,0.1179798800658497,0.113419077767206,0.1836522780300061,0.1058901037073742,0.0660857366626348,0.108877944099751,0.1262774668372195,0.1058725279508938,
10,50,0.1255957082937012,0.1188172900066485,0.1133794685672807,0.2042298710724233,0.1041546201392982,0.0597398770641592,0.1093325894573956,0.1285018029203446,0.1041708844237406,
11,-100,,,,,,,,,,0.0324101660901917
12,-85,,,,,,,,,,0.0370957260172933
13,-70,,,,,,,,,,0.040189972825282
14,-54,,,,,,,,,,0.0500074713816678
15,-39,,,,,,,,,,0.0623137785141049
16,-24,,,,,,,,,,0.0788410605362854
17,-9,,,,,,,,,,0.0985976458217853
18,6,,,,,,,,,,0.1256458658856748
19,21,,,,,,,,,,0.1564156501169371
20,37,,,,,,,,,,0.1891689523872351
21,52,,,,,,,,,,0.224093383120243
22,67,,,,,,,,,,0.260535744111712
23,82,,,,,,,,,,0.2976261215261991
24,97,,,,,,,,,,0.3347372857486777
25,112,,,,,,,,,,0.37154021841099
26,128,,,,,,,,,,0.4078516317141941
27,143,,,,,,,,,,0.4436340805304288
28,158,,,,,,,,,,0.478942694907283
29,173,,,,,,,,,,0.5137041768640637
30,188,,,,,,,,,,0.5480007153513605
31,203,,,,,,,,,,0.5819138071160184
