,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,ERDUS_target,kappa,gamma,rho,zeta
0,-50,8.15160084086947,8.159225021619969,8.119908438833535,8.84737433622198,7.95437259726252,7.571235398249362,8.140014214483486,8.156384845045373,8.951503543847156,7.94527523227942,
1,-40,8.148907974901222,8.149371715288307,8.120077725322279,8.60329096446905,7.994677624356476,7.653916362288127,8.155078201018252,8.149043008354639,8.68012302391603,7.978744104743609,
2,-30,8.143266168787127,8.14090694093331,8.120346264181995,8.42757370716085,8.017535794303384,7.788166237231435,8.118322068799088,8.142094510542721,8.467485741369565,8.013044960071106,
3,-20,8.13743380318509,8.133533746517315,8.120775120226018,8.29769256124137,8.058665979636029,7.908120292800675,8.117327786081722,8.13483916373509,8.315613532681382,8.048245951796284,
4,-10,8.129840187831881,8.126787464125377,8.120743220964588,8.198590649234744,8.085365175076344,8.019874996384688,8.117268420286589,8.127849006756167,8.204582859248061,8.093204334465891,
5,0,8.120918640189489,8.120918640189489,8.120918640189489,8.121055063283784,8.120918640189489,8.12114243709578,8.117301090835594,8.120918640189489,8.120918640189489,8.121020834063746,
6,10,8.111770023154959,8.115832333828799,8.121366571907046,8.060031941904738,8.157950035388657,8.212381832004656,8.11721140422759,8.114582807160204,8.056949393880137,8.158644396744355,
7,20,8.10193483850004,8.111200027575503,8.121480998635745,8.009303246493749,8.19589019508167,8.294135089887527,8.116317973718283,8.116893702354421,8.006503161966751,8.197330001623516,
8,30,8.091630018993843,8.106611779633653,8.121581888387313,7.969049593462812,8.23553000677407,8.366540318712975,8.108603897278439,8.167495957867937,7.966691286813433,8.23566122451342,
9,40,8.081267966293538,8.102643797435507,8.12170484685177,7.936617737618429,8.274938905646025,8.434994057064792,8.107378458812137,8.117311207583729,7.934132821715103,8.275149767407965,
10,50,8.075297747488502,8.098968692994987,8.121950495669324,7.9178846924519455,8.31569125928336,8.513800940347158,8.10593864442213,8.112311236197637,7.91831938888444,8.315288962282633,
11,-100,,,,,,,,,,,9.232308036234883
12,-85,,,,,,,,,,,8.771188589863531
13,-70,,,,,,,,,,,8.646051992007251
14,-54,,,,,,,,,,,8.357947989953027
15,-39,,,,,,,,,,,8.200341425171906
16,-24,,,,,,,,,,,8.196575339407342
17,-9,,,,,,,,,,,8.146971413280236
18,6,,,,,,,,,,,8.10643565281491
19,21,,,,,,,,,,,8.08610619957961
20,37,,,,,,,,,,,8.07578794178039
21,52,,,,,,,,,,,8.056180309821439
22,67,,,,,,,,,,,8.034655398356913
23,82,,,,,,,,,,,8.017134025439676
24,97,,,,,,,,,,,8.003946640095483
25,112,,,,,,,,,,,7.992633205782433
26,128,,,,,,,,,,,7.985393996305028
27,143,,,,,,,,,,,7.980403236676776
28,158,,,,,,,,,,,7.971042265730748
29,173,,,,,,,,,,,7.970631295329901
30,188,,,,,,,,,,,7.97408226360496
31,203,,,,,,,,,,,7.976639891106028
