,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,ERDUS_target,kappa,gamma,rho,zeta
0,-50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
1,-40,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
2,-30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
3,-20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
4,-10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
5,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
6,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
7,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
8,30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
9,40,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
10,50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
11,-100,,,,,,,,,,,10.0
12,-85,,,,,,,,,,,10.0
13,-70,,,,,,,,,,,10.0
14,-54,,,,,,,,,,,10.0
15,-39,,,,,,,,,,,10.0
16,-24,,,,,,,,,,,10.0
17,-9,,,,,,,,,,,10.0
18,6,,,,,,,,,,,10.0
19,21,,,,,,,,,,,10.0
20,37,,,,,,,,,,,10.0
21,52,,,,,,,,,,,10.0
22,67,,,,,,,,,,,10.0
23,82,,,,,,,,,,,10.0
24,97,,,,,,,,,,,10.0
25,112,,,,,,,,,,,10.0
26,128,,,,,,,,,,,10.0
27,143,,,,,,,,,,,10.0
28,158,,,,,,,,,,,10.0
29,173,,,,,,,,,,,10.0
30,188,,,,,,,,,,,10.0
31,203,,,,,,,,,,,10.0
