,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,ERDUS_target,kappa,gamma,rho,zeta
0,-50,0.5,0.5,0.5,0.5,0.5,0.5,0.5143107096464296,0.25,0.5,0.5,
1,-40,0.5,0.5,0.5,0.5,0.5,0.5,0.5100868874634255,0.3,0.5,0.5,
2,-30,0.5,0.5,0.5,0.5,0.5,0.5,0.5031490398323778,0.35,0.5,0.5,
3,-20,0.5,0.5,0.5,0.5,0.5,0.5,0.5003413434108651,0.4,0.5,0.5,
4,-10,0.5,0.5,0.5,0.5,0.5,0.5,0.5001152248263503,0.45,0.5,0.5,
5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5000290171908817,0.5,0.5,0.5,
6,10,0.5,0.5,0.5,0.5,0.5,0.5,0.4999157713290709,0.55,0.5,0.5,
7,20,0.5,0.5,0.5,0.5,0.5,0.5,0.4997880973052409,0.6000000000000001,0.5,0.5,
8,30,0.5,0.5,0.5,0.5,0.5,0.5,0.4996914440748428,0.65,0.5,0.5,
9,40,0.5,0.5,0.5,0.5,0.5,0.5,0.4994936825667919,0.7,0.5,0.5,
10,50,0.5,0.5,0.5,0.5,0.5,0.5,0.4993581434668981,0.75,0.5,0.5,
11,-100,,,,,,,,,,,0.5
12,-85,,,,,,,,,,,0.5
13,-70,,,,,,,,,,,0.5
14,-54,,,,,,,,,,,0.5
15,-39,,,,,,,,,,,0.5
16,-24,,,,,,,,,,,0.5
17,-9,,,,,,,,,,,0.5
18,6,,,,,,,,,,,0.5
19,21,,,,,,,,,,,0.5
20,37,,,,,,,,,,,0.5
21,52,,,,,,,,,,,0.5
22,67,,,,,,,,,,,0.5
23,82,,,,,,,,,,,0.5
24,97,,,,,,,,,,,0.5
25,112,,,,,,,,,,,0.5
26,128,,,,,,,,,,,0.5
27,143,,,,,,,,,,,0.5
28,158,,,,,,,,,,,0.5
29,173,,,,,,,,,,,0.5
30,188,,,,,,,,,,,0.5
31,203,,,,,,,,,,,0.5
