,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,ERDUS_target,kappa,gamma,rho,zeta
0,-50,0.04063366189795996,0.045390143651886004,0.044606946683531525,0.018486821026326296,0.052056704762578274,0.18949525786372584,0.018177053528553904,0.09288623675720484,0.034766196121679416,0.052353981376287315,
1,-40,0.04246551243121645,0.045915558606287196,0.04534397825624392,0.023584126355266292,0.05112105337187413,0.11900990645523139,0.028779877702201934,0.07776383582264912,0.03774896351819073,0.051346221660982926,
2,-30,0.04400115577804607,0.04632925680427366,0.04596323726252844,0.029009320089045644,0.05018817627444235,0.08662451366021358,0.04524073540877233,0.06688946897793659,0.0406193692990645,0.05029738040436036,
3,-20,0.045264925953830845,0.04672888341422566,0.04648917065902813,0.03479609257919595,0.0492274283337819,0.06807587676546559,0.04475867120757122,0.05879170601284761,0.0431978200254898,0.04930127400401584,
4,-10,0.04641150791627861,0.047086720498894695,0.04699665265145395,0.04090972100637222,0.048304718942315104,0.055954436033212894,0.0470299735542916,0.052471429875046126,0.04545824503317681,0.04832223920301533,
5,0,0.04743984528682752,0.04743984528682752,0.04743984528682752,0.047419049137975545,0.04743984528682752,0.047411011604413376,0.0476406208923278,0.04743984528682752,0.04743984528682752,0.04741570043167218,
6,10,0.04829470905029143,0.047690710047473724,0.0477853441340215,0.05430235899829621,0.046514260904173814,0.04104047238199443,0.05090653212427965,0.04323422747267113,0.04907113690213226,0.046492435223773554,
7,20,0.049096847260093834,0.04796357706493421,0.048147578078556144,0.061684640417199996,0.04564871961293679,0.03606867930131754,0.05505543951927858,0.03978907558337788,0.0504942986928242,0.04562483833583535,
8,30,0.04984357576378466,0.048222743974377924,0.04849065177843308,0.06956374855781494,0.044803564934746125,0.032054637675731794,0.05892042119813006,0.03670313605422684,0.05174211772103014,0.0447971131053528,
9,40,0.0505228826386952,0.04843483691214492,0.04878780411095554,0.07804161777853284,0.04399608243115481,0.028730659010178437,0.06233258643773399,0.03266509720401371,0.05279914867525718,0.04398766515109892,
10,50,0.05116765292149991,0.04862599292518572,0.04907153361807211,0.08715634058825256,0.04320424625494821,0.02593141301283037,0.06576271890431219,0.030474411800168997,0.0537329469816958,0.04320998351194171,
11,-100,,,,,,,,,,,0.014181659711686615
12,-85,,,,,,,,,,,0.01720018569049791
13,-70,,,,,,,,,,,0.01933221226676417
14,-54,,,,,,,,,,,0.023628009095404065
15,-39,,,,,,,,,,,0.028783650219025184
16,-24,,,,,,,,,,,0.03406213935129976
17,-9,,,,,,,,,,,0.04188013884248106
18,6,,,,,,,,,,,0.05169211859499104
19,21,,,,,,,,,,,0.06256598857995398
20,37,,,,,,,,,,,0.07419972859802125
21,52,,,,,,,,,,,0.0866082349451047
22,67,,,,,,,,,,,0.09949175303701359
23,82,,,,,,,,,,,0.11259679321309737
24,97,,,,,,,,,,,0.12560740742018314
25,112,,,,,,,,,,,0.13867263019481266
26,128,,,,,,,,,,,0.1514785718312915
27,143,,,,,,,,,,,0.16417582153207197
28,158,,,,,,,,,,,0.17675353375966346
29,173,,,,,,,,,,,0.1891782286076192
30,188,,,,,,,,,,,0.20148183994008553
31,203,,,,,,,,,,,0.21392253514859422
