,delta_dom,delta_int,welfare
USA,0.0472565544079969,12.0,0.06856422534144713
EUR,12.0,12.0,0.3170179110724831
JAP,12.0,12.0,-0.05005144642200321
CHN,12.0,12.0,-0.002273876317943291
BRA,12.0,12.0,-0.599839770169666
IND,12.0,12.0,-0.8282523149199648
CAN,12.0,12.0,0.7279345807549333
KOR,12.0,12.0,0.9538936992830429
RUS,12.0,12.0,-0.9349302799181771
MEX,12.0,12.0,-0.797896228229618
ZAF,12.0,12.0,-0.7930439171598636
ROW,12.0,12.0,-1.2652560374383626
Negishi,,,-0.3018115831955157
Equal,,,-0.8747571440572415
