,Patent
USA,0.0268573094340538
EUR,0.014928178594722
JAP,0.0268181078217367
CHN,0.0033407235928986
BRA,0.0013774129148423
IND,0.0008237393283786
CAN,0.0116168056323536
KOR,0.0156339651824608
RUS,0.0013281607794885
MEX,0.0010353986536734
ZAF,0.0014970576983187
ROW,0.0023025451710743
count,12.0
mean,0.008963283733666774
std,0.010012616017545042
min,0.0008237393283786
25%,0.00136509988100385
50%,0.0028216343819864502
75%,0.0151046252416567
max,0.0268573094340538
