,delta_dom,delta_int,welfare
USA,0.01,0.01,-0.5476356015955162
EUR,0.01,11.21991508530052,7.027699873793679
JAP,0.01,0.01,0.15588527454626444
CHN,0.01,11.74589189916204,7.017661234035771
BRA,0.01,8.793015219293958,6.570568470843881
IND,0.01,12.0,6.2604961868219675
CAN,0.01,0.01,1.852832867887912
KOR,0.01,0.01,1.4830291414384078
RUS,0.01,7.7881679921401314,6.435944881440747
MEX,0.01,4.804481084561178,6.138664275848683
ZAF,0.01,3.5599738616607555,6.412974189720572
ROW,0.01,5.388292561026597,5.813509202251836
Negishi,,,4.8884942637236435
Equal,,,6.0805297294595135
