,delta_dom,delta_int,welfare
USA,0.01,0.01,0.915612742578432
EUR,0.01,0.01,1.7031691014620947
JAP,0.01,0.01,1.7023678181866444
CHN,0.01,12.0,8.550239384433894
BRA,0.01,9.685933967236604,8.056120859603084
IND,1.2926103194333347,12.0,7.771927923096072
CAN,0.01,0.01,3.3959340641509357
KOR,0.01,0.01,3.3754189766776506
RUS,0.01,3.8699555605724782,7.922223806112342
MEX,0.01,0.1354838171698816,6.708836338417328
ZAF,0.01,3.891025566268902,7.914434011802982
ROW,1.2656286228863645,7.146680711719445,7.460552082662829
Negishi,,,5.104539656108173
Equal,,,7.477918747514536
