country_code,output,expenditure,deficit,gdp,labor,rnd_gdp,price_level
1.0,13385213.109266002,13477304.45861,-92091.34934399836,6520327000000.0,168814806.0,0.024500100612640397,1.0
2.0,18120154.403669,18009310.05848,110844.34518900141,9106694750509.291,363056923.0,0.01667285299386554,1.169779356955504
3.0,9520143.136907002,9488674.355957001,31468.78095000051,3908809463463.86,86848860.0,0.026430299282074,1.46582448028563
4.0,1837753.075379,1822629.970249,15123.10513000004,426915712711.146,768432990.0,0.005632399916648861,0.290375033726921
5.0,1258340.381755,1271461.454313,-13121.072557999985,328187960871.951,95149326.0,0.010475100278854399,0.30970427614909
6.0,622248.49531,627372.526375,-5124.031064999988,288208430383.964,529565821.0,0.00639050006866455,0.243933976608377
7.0,1035402.903975,1016149.8751850001,19253.028789999895,592387689252.916,19225645.0,0.016120899915695198,1.01571440390502
8.0,1119645.6828649999,1132999.836803,-13354.15393800009,355525267405.367,30632158.0,0.022161600589752202,0.797917089604816
9.0,623966.2609079999,615633.0591829999,8333.20172500005,460290556900.726,99105121.0,0.00965919971466064,0.451563571369552
10.0,605743.94623,597922.729004,7821.217226000037,363157598242.27,49227507.0,0.00250669986009598,0.580204853145497
11.0,290628.023437,289644.212501,983.8109360000235,146956872370.266,23818107.0,0.005269399881362919,0.553697210493941
12.0,6168069.535352,6238206.418393,-70136.883041,2912820232866.9414,1111426070.0,0.018191591421021554,0.5094951812496298
