origin_code,destination_code,sectors,patent flows
1.0,1.0,1,85064.73419577861
1.0,1.0,2,34357.59481640555
1.0,2.0,1,6675.809126394773
1.0,2.0,2,3815.041041202321
1.0,3.0,1,10537.981933982122
1.0,3.0,2,5353.10958403874
1.0,4.0,1,1431.7058211463525
1.0,4.0,2,1065.9074964361691
1.0,5.0,1,1497.2208940559597
1.0,5.0,2,1000.978748604868
1.0,6.0,1,352.4419975413473
1.0,6.0,2,265.8799332036685
1.0,7.0,1,8379.219242600982
1.0,7.0,2,5110.838806058566
1.0,8.0,1,2897.5301620726486
1.0,8.0,2,1633.6058115063754
1.0,9.0,1,347.280041119961
1.0,9.0,2,371.7405299815078
1.0,10.0,1,2090.4197601497262
1.0,10.0,2,1586.698937158416
1.0,11.0,1,573.8233184767953
1.0,11.0,2,715.4025631328986
1.0,12.0,1,653.4921096664322
1.0,12.0,2,525.9122960540602
2.0,1.0,1,17205.461625481563
2.0,1.0,2,7114.052830554177
2.0,2.0,1,20003.582612775444
2.0,2.0,2,6494.208945506798
2.0,3.0,1,9523.312954339128
2.0,3.0,2,4930.887591825432
2.0,4.0,1,1451.5418278501788
2.0,4.0,2,1045.4449598168662
2.0,5.0,1,1481.1940040602276
2.0,5.0,2,849.5027218917849
2.0,6.0,1,366.8679782275316
2.0,6.0,2,241.4073628008
2.0,7.0,1,4346.621449872072
2.0,7.0,2,3326.841807680253
2.0,8.0,1,2066.620876178809
2.0,8.0,2,1666.923196716156
2.0,9.0,1,930.649973587492
2.0,9.0,2,659.230963753202
2.0,10.0,1,717.963130019691
2.0,10.0,2,901.8821109774528
2.0,11.0,1,763.6383790401854
2.0,11.0,2,1082.4884473555603
2.0,12.0,1,556.464979750375
2.0,12.0,2,354.18236002793816
3.0,1.0,1,19212.956421415827
3.0,1.0,2,4743.140783781063
3.0,2.0,1,4402.202107552629
3.0,2.0,2,1681.4385891067975
3.0,3.0,1,244535.70364163033
3.0,3.0,2,87955.45546897747
3.0,4.0,1,1164.020435645808
3.0,4.0,2,502.5262828718975
3.0,5.0,1,122.43415996164264
3.0,5.0,2,89.4908427215286
3.0,6.0,1,56.87332615143229
3.0,6.0,2,28.979349609323236
3.0,7.0,1,1538.5393407330462
3.0,7.0,2,1004.8276205115636
3.0,8.0,1,3984.3504935718784
3.0,8.0,2,1145.5198007756323
3.0,9.0,1,36.38515379008319
3.0,9.0,2,72.13554062238069
3.0,10.0,1,71.1273097076529
3.0,10.0,2,96.80667123939784
3.0,11.0,1,32.85844964944706
3.0,11.0,2,47.730100929088046
3.0,12.0,1,110.94271816047642
3.0,12.0,2,66.41975151916941
4.0,1.0,1,91.55868277210821
4.0,1.0,2,24.307391125909735
4.0,2.0,1,17.601177741120082
4.0,2.0,2,3.9466069527100807
4.0,3.0,1,28.872210354184784
4.0,3.0,2,7.580084573110134
4.0,4.0,1,6170.724539259489
4.0,4.0,2,2772.666644556562
4.0,5.0,1,5.652896431118295
4.0,5.0,2,1.7137702355483713
4.0,6.0,1,6.618067069495533
4.0,6.0,2,2.9718594782484336
4.0,7.0,1,15.572066784884594
4.0,7.0,2,7.384990047172241
4.0,8.0,1,3.3021848963891047
4.0,8.0,2,3.1422595480553404
4.0,9.0,1,2.5183413686992413
4.0,9.0,2,0.1559010555431833
4.0,10.0,1,1.309807729801124
4.0,10.0,2,0.0922124722190778
4.0,11.0,1,0.6947846639747542
4.0,11.0,2,0.7496597804696903
4.0,12.0,1,1.2811231877690947
4.0,12.0,2,0.6874927637784637
5.0,1.0,1,65.84605894010234
5.0,1.0,2,16.10645848185514
5.0,2.0,1,23.723498442864372
5.0,2.0,2,6.3353637037929555
5.0,3.0,1,13.353724859173004
5.0,3.0,2,5.2245329940848455
5.0,4.0,1,4.999413744826716
5.0,4.0,2,1.7954275250145535
5.0,5.0,1,1258.3463578450303
5.0,5.0,2,689.5835806805026
5.0,6.0,1,0.29524106796465954
5.0,6.0,2,0.1614221009755294
5.0,7.0,1,20.686717611724468
5.0,7.0,2,8.326554247135629
5.0,8.0,1,3.083802858916924
5.0,8.0,2,1.9177233926093271
5.0,9.0,1,0.9915790304896877
5.0,9.0,2,0.1727066837960263
5.0,10.0,1,16.974533565759085
5.0,10.0,2,4.252053735828221
5.0,11.0,1,1.384218725359887
5.0,11.0,2,2.2681622270210653
5.0,12.0,1,1.7059211511689394
5.0,12.0,2,0.6533576101333733
6.0,1.0,1,8.756344716518495
6.0,1.0,2,17.37601474132891
6.0,2.0,1,3.413995887065828
6.0,2.0,2,7.1997918349887815
6.0,3.0,1,0.5201513961461414
6.0,3.0,2,1.858443985080819
6.0,4.0,1,0.0320896336298232
6.0,4.0,2,0.2777394261992365
6.0,5.0,1,0.4081793809804631
6.0,5.0,2,2.2208738757043727
6.0,6.0,1,393.09673037172826
6.0,6.0,2,1580.0843819052918
6.0,7.0,1,1.5197789899725147
6.0,7.0,2,3.8659592483973024
6.0,8.0,1,0.1551930593090461
6.0,8.0,2,1.1770597755753678
6.0,9.0,1,0.08811158156375827
6.0,9.0,2,0.08314899220760388
6.0,10.0,1,0.0903630622188007
6.0,10.0,2,0.0643988425431039
6.0,11.0,1,0.9398955915132668
6.0,11.0,2,3.284756510770414
6.0,12.0,1,0.2734494509784845
6.0,12.0,2,0.3702363053871803
7.0,1.0,1,1838.082500643523
7.0,1.0,2,496.0249853522818
7.0,2.0,1,233.39752769787648
7.0,2.0,2,123.73458296753994
7.0,3.0,1,243.8310807081033
7.0,3.0,2,138.13021876798518
7.0,4.0,1,50.99730836537485
7.0,4.0,2,40.33992484946673
7.0,5.0,1,61.85153212424791
7.0,5.0,2,30.718630221146643
7.0,6.0,1,13.793760095715175
7.0,6.0,2,9.496061520234457
7.0,7.0,1,1817.0247035117104
7.0,7.0,2,584.291480416002
7.0,8.0,1,61.90365530332373
7.0,8.0,2,50.51239128323911
7.0,9.0,1,19.90690821621092
7.0,9.0,2,23.916950802307543
7.0,10.0,1,69.08697166050618
7.0,10.0,2,44.42978236032675
7.0,11.0,1,32.72208854905875
7.0,11.0,2,40.91850171722811
7.0,12.0,1,38.76587717036125
7.0,12.0,2,23.10541623017858
8.0,1.0,1,1107.3943628359975
8.0,1.0,2,151.49348842548306
8.0,2.0,1,166.0511119620362
8.0,2.0,2,34.69043093567012
8.0,3.0,1,751.7419034982993
8.0,3.0,2,107.72045046717857
8.0,4.0,1,235.8442619226429
8.0,4.0,2,49.79622363346749
8.0,5.0,1,11.993705800340958
8.0,5.0,2,5.1620977710876135
8.0,6.0,1,24.262858805890836
8.0,6.0,2,5.420247175221443
8.0,7.0,1,55.699312559276756
8.0,7.0,2,16.299391167551985
8.0,8.0,1,11495.373079994792
8.0,8.0,2,1933.7835963149405
8.0,9.0,1,37.30167113612936
8.0,9.0,2,8.2266141202809
8.0,10.0,1,5.751675639935231
8.0,10.0,2,8.489319476059885
8.0,11.0,1,1.862300955096499
8.0,11.0,2,3.1194544422838986
8.0,12.0,1,6.049215164540529
8.0,12.0,2,1.865748572393119
9.0,1.0,1,92.43315887297732
9.0,1.0,2,44.924195599112615
9.0,2.0,1,34.58548143234686
9.0,2.0,2,16.04473521371451
9.0,3.0,1,30.838973176757076
9.0,3.0,2,17.10161817743256
9.0,4.0,1,12.959228204440922
9.0,4.0,2,12.705890981708244
9.0,5.0,1,2.705176495698888
9.0,5.0,2,1.6662755816355426
9.0,6.0,1,1.716291427166414
9.0,6.0,2,0.56702441753453
9.0,7.0,1,22.05734575015053
9.0,7.0,2,15.459083756874954
9.0,8.0,1,12.527102051629724
9.0,8.0,2,5.223108766963446
9.0,9.0,1,3166.931160801121
9.0,9.0,2,1035.6942769667282
9.0,10.0,1,0.09196754299429138
9.0,10.0,2,0.08678766681398399
9.0,11.0,1,0.8189267886888448
9.0,11.0,2,0.0400475702855141
9.0,12.0,1,6.520255691484741
9.0,12.0,2,3.546312636561846
10.0,1.0,1,40.0144592975124
10.0,1.0,2,9.785263788716424
10.0,2.0,1,4.752797370294345
10.0,2.0,2,1.0059601674008365
10.0,3.0,1,3.658110111226536
10.0,3.0,2,1.3295595720313824
10.0,4.0,1,1.1357466063348416
10.0,4.0,2,0.08217436110493774
10.0,5.0,1,6.462077846100211
10.0,5.0,2,2.6736687602346296
10.0,6.0,1,0.333527888520024
10.0,6.0,2,0.12313528042016487
10.0,7.0,1,12.161789888282971
10.0,7.0,2,2.6901331886401065
10.0,8.0,1,1.9030857841483932
10.0,8.0,2,1.2469142158516069
10.0,9.0,1,0.0762893764684586
10.0,9.0,2,0.1325341529433061
10.0,10.0,1,540.9839234608199
10.0,10.0,2,107.501823145522
10.0,11.0,1,0.08152628293945618
10.0,11.0,2,0.0769349246017649
10.0,12.0,1,0.3619720925410609
10.0,12.0,2,0.1606425215725923
11.0,1.0,1,164.7636140651293
11.0,1.0,2,40.863005776749205
11.0,2.0,1,47.44398803839297
11.0,2.0,2,10.786778077015478
11.0,3.0,1,31.5867991219832
11.0,3.0,2,7.367314411542101
11.0,4.0,1,17.011740385024716
11.0,4.0,2,7.8879099646256385
11.0,5.0,1,17.307292693540685
11.0,5.0,2,1.710806853970623
11.0,6.0,1,10.416410444712032
11.0,6.0,2,2.8268214545534467
11.0,7.0,1,52.5760212655504
11.0,7.0,2,15.02955649002738
11.0,8.0,1,12.664918663887862
11.0,8.0,2,2.419147270178074
11.0,9.0,1,2.2188110271162373
11.0,9.0,2,0.2450927161992712
11.0,10.0,1,5.970892013738325
11.0,10.0,2,1.779107986261675
11.0,11.0,1,1480.2914314818547
11.0,11.0,2,757.0298638893998
11.0,12.0,1,6.8038729739429975
11.0,12.0,2,1.9183321711379495
12.0,1.0,1,2445.3223535455404
12.0,1.0,2,526.6850431501526
12.0,2.0,1,555.3567777080285
12.0,2.0,2,196.09265713348944
12.0,3.0,1,440.1234277608363
12.0,3.0,2,184.71022102906443
12.0,4.0,1,216.48006053878183
12.0,4.0,2,80.19902663499002
12.0,5.0,1,116.86239447355604
12.0,5.0,2,56.13931163353806
12.0,6.0,1,40.4876774343129
12.0,6.0,2,18.87853452791166
12.0,7.0,1,457.6740659663734
12.0,7.0,2,215.79278165363053
12.0,8.0,1,156.76438758477397
12.0,8.0,2,60.35004841388214
12.0,9.0,1,340.72577651744285
12.0,9.0,2,130.81080222172653
12.0,10.0,1,64.0130647691699
12.0,10.0,2,36.312150826949114
12.0,11.0,1,88.50904454010733
12.0,11.0,2,61.42560398286896
12.0,12.0,1,410.93322974921733
12.0,12.0,2,238.76374085054647
