delt,growth,USA,EUR,JAP,CHN,BRA,IND,ROW
0.09999999999999953,0.018801265789119365,0.9997844632494614,1.0069342314537155,1.0055611558548123,1.0030460297792418,1.0029439448290205,1.0052509444650275,0.8993462250908748
0.10427538888537682,0.018794780398688447,0.9997397935739454,1.0067817188116805,1.0054481920133933,1.002957718201213,1.002858755353437,1.0050901960589285,0.9019426873654025
0.10873356727196562,0.01878823531475962,0.9996949576848139,1.0066270449447334,1.0053332770240435,1.0028705882402522,1.0027744335622246,1.004930739061576,0.9045509429756786
0.11338235012178487,0.018781640814654738,0.9996490074476756,1.006470378276984,1.0052165122264127,1.0027844273418565,1.0026910440374823,1.0047727297535751,0.9071695184022874
0.11822988651687043,0.018775001120836896,0.999601953713852,1.0063119045392745,1.0050980065250088,1.0026992834623827,1.002608637485294,1.004616330944325,0.9097954408347276
0.1232846739442066,0.018768320661165492,0.9995538119805408,1.006151821203781,1.004977879357771,1.0026152019168715,1.0025272617878078,1.00446169842441,0.9124256759866822
0.12855557319139013,0.018761604064877032,0.9995046026539479,1.0059903365735472,1.0048562604393818,1.0025322253964408,1.002446962007474,1.0043089804438452,0.9150571401849609
0.13405182387914708,0.01875486388873587,0.9994540865258416,1.005827772406881,1.004733368026789,1.002451277100865,1.0023678392774442,1.0041584097993905,0.9176850716899788
0.13978306065792093,0.018748097002540008,0.999402559791713,1.0056642459888439,1.0046092685500616,1.0023714571730464,1.0022898695019649,1.0040100180647509,0.9203080747069108
0.14575933009692857,0.01874130988629633,0.9993500692929377,1.005500015831434,1.0044841392140091,1.0022928134984617,1.0022135508763175,1.0038639499509487,0.9229225045639248
0.15199110829529247,0.018734508061285585,0.9992966589451685,1.0053353258731292,1.0043581493111895,1.0022153814497055,1.0021390007125694,1.00372032241653,0.9255251254103134
0.15848931924611123,0.0187276953196589,0.9992423630229437,1.0051703881365106,1.0042314462716804,1.0021391765380212,1.0020656456023223,1.003579212975774,0.9281134445543346
0.16526535398566855,0.01872087731797803,0.9991872348057922,1.0050054502398715,1.0041042095487345,1.0020642284274879,1.0019935162587104,1.0034407185787593,0.9306843525045715
0.17233109056135043,0.01871379629228055,0.9991622085045323,1.0048399350043864,1.0039757704737404,1.001989499602745,1.0019216055379618,1.0033040335795331,0.9332109872505622
0.17969891485325942,0.018706617640762233,0.999148191355021,1.0046745020033288,1.00384678975426,1.001915628772379,1.001850480030101,1.003169695093328,0.9357068644140014
0.18738174228603777,0.018699442221232026,0.9991340625171553,1.0045096773688758,1.003717759954966,1.0018430207326587,1.001780548270563,1.0030380880229228,0.9381778736079215
0.19539304046896044,0.01869227625892817,0.999119859405796,1.0043456991889534,1.0035888740784222,1.0017716996945922,1.0017118366601965,1.0029092787979845,0.9406211716816009
0.20374685280397045,0.01868512603635499,0.9991056233117449,1.0041828017831682,1.0034603262740633,1.0017016877876663,1.001644369420964,1.0027833254097196,0.9430340015050332
0.21245782310305583,0.018677997870224006,0.9990913991930622,1.0040212143729383,1.0033323106270577,1.001633005085636,1.001578168618771,1.002660277589261,0.9454137034702055
0.2215412212581176,0.01867089808784203,0.9990772353971253,1.0038611598206728,1.003205019944864,1.0015656696318849,1.001513254187234,1.0025401770196865,0.9477577263729433
0.231012970008315,0.018663835818068717,0.9990632041983166,1.003702913509141,1.003078695281323,1.0014997223182607,1.0014496683256304,1.002424117863549,0.9500623876475822
0.24088967285183027,0.01865681671369107,0.9990493568004937,1.0035466710734564,1.0029535148409343,1.0014351715273333,1.001387421175055,1.0023119839434917,0.952325586751631
0.251188643150957,0.018649790445473644,0.9990418548068375,1.0033923227326407,1.0028293628825167,1.0013717703529774,1.001326260601017,1.0022025210797314,0.9545430260090761
0.2619279344815624,0.018642685007159213,0.9990495605249688,1.0032396736953046,1.0027060247379758,1.0013091836752037,1.0012658423220415,1.002095378397308,0.9567083632025435
0.2731263722800844,0.018635635144513826,0.9990577973411905,1.0030894811889155,1.0025842440474027,1.0012479792154496,1.0012067528309714,1.0019911328887672,0.9588280601675964
0.2848035868435793,0.01862864693581253,0.9990666041055526,1.002941910704447,1.0024641805925105,1.0011881652178356,1.0011490016750118,1.0018897899067003,0.960900385311715
0.2969800477406443,0.018621717547467925,0.9990770391813462,1.0027970840277423,1.0023459590711428,1.0011297115952282,1.0010925593708708,1.0017912898388153,0.9629229813493339
0.30967709969353463,0.018614847919586217,0.9990896520943697,1.0026551198495521,1.0022297039583934,1.0010726016953833,1.0010374101156825,1.0016955255167594,0.9648941423698585
0.3229169999943894,0.01860805696480327,0.9991029099529272,1.0025161921148582,1.00211558813156,1.001016893307874,1.0009836137325254,1.0016025497119656,0.9668138677254602
0.33672295752114223,0.018601350103813644,0.9991168458408587,1.0023804159451102,1.002003735174922,1.0009625876770265,1.0009311724729137,1.0015123513470852,0.9686810741601125
0.3511191734215131,0.01859473254322852,0.9991314900192566,1.002247893240836,1.0018942582566186,1.0009096842991283,1.0008800867793664,1.0014249147181462,0.970494847287335
0.3661308835364027,0.018588209260283768,0.9991468693779808,1.0021187126826616,1.001787259802477,1.0008581809607655,1.0008303553279982,1.001340219761316,0.9722544414312188
0.38178440263705005,0.018581784989057066,0.9991630069236576,1.001992949828073,1.0016828312697226,1.000808073780026,1.0007819750739784,1.0012582423190834,0.9739592784581014
0.3981071705534968,0.01857546420823031,0.9991799213135644,1.0018706672969564,1.0015810530182392,1.0007593572506115,1.000734941299822,1.0011789544048255,0.975608945629625
