delt_dom,delt_int,growth,World Equal,World Negishi,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
1.0,0.09999999999999999,0.017361224420348587,0.9961804351185077,0.9997242000552086,1.0025791127287602,1.0028256557490205,1.0032524673707868,1.0023823000031278,1.0023744882186616,1.0024417593446155,1.0026236365508177,1.0035943912762344,1.002511650849046,1.0024934206459462,1.002426626863242,0.989174832452748
1.0,0.12589254117941673,0.017315245500838582,0.9974613782782046,0.9998515239323177,1.0017821695751221,1.001935435710747,1.0022366950335726,1.001633325038971,1.0016238007457536,1.0016674037517819,1.0017843654921055,1.0024441608331283,1.0017171190938214,1.0017047242007304,1.0016591142128335,0.992731802886543
1.0,0.15848931924611132,0.017281232487381212,0.9983466113373385,0.9999194298423775,1.0012129001064716,1.0012809850808722,1.001468738195165,1.0010824345430795,1.0010676818713469,1.0010955523859635,1.0011689441787321,1.0016054263000322,1.0011285509683439,1.0011219850454744,1.0010904755272159,0.9952418625344094
1.0,0.19952623149688792,0.01725762309691131,0.9989882772347325,0.9999676316242379,1.0007737392312612,1.0008142467375178,1.0009290351185112,1.000690658386104,1.0006817821601512,1.0006990734820402,1.0007439070607154,1.0010134944872564,1.0007201252956115,1.0007163119789781,1.0006960857467206,0.9970518127672751
1.0,0.25118864315095796,0.017241847634181007,0.9993969165392703,0.9999905010532039,1.0004785074159297,1.0005034133990984,1.0005726183163317,1.0004285192214428,1.000423700749027,1.0004341778606827,1.000460961794435,1.0006231415148004,1.000447243685362,1.0004450166073957,1.0004325212503036,0.9982213499659206
1.0,0.31622776601683794,0.017231560970653106,0.9996494691730088,0.9999995542264928,1.0002871264135629,1.0003020009144326,1.0003426353574505,1.0002578245021725,1.0002552687225044,1.0002614503796297,1.000277051432951,1.0003721039047353,1.000269310867913,1.0002680408232494,1.000260550625093,0.9989553652923547
1.0,0.3981071705534973,0.017225006897129892,0.9998029778555669,1.0000022224134795,1.000165787727891,1.0001743439488118,1.0001973851117023,1.000149195398348,1.0001478782375341,1.0001513989593327,1.0001601850494013,1.0002140022303643,1.0001559463166407,1.0001552445440973,1.000150923538824,0.9994076310781744
1.0,0.5011872336272724,0.017220915947105217,0.9998949742508934,1.0000022950459233,1.0000903579689917,1.0000950073962134,1.0001073809873975,1.0000814574321253,1.0000808089259774,1.0000827068706775,1.0000873984678393,1.0001162642765136,1.0000851888014926,1.0000848201914188,1.000082466902008,0.9996819077205528
1.0,0.6309573444801934,0.017218407675932582,0.9999494578145343,1.0000015411884662,1.0000442646217311,1.0000465370059552,1.0000525275888845,1.000039959268242,1.0000396682919481,1.000040590090037,1.000042851095824,1.0000568127874165,1.0000418072259645,1.000041632008428,1.0000404798650817,0.9998460152711104
1.0,0.7943282347242815,0.01721689311890155,0.9999814104704464,1.0000006940264987,1.0000165083782877,1.0000173543631588,1.0000195682031312,1.0000149183940878,1.0000148175257801,1.0000151590442663,1.0000159916055054,1.0000211473464187,1.0000156133274436,1.0000155495184007,1.0000151200283738,0.9999431010316665
1.0,1.0,0.017215990305456626,0.9999999999091171,0.9999999999096609,0.9999999999094082,0.9999999999117053,0.9999999999063622,0.9999999999092848,0.9999999999143316,0.9999999999078618,0.9999999999107405,0.9999999999021753,0.9999999999097685,0.9999999999104893,0.9999999999142803,0.9999999999094723
1.0,1.2589254117941675,0.017215457898943933,1.0000107446888522,0.9999995006116629,0.9999902820779731,0.9999897851976601,0.9999884974772235,0.9999912060398853,0.9999912596567996,0.9999910603232796,0.9999905783395827,0.9999875822718112,0.9999907926777352,0.9999908290174525,0.9999910816997384,1.000033089791021
1.0,1.584893192461114,0.017215146700408784,1.0000169226338473,0.9999991664677654,0.9999846101472568,0.999983823752692,0.9999817918034974,0.9999860677776365,0.9999861498878607,0.9999858349290164,0.9999850756350703,0.9999803490610164,0.9999854109240874,0.9999854680527176,0.9999858680541486,1.0000522123040003
1.0,1.9952623149688797,0.017214966118242997,1.0000204598333409,0.9999989528814583,0.9999813226522857,0.9999803687360284,0.9999779087771083,0.999983087027751,0.9999831843709592,0.9999828028187996,0.9999818844602066,0.9999761635974015,0.9999822881606615,0.9999823570240685,0.9999828424182733,1.0000632065491393
1.0,2.5118864315095815,0.017214861948105613,1.0000224782170717,0.9999988205734457,0.9999794280149905,0.9999783776627719,0.9999756726143159,0.9999813679556184,0.9999814734856802,0.9999810537081287,0.9999800445262104,0.9999737545631876,0.9999804867981662,0.999980562314262,0.9999810968863042,1.0000695014172125
1.0,3.16227766016838,0.01721480214409464,1.0000236268421205,0.9999987404412587,0.999978341113973,0.9999772354990959,0.9999743905699293,0.9999803812243854,0.9999804911796517,0.9999800495691357,0.9999789886349536,0.9999723740549091,0.9999794526560368,0.9999795319191142,0.9999800947154895,1.0000730935875053
1.0,3.9810717055349727,0.017214767943004822,1.0000242790884948,0.9999986927046369,0.9999777199049015,0.9999765827244326,0.9999736581829017,0.9999798170058638,0.9999799293659638,0.9999794752967882,0.9999783849793372,0.9999715856673985,0.9999788612461057,0.999978942635806,0.9999795215415455,1.0000751379799535
1.0,5.011872336272725,0.0172147484445541,1.0000246488398603,0.9999986646234413,0.9999773659134699,0.999976210761083,0.9999732409987746,0.9999794953796763,0.9999796090542522,0.9999791479195642,0.999978040912615,0.9999711367458757,0.9999785240862082,0.9999786066621896,0.9999791947693134,1.0000762989906429
1.0,6.309573444801934,0.0172147373557867,1.0000248581536133,0.9999986482570202,0.9999771646794674,0.9999759993097512,0.9999730039128167,0.9999793124840657,0.9999794268803679,0.9999789617221198,0.9999778452845831,0.9999708816536182,0.9999783323428557,0.9999784155925016,0.9999790089205252,1.000076957204606
1.0,7.943282347242818,0.01721473106232571,1.0000249765263611,0.9999986387933401,0.9999770504993352,0.9999758793401878,0.9999728694259129,0.9999792086935678,0.999979323487275,0.9999788560682003,0.9999777342699329,0.9999707370154615,0.9999782235226753,0.9999783071423959,0.999978903451475,1.000077329849956
1.0,10.0,0.017214727496163658,1.000025043405014,0.9999986333488885,0.9999769858140171,0.9999758113735461,0.9999727932566749,0.9999791498816011,0.999979264893718,0.999978796183246,0.9999776713721962,0.9999706550829525,0.9999781618492435,0.9999782456902369,0.9999788436673934,1.000077540598717
