,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0,nu,nu_tilde
GPDIFF,5.10511140525341,6.626975655555725,3.604656271636486,7.036242686212063,1.0677567720413208,7.5188001692295074,15.81411662697792,-0.09126032888889313,-0.0031310543417930603,-0.0033301636576652527,-4.8518212280675445e-05,-1.9457549455751632e-05,-3.3217145306703464e-06,-4.024000327733813e-05,-0.2570906952023506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2000386193394661,-11.056024990975857,-5.460237190127373,7.450584816981635e-13
GROWTH,6.4990518018603325,8.436458000913262,4.588900439441204,8.957474544644356,1.359305638819933,9.57179337181151,20.132128885015845,-0.11617877334356308,-0.003985969349741936,-0.004239443689584732,-6.176233574072936e-05,-2.4748666483033975e-05,-4.220915720908748e-06,-5.1223761612005566e-05,-0.32728876918554306,3.7933131078427646e-13,1.751688954162147e-12,1.0230457576362983e-12,6.074057357922679e-11,1.2554557212380787e-11,2.75470039155708e-10,5.1573511431544585e-11,-0.25465875677764416,44.652397422119975,-6.9511440973728895,1.1920935707170616e-12
KM,1.4849056117236614,0.7527832463383675,0.39950525760650635,0.7253919206559658,0.11507159098982811,0.8288872763514519,1.715134259313345,-6.339991442859173,-0.027756769210100174,-0.011896133422851562,-0.0003292641436446681,-0.00047326635252218204,-2.6976035707152035e-05,-0.0006130730417411313,-16.098008379340172,-2.0408024520194074e-11,-9.424086573392351e-11,-5.503986176083285e-11,-3.267842858562401e-09,-6.754351780260864e-10,-1.4820288106577092e-08,-2.7746549150170984e-09,-16.385500472038984,-0.9703321158885956,15.377231780439615,-1.1771924010830983e-11
OUT,-0.41351077146828175,-0.8778262389823794,-0.49140399880707264,-0.9300557747483253,-0.14496979396790266,-1.0297477021813393,-2.0187072372063994,0.0602943217381835,0.0003759413957595825,0.00043022166937589645,5.759596547377808e-06,3.4469171256193816e-06,9.241312423578215e-07,5.463475542901043e-06,0.1474673105403781,7.875882082407938e-06,1.5204660122127436e-10,8.88003717628307e-11,5.272281786676885e-09,1.0897355660346524e-09,2.391079939871546e-08,4.47658079225807e-09,0.09200966265052557,0.38946359045803547,1.5973138408735394,1.559034872953407e-11
RD,19.873302310705185,-0.326827235519886,-0.009704150259494781,-0.22206103801727295,-0.0025846362113952637,0.043918609619140625,-1.3489864617586136,-0.5761294811964035,-0.0016116201877593994,-0.000571124255657196,-1.2073529690783105e-05,-2.784659151963911e-05,-1.1530865486039918e-06,-4.9155158910080034e-05,-1.4235862344503403,3.626407331097683e-11,1.6746146401790125e-10,9.780317443003013e-11,5.806798834174081e-09,1.2002156695036033e-09,2.6334935743285688e-08,4.930427692855662e-09,-0.06698027998209,-6.817654334008694,-12.83217804133892,1.4156111152265105e-11
RD,-0.3441937826573849,37.45648816600442,-0.09713612124323845,-0.47045084089040756,-0.031217940151691437,-0.16185372695326805,-1.8259901441633701,-0.07506568729877472,-0.02780798450112343,-0.0012232623994350433,-6.574589287494819e-05,-6.450895476651013e-05,-5.744800975748715e-06,-6.911036834933791e-05,-0.3541291691362858,-5.894808569587656e-11,-2.7046077452263547e-10,-1.573444375244627e-10,-9.341900216485079e-09,-1.930890899264165e-09,-4.225710400648561e-08,-7.932006058171557e-09,-0.028303325176239014,-7.007322087883949,-15.35645267367363,-4.1164481113823534e-11
RD,-0.2752591632306576,-0.4069306254386902,17.065236803144217,-0.4764515161514282,-0.02070103958249092,-0.08694115281105042,-1.6341291852295399,-0.05729607492685318,-0.0013725273311138153,-0.03397581726312637,-0.00010583307799121974,-1.0585542036451076e-06,1.2310287805175818e-06,-6.255757542616758e-05,-0.2932755686342716,-6.73692407952875e-11,-3.1670536291251617e-10,-1.8496667298064275e-10,-1.0981895703124203e-08,-2.2698639439984464e-09,-4.980498307935201e-08,-9.293546759964334e-09,0.019857309758663177,-6.252993769943714,-11.41864401102066,6.586316978211765e-11
RD,-0.5165813639760017,-0.8633968755602837,-0.21710414439439774,240.9874508008361,-0.0337652713060379,-0.1647724136710167,-2.507543623447418,-0.1489596739411354,-0.006032779812812805,-0.005317606031894684,-0.0011543607493772147,-5.8094777888798064e-05,-3.1268589508863713e-06,-9.338292870236219e-05,-0.43583788722753525,1.490013388760638e-10,6.922674746848804e-10,4.0430768341786513e-10,2.4004674678510426e-08,4.956539187447935e-09,1.0875557145867353e-07,2.03612223131738e-08,-0.025237925350666046,-7.4513475969433784,-17.343119874596596,1.4558442732382113e-10
RD,-0.638747900724411,-1.026670753955841,-0.164107084274292,-0.6061215400695801,420.9167876839638,-0.2201375663280487,-2.661734789609909,-0.16138848662376404,-0.00650787353515625,-0.0028631985187530518,-0.00013160972970649795,-0.0020209916855992395,-5.006642191155304e-06,-0.00010848853913037654,-0.4573710560798645,-3.8904219234035396e-10,-1.7937294890620386e-09,-1.0475988558195695e-09,-6.219834734512823e-08,-1.2855866585477926e-08,-2.82081320095445e-07,-5.2811275705901655e-08,-0.05433928966522217,-7.677322834730148,-18.361779153347015,1.5676030454929358e-10
RD,-0.4213864365592599,-0.7996470229700208,-0.11290646623820066,-0.4594217352569103,-0.03659546095877886,160.43280496355146,-2.256339388899505,-0.07884278800338507,-0.004305788315832615,-0.000554877333343029,-4.428697283759329e-05,-7.051873085861091e-05,-0.00010472140617469548,-8.627741660104252e-05,-0.22461997997015715,1.0094006179969597e-10,4.648106639869257e-10,2.714651917887918e-10,1.6117511199247827e-08,3.331351756305242e-09,7.309597488996713e-08,1.3685031258360355e-08,-0.001983683556318283,-6.572524772025645,-12.849159653298557,-9.678309677259144e-11
RD,-0.547871527262032,-0.818975867703557,-0.18604110460728407,-0.6195269580930471,-0.03771805018186569,-0.22088707983493805,79.21149139944464,-0.13702630996704102,-0.004443780519068241,-0.0029152482748031616,-0.00017080692938358,-6.901029111841664e-05,-7.938932114580914e-06,-0.00023001894786850154,-0.381437573581934,2.960680880671278e-11,1.3803308958797718e-10,8.061600570174032e-11,4.7863571980430705e-09,9.892991083356062e-10,2.1707039085469793e-08,4.100094158807794e-09,0.03546653222292662,-6.855464097112417,-14.538009325042367,-3.420749754096693e-11
RP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP,0.2498003300279379,-0.35817974992096424,-0.01576549280434847,-0.04748560395091772,-0.006274868734180927,-0.043892270885407925,-0.07856332696974277,0.04999367520213127,-0.0021346909925341606,3.923103213310242e-05,5.8952320974696406e-06,6.185926127551097e-06,1.909871234206164e-06,1.7344123099519119e-06,0.10601931065320969,7.87593403183095e-06,-3.636897280848965e-05,2.2788344251348547e-10,1.3529962764772767e-08,2.7965276190578204e-09,6.159510075521632e-08,1.1622090801098571e-08,0.05958517827093601,0.02403911668807268,-0.12135298922657967,5.335550052060973e-11
RP,0.25976535957306623,-0.023706323467195034,-0.153942477889359,-0.06633257493376732,-0.0045806895941495895,-0.025767406448721886,-0.08164624404162169,0.05031473562121391,6.362423300743103e-05,-0.004891534335911274,-7.044694241182669e-06,-6.232237873960571e-06,-1.721892910179271e-06,-1.448073069049553e-06,0.09956868086010218,7.875926748669782e-06,3.5944657339407256e-10,-2.1240732088397963e-05,1.2436632440346685e-08,2.5705455892349663e-09,5.640249051713122e-08,1.0559676465608753e-08,0.0661871312186122,-0.01472060289233923,-0.15897955559194088,-4.241245407066795e-11
