,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0,nu,nu_tilde
RP,0.258929705247283,-0.04513227753341198,-0.03666750341653824,-0.034066325053572655,-0.006116848438978195,-0.03751966543495655,-0.2031736895442009,0.04920895956456661,2.1435320377349854e-05,2.538040280342102e-05,-0.0001963904478699231,-6.594461890520381e-06,-1.0367463053800303e-06,-6.274386226028457e-07,0.1140989400446415,7.87579214295415e-06,-2.6520570766014906e-10,-1.5488912770613557e-10,-0.0012611326460319544,-1.9007599619544514e-09,-4.209182198299219e-08,-7.880432546740012e-09,0.04196369834244251,0.034286659210920334,-0.25917721539735794,-7.102269976787743e-11
RP,0.2427163114771247,-0.06309820618480444,-0.013720453716814518,-0.04260184429585934,0.07366280257701874,-0.049532318487763405,-0.09053006302565336,0.049171955324709415,1.553259789943695e-05,2.979021519422531e-05,1.2663249473791072e-05,-0.0005379340904192389,-1.4596975344405403e-06,1.7321093133762896e-06,0.11175201553851366,7.876083165935785e-06,1.0787776424207582e-09,6.300427298403143e-10,3.743137846819851e-08,-0.0002606557087420238,1.6975841162970508e-07,3.1761547015116734e-08,0.03603964392095804,0.04685469437390566,-0.285190025344491,-6.913211387056834e-11
RP,0.24041665066033602,-0.08548509608954191,-0.020199060440063477,-0.0658822562545538,-0.009826362133026123,0.06337602064013481,-0.23576667811721563,0.04957767203450203,3.390386700630188e-05,1.8518418073654175e-05,2.3259531108139222e-06,3.2004724750832548e-06,-2.550716849836872e-05,6.589129091363489e-07,0.11676363088190556,7.875811754382918e-06,-1.7332962201434444e-10,-1.004630933998845e-10,-5.96472432548007e-09,-1.2328575182557935e-09,-0.005719461177694448,-5.103198956151336e-09,0.04899751488119364,0.021221044473350048,-0.23605882190167904,8.552340046792793e-11
RP,0.20137520250864327,-0.11943601560778916,-0.04628565884195268,-0.09743983414955437,-0.010624194983392954,-0.0751234395429492,-0.6970214683096856,0.049944915575906634,4.2247818782925606e-05,3.429804928600788e-05,-1.0101408449773964e-06,1.9593590210829463e-06,8.092953988307216e-07,-2.302721495475658e-05,0.11776742129586637,7.8758611338363e-06,5.495924093683736e-11,3.209806064583886e-11,1.9057354960482405e-09,3.938992325384472e-10,8.64287247851034e-09,-0.0010707910921705088,0.06479039113037288,0.02629599580541253,-0.04061422776430845,3.2149273485275756e-11
SRDUS,20.465372070670128,-0.28411826491355896,0.01753610372543335,-0.17400260269641876,0.005481526255607605,0.10226592421531677,-1.2606926709413528,-0.6770411282777786,-0.0018502771854400635,-0.0007065236568450928,-1.4035330835589608e-05,-3.155814719616977e-05,-1.416714685958781e-06,-5.271303273090792e-05,-1.6257882714271545,2.5187599036075957e-11,1.1631214655636656e-10,6.79302383070502e-11,4.033174085660658e-09,8.336225989020843e-10,1.8291210599939013e-08,3.4244811590545602e-09,-1.424961507320404,-2.9680543690919876,-14.43145352602005,1.102686552913282e-11
SPFLOW,-0.561987929046154,-0.877342939376831,0.4859121963381767,-2.429599702358246,-2.8379207774996758,-0.9495663344860077,-2.91508786380291,-2.3781733736395836,0.3417010009288788,0.12347450107336044,0.11358753144297425,0.03736296734655354,0.01379757001245801,0.054451725543828385,-0.17845406383275986,5.15890582666616e-12,2.38229697766052e-11,1.3913422303853658e-11,8.260718006774843e-10,1.707419780883787e-10,3.746392532517629e-09,7.013997554690064e-10,137.2807096913457,-0.8665503561496735,-0.3406326249241829,2.5406494225907373e-11
SPFLOW,-0.3769070655107498,-0.7185923159122467,-2.3616242334246635,-2.364100180566311,-2.843398168683052,-1.0048410519957542,-2.7286579459905624,-2.2961765974760056,0.32945896685123444,0.1429411545395851,0.1136191246974826,0.03733365862704011,0.013794241420671583,0.05445587912609677,0.023675814270973206,1.1076474274900872e-11,5.114931746153469e-11,2.987293612297991e-11,1.7736247485134222e-09,3.66593070601519e-10,8.043725143346675e-09,1.5059465338011017e-09,127.1365947201848,-0.5152899324893951,1.4890479892492294,-2.5853529314926272e-11
SPFLOW,-0.6870864033699036,-0.6420027911663055,0.532384991645813,31.241489470005035,-2.837072968482971,-0.9354709982872009,-2.9080523252487183,-2.449294328689575,0.330891489982605,0.12485441565513611,0.11398380741129473,0.03735494879846093,0.01379616017502781,0.054454139084239635,-0.3976655900478363,-6.73692407952875e-11,-3.110999582591973e-10,-1.816929265562066e-10,-1.0787525867670678e-08,-2.229689360918828e-09,-4.892347895405375e-08,-9.159455630242318e-09,169.44595974683762,-1.373835027217865,-3.0324151515960693,-4.470350890188981e-11
SPFLOW,-0.696596086025238,-0.6079149842262268,0.5116751194000244,-2.4443337321281433,64.7680231332779,-0.9134112000465393,-2.9344481229782104,-2.471657633781433,0.33090221881866455,0.12387579679489136,0.11360179479879261,0.03802797756113849,0.013796710355488377,0.05445690677434652,-0.454567551612854,1.1410285828391037e-10,5.269080374119738e-10,3.0773216389699855e-10,1.8270764532631416e-08,3.776410809484141e-09,8.286138777803698e-08,1.551331223860861e-08,166.57915896177292,-1.4766868948936462,-3.5952914357185364,-4.64916492579654e-11
SPFLOW,-0.4505354017019272,-0.5547517687082291,0.4949886202812195,-2.4137572646141052,-2.834595650434494,-4.2453439980745316,-2.603105366230011,-2.3687523901462555,0.3308219909667969,0.12318211793899536,0.11357919673670774,0.037368352741064585,0.01384770749934572,0.05446267552487994,-0.22169415652751923,-6.767270584391492e-11,-3.12501309422527e-10,-1.8251136316231563e-10,-1.0836118326534058e-08,-2.2397330066887324e-09,-4.9143854985378315e-08,-9.200714439387554e-09,171.93148072063923,-0.8475624918937683,-0.2794954627752304,5.781653817977748e-11
SPFLOW,-0.5535684786736965,-0.6099008582532406,0.5247437581419945,-2.3858433291316032,-2.835240922868252,-0.9194503910839558,4.819680005311966,-2.3861013762652874,0.33057279884815216,0.1241510771214962,0.1136302605727184,0.037362603468546036,0.01379833109542846,0.05451847969079235,-0.25596432387828827,-3.1105167484310673e-11,-1.4363849424129606e-10,-8.388975212617647e-11,-4.980727033496597e-09,-1.0294736914152246e-09,-2.258854321076806e-08,-4.229027937386656e-09,166.96015472337604,-1.2045472376048565,-2.100689437240362,1.9595038068661698e-11
SPFLOW,-3.5096718072891235,0.08858948945999146,1.637492097914219,-0.19201216846704483,-2.502196691930294,1.3898224905133247,2.4838217943906784,4.565253205597401,-2.4547139927744865,0.1221589669585228,0.11354956135187898,0.03734436325642448,0.01379472282857458,0.054435921869549445,0.7310990244150162,-4.1878176710584124e-11,-1.9338646053950101e-10,-1.1294425164304734e-10,-6.705759323146637e-09,-1.386023116246839e-09,-3.041189232279017e-08,-5.693715662042522e-09,55.70816630870104,1.7208151891827583,2.8882426396012306,1.3560064366906574e-11
SPFLOW,2.326682426035404,0.3405349850654602,-5.179133139550686,0.023065440356731415,-2.4879386574029922,1.4834749102592468,2.8486203327775,4.251215122640133,-2.4534010216593742,0.14494849741458893,0.11361380935650509,0.03732813429728984,0.013793207539889435,0.05444805098484772,0.06492889672517776,2.989130728980099e-11,1.3803308958797718e-10,8.061600570174032e-11,4.7863571980430705e-09,9.892991083356062e-10,2.1707039085469793e-08,4.063992700805713e-09,89.47286833077669,1.7630017921328545,4.190365485846996,-2.0265590702190047e-11
SPFLOW,2.2996082305908203,-0.4197688549757004,1.7072149813175201,30.301201820373535,-2.496809110045433,1.4554356038570404,2.327935665845871,4.269654795527458,-2.4623092859983444,0.1238219290971756,0.1139773126307512,0.03735027792803734,0.013795385337545846,0.05444198745075262,-0.029437601566314697,-5.462370875293581e-11,-2.5224320939934914e-10,-1.4731858909962697e-10,-8.746642595408657e-09,-1.8078562385828334e-09,-3.966768563842196e-08,-7.42658564614242e-09,166.57099823653698,0.4570876806974411,-3.430657520890236,-3.9488099530002664e-11
SPFLOW,2.323153495788574,-0.4668939411640167,1.6818076074123383,-0.22350558638572693,63.521107733249664,1.4669033586978912,2.272662341594696,4.26961287856102,-2.4635344743728638,0.12281903624534607,0.1135882862842965,0.03802678668765939,0.013795912593820554,0.05444441122670421,-0.041337043046951294,1.244206699372427e-10,5.745539769651842e-10,3.355590085047059e-10,1.9922908133986388e-08,4.1178947656608985e-09,9.035417284307224e-08,1.6916111749546625e-08,161.40086564421654,0.3281848132610321,-4.212229609489441,-4.1127228189738625e-11
SPFLOW,2.3256083242595196,-0.039902251213788986,1.6844297349452972,-0.14920752495527267,-2.4886049404740334,3.1876085065305233,2.6289098262786865,4.251863326877356,-2.458780527114868,0.12209177017211914,0.11356442032467817,0.03736248438119812,0.013845503338875575,0.05444864874040335,-0.06344751641154289,-5.500304006372009e-11,-2.539948983535113e-10,-1.4834163485726326e-10,-8.807383168987884e-09,-1.8204107957952143e-09,-3.994315567757767e-08,-7.478159157573965e-09,170.970527600497,0.8344869874417782,-1.1840240210294724,6.508085837633458e-11
SPFLOW,2.3692558109760284,-0.13283337652683258,1.713961936533451,-0.0999756008386612,-2.489976540207863,1.5038647428154945,3.7708556726574898,4.27707652002573,-2.4586966559290886,0.12317605316638947,0.11362209688518896,0.03735987769147165,0.013797771745293553,0.054513593243835895,0.005271516740322113,-2.048389078235093e-11,-9.459120352475593e-11,-5.5244470912360114e-11,-3.2799909732782466e-09,-6.779460894685626e-10,-1.4875382114408234e-08,-2.7849696173034074e-09,162.01960310339928,0.7954578250646591,-1.3589335680007935,2.9802339267926537e-11
SPFLOW,-7.412442564964294,0.8326789885759354,0.5279155969619751,-0.9261994510889053,-2.607911616563797,0.6517518162727356,1.017244353890419,4.615920826792717,0.32901354134082794,-3.7938009202480316,0.11355659867462287,0.0373466656118174,0.013794908514480021,0.054443604666125724,0.875866711139679,-4.430589709960349e-11,-2.0459726984613876e-10,-1.1949174449191965e-10,-7.094498994053689e-09,-1.466372282406076e-09,-3.21749005733867e-08,-6.023786135204407e-09,82.14428845047951,1.6955041885375977,5.4139693677425385,1.3113029277887677e-11
SPFLOW,1.814770832657814,-5.244642436504364,0.36825528740882874,-0.9007249623537064,-2.5944751650094986,0.77519291639328,0.9134234189987183,4.262458607554436,0.3429321199655533,-3.80403371155262,0.11358432336735469,0.03736231898210381,0.013797168839205514,0.05444774391863764,0.05002392828464508,1.9421763112154956e-11,8.968647445310193e-11,5.2379942790978474e-11,3.1099173672564115e-09,6.427933292738964e-10,1.4104066004772251e-08,2.6405637852950827e-09,122.63772916793823,0.8698377758264542,1.8333231508731842,3.501774863981368e-11
SPFLOW,1.8134525418281555,0.8638105243444443,0.1477244347333908,35.37331633269787,-2.600776731967926,0.7568709850311279,0.6415996104478836,4.276693806052208,0.3301469683647156,-3.8178777992725372,0.11397067631745975,0.03734944431660197,0.013795353243685646,0.0544452669178763,-0.04377749562263489,-5.553410389881808e-11,-2.5644726288933834e-10,-1.4977389891795407e-10,-8.892419971998802e-09,-1.8379871758925474e-09,-4.032881373239566e-08,-7.550362073578127e-09,168.08982355892658,-0.12949934601783752,-3.85809662938118,-4.306438024215385e-11
SPFLOW,1.8500984013080597,0.9090793430805206,0.11201357841491699,-1.0372346639633179,58.17672833800316,0.7751960158348083,0.6543691754341125,4.279283553361893,0.33024248480796814,-3.820145547389984,0.11359611776301484,0.038039065916421665,0.01379596761186661,0.05444939798195596,-0.04655376076698303,1.274553204235169e-10,5.885674885984814e-10,3.4374337456579623e-10,2.04088327226202e-08,4.218331223359945e-09,9.25579331563179e-08,1.7328699840998978e-08,164.07196187973022,-0.12980309128761292,-3.9307965338230133,-4.678967265064467e-11
SPFLOW,1.9175136191770434,1.1466094389907084,0.5859799163881689,-0.7712328344350681,-2.5847260506125167,-67.23276690824423,1.6051579660270363,4.274299368902575,0.3307919990620576,-3.799378224881366,0.1135780666247444,0.03737498421100246,0.01386449425381555,0.054467813494247126,0.025550724123604596,-7.837221962872392e-11,-3.6190988598586306e-10,-2.1136764756364447e-10,-1.2549382130053124e-08,-2.593849986060448e-09,-5.691383177731401e-08,-1.0655409796203559e-08,171.55261301191058,1.4611001455341466,5.08382343093399,8.70315618164279e-11
SPFLOW,1.8792888075113297,0.9435229301452637,0.28620754182338715,-0.912062406539917,-2.5948655754327774,0.792996346950531,2.8627983927726746,4.28541211783886,0.3299882113933563,-3.8092904537916183,0.11362830860023664,0.037359672596594694,0.013797833640595366,0.05451706718622597,0.009661957621574402,-1.8511367966272693e-11,-8.548242096311277e-11,-4.992463297265136e-11,-2.9641399906662673e-09,-6.126623919641825e-10,-1.3442937910798552e-08,-2.5167873578593755e-09,164.55595144629478,0.2695527970790863,-1.4769253432750702,2.4735941592379027e-11
SPFLOW,-8.87132342159748,2.41498751193285,2.0908868834376335,-0.7912997379899025,-2.3525131419301033,2.4379753023386,4.70119171589613,4.626414626836777,0.32836080342531204,0.1218097060918808,-1.200987168114257,0.03734389352299661,0.013794271222113198,0.054435807231497685,0.9302373602986336,-5.371331360705355e-11,-2.4803915590936e-10,-1.4486327928129984e-10,-8.600865218818513e-09,-1.7777253012731196e-09,-3.900655754444826e-08,-7.302809218706713e-09,-960.0413404330611,3.1444001868367195,7.052782081067562,1.5571722267491618e-11
SPFLOW,3.0243414640426636,-0.9350471645593643,2.0874202251434326,-1.4289556592702866,-2.344964049756527,2.5346999391913414,4.116804599761963,4.237824618816376,0.34128742665052414,0.12205678969621658,-1.2015694652909297,0.03735618598368644,0.013796348153351836,0.054435297501588945,0.02416279911994934,1.608364757725332e-11,7.427161165647502e-11,4.337714012377905e-11,2.5754003197592158e-09,5.323132258049454e-10,1.1679929660202021e-08,2.1867168846974903e-09,-453.4081779047847,1.709620013833046,0.07536949962377548,3.270806734654938e-11
SPFLOW,2.9942317847162485,2.299941224977374,2.207723755389452,-1.3863419760018587,-2.349692553281784,2.4988540410995483,4.067741287872195,4.229696137830615,0.32792993262410164,0.1391831934452057,-1.2015170048018995,0.03732460964258989,0.013792930157240566,0.054432979151702816,0.0070342570543289185,2.226674794303703e-11,1.0282414160931802e-10,6.005278597325072e-11,3.565471669100612e-09,7.369525083667523e-10,1.6170091298440063e-08,3.027365121031667e-09,-632.2224589772522,1.4032362643629313,-1.4930103942751884,-1.8216679877520096e-11
SPFLOW,3.0658718645572662,2.3862916827201843,2.0667610466480255,-1.9116546511650085,59.43362033367157,2.5190779268741608,3.7984851598739624,4.256933212280273,0.32952994108200073,0.12247440218925476,-1.2020806697820279,0.0380327145911998,0.013795353243685646,0.05443900686140675,-0.02455654740333557,1.2381373983998785e-10,5.717512746385248e-10,3.339221352924878e-10,1.9825723216259624e-08,4.097807474121089e-09,8.99134207804231e-08,1.6833594131256153e-08,58.36466586589813,0.9157986044883728,-4.632877737283707,-4.500153229456907e-11
SPFLOW,3.1063938066363335,2.595117200165987,2.1236826702952385,-1.1127352342009544,-2.336397208273411,-36.34269730001688,4.737688608467579,4.246402028948069,0.3297563008964062,0.12174860015511513,-1.2014598953552467,0.03736567658371849,0.01385594072069624,0.054451325334201245,-0.05062380060553551,-7.0252158757248e-11,-3.244127943108296e-10,-1.8946807431424246e-10,-1.1249154226872802e-08,-2.325103995732922e-09,-5.101705125163713e-08,-9.551414317122057e-09,150.17853713780642,2.0618542321026325,2.0202575884759426,7.681552946308065e-11
SPFLOW,3.0762831047177315,2.396067950874567,2.0999257564544678,-1.667590357363224,-2.347188290208578,2.5393913947045803,13.11655518040061,4.257959481328726,0.3291088901460171,0.12268595397472382,-1.2017830185502176,0.03735300039712984,0.01379684904681281,0.05449786326544738,-0.021703176200389862,-1.7676839082547282e-11,-8.162870526395605e-11,-4.76739323058515e-11,-2.830510728791968e-09,-5.850423660969448e-10,-1.2836903824655994e-08,-2.4033256327099777e-09,64.20408718287945,1.0713947005569935,-3.4848545156419277,2.3581100945746875e-11
SPFLOW,-2.6157354786992073,1.7572009451687336,1.8650480695068836,0.25169406831264496,-2.8750456608831882,1.8345398269593716,3.369450233876705,4.551048494875431,0.32837460935115814,0.1219184622168541,0.11354519152828689,-2.0812296751803934,0.013794293000089762,0.05443144893842257,0.7178876511752605,-3.7174468456859097e-11,-1.716655175078904e-10,-1.0025848424835725e-10,-5.952576210764225e-09,-1.2303466068133173e-09,-2.6996063837259387e-08,-5.054204120291369e-09,-471.7703201174736,1.781414058059454,1.8647827506065369,7.674102361491084e-12
SPFLOW,2.5555548816919327,1.6841641403734684,1.9019339680671692,0.2901669256389141,-2.922504670917988,1.915198925882578,3.2447130754590034,4.241484139114618,0.34044069051742554,0.12215389683842659,0.11356879604546809,-2.0823716202994125,0.013796256456608409,0.054434629120804996,0.009583767503499985,1.6994042723135588e-11,7.847566514646419e-11,4.583244994210617e-11,2.72117769634936e-09,5.624441631146593e-10,1.234105775417572e-08,2.3104933121331975e-09,-183.42492035403848,1.012353491038084,-1.5782472677528858,2.5630011770416822e-11
SPFLOW,2.662639193236828,1.9649316892027855,-9.024508357048035,0.5507670864462852,-2.782065913081169,1.9565596505999565,4.05044000595808,4.249398730695248,0.3284265100955963,0.1478644236922264,0.11361915221773913,-2.0802307142704315,0.013792723839567854,0.054449848345730745,0.08847225457429886,3.641580583529054e-11,1.6816213959956612e-10,9.821239273308464e-11,5.831095063605772e-09,1.2052374923885556e-09,2.6445123758947972e-08,4.95105709742828e-09,-285.0750776529312,2.4755093678832054,6.837185204029083,-2.7492657974662233e-11
SPFLOW,2.582509659230709,1.7918079942464828,1.939681351184845,23.555609203875065,-2.958516128361225,1.8920114934444427,3.270337112247944,4.264685869216919,0.32980213314294815,0.1236557811498642,0.11398930359967235,-2.0832301937660977,0.01379498416429335,0.05443904780356809,-0.0075303614139556885,-6.069300972548423e-11,-2.802702326659435e-10,-1.6368732122180774e-10,-9.718491772676286e-09,-2.008729153980926e-09,-4.407520626491329e-08,-8.251761829047134e-09,136.09635961055756,0.6701506674289703,-3.6849523931741714,-4.537406153541816e-11
SPFLOW,2.607074223458767,1.901359684765339,1.912886694073677,0.3067145571112633,-2.9066726714372635,3.042093053460121,3.536597229540348,4.24505277723074,0.329546220600605,0.12185483425855637,0.11356002298082954,-2.0824057189766974,0.013845261488714785,0.054444728528454625,-0.06298160552978516,-5.492717380156323e-11,-2.5364456056267887e-10,-1.48137025705736e-10,-8.795235054272039e-09,-1.817899884352738e-09,-3.9888061669746525e-08,-7.467844455287655e-09,160.14614977687597,0.9711297675967216,-1.8343570530414581,5.714598554624914e-11
SPFLOW,2.653207778930664,1.881087452173233,1.9441881477832794,0.3630850166082382,-2.918300084769726,1.9439470022916794,3.4856117889285088,4.2709914073348045,0.3295295909047127,0.12295576930046082,0.1136186765104475,-2.0823269757758736,0.013797375156878228,0.05451099546369859,0.009622901678085327,-2.018042573372351e-11,-9.318985236142621e-11,-5.4426034306251076e-11,-3.231398514414865e-09,-6.679024436986579e-10,-1.4655006083083668e-08,-2.743710808158172e-09,111.24065657705069,0.9611867889761925,-1.8457033559679985,2.4363412351529946e-11
SPFLOW,-1.887437328696251,2.513348788022995,2.2904631942510605,1.0521595627069473,-2.316192716360092,0.4026852250099182,4.877419531345367,4.539775371551514,0.3280597925186157,0.12153452634811401,0.11354000789139425,0.03733974531371107,-0.7743985067295369,0.05442758399839166,0.8127236068248749,-4.339550195372123e-11,-2.003932163561496e-10,-1.1703643467359255e-10,-6.948721617463544e-09,-1.436241345096362e-09,-3.1513772479413e-08,-5.9000097077687005e-09,-3024.291058331728,2.491013079881668,2.081418350338936,1.2516982492529146e-11
SPFLOW,3.1684146746993065,4.676821880042553,2.316698744893074,1.0432470813393593,-2.3124589323997498,0.01932653784751892,4.506966046988964,4.229771286249161,0.3393986225128174,0.12174946069717407,0.11356224032721365,0.03735172682410358,-0.7744617545583162,0.05442940387746342,0.050365693867206573,1.4262857285488796e-11,6.586350467649673e-11,3.846652048712482e-11,2.283845566578927e-09,4.720513511855176e-10,1.0357673472254623e-08,1.9391640298260763e-09,-1595.2512632012367,1.5692345052957535,-2.2343617156147957,2.838672815270003e-11
SPFLOW,3.2447466421872377,2.6380769219249487,-4.091616407036781,1.276307126507163,-2.3000707626342773,0.7001016512513161,5.334253393113613,4.233766572549939,0.3279902283102274,0.14399814791977406,0.11360339687086977,0.03732398939598619,-0.7743810883600182,0.05443983184595784,0.11356530338525772,2.8108450129114887e-11,1.2980015150341509e-10,7.58076906408497e-11,4.500876502220705e-09,9.302926894374164e-10,2.0412329901437966e-08,3.8215971970774535e-09,-2099.1198703516275,2.5765340626239777,3.615483023226261,-2.101064918388821e-11
