,0
eta,0.00399850303406879
eta,0.004476964850756104
eta,0.0010050120094078352
eta,0.00034747509207733174
eta,0.00016891552513698116
eta,0.004946563661954784
eta,0.005312991745106022
delta,0.000501049031007561
delta,0.0003636230664119111
delta,0.00047819598328757706
delta,0.0001335535865722992
delta,0.00033793183034469543
delta,3.21204072677439e-05
delta,4.110675978302725e-05
fe,0.0014929713758027319
T,1.411947253283043e-08
T,3.200167855345368e-08
T,7.2748876259072186e-09
T,1.5026776534422988e-06
T,3.2104682715139074e-07
T,5.834440760156656e-06
T,1.2897520800109332e-06
fo,8406.071219440599
g_0,5.769147186967649
nu,0.00239993940539307
nu_tilde,-1.6678216892886772e-09
