,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.5,-5.3933126980253596e-05,-4.959249067631056e-05,-6.495534311296744e-05,-4.192017538841914e-05,-4.3945834217188966e-05,-4.3955411631536476e-05,-4.829522562877855e-05,-5.502874566950339e-05,-4.847424536290757e-05,-4.5455544120155614e-05,0.00012984201730315535,4.390018451457934e-05,-1.252556236912668e-05
1,0.52,-5.3140150891356155e-05,-4.913210295410288e-05,-6.371226435327011e-05,-4.1759256556175025e-05,-4.331382397700038e-05,-4.3195729209050465e-05,-4.768842895628607e-05,-5.4131483189840516e-05,-4.76116239998801e-05,-4.484259419088593e-05,0.00013054423409231358,4.4650863471857926e-05,-1.2165292633719428e-05
2,0.54,-5.221396092569597e-05,-4.8604682365999e-05,-6.233644055666536e-05,-4.1594527068485226e-05,-4.265677826488923e-05,-4.2406768257954636e-05,-4.710563602941831e-05,-5.337549843305062e-05,-4.684910433690384e-05,-4.436621613828617e-05,0.00013092631627147563,4.5626804546484074e-05,-1.1975081710817713e-05
3,0.56,-5.123303158512345e-05,-4.783601723793562e-05,-6.102491849858868e-05,-4.132973368512315e-05,-4.1928009287482515e-05,-4.163334393007323e-05,-4.6538040858948644e-05,-5.268548558165638e-05,-4.6045612409606205e-05,-4.362948736558598e-05,0.00013109192843268534,4.639079136899834e-05,-1.174964011827384e-05
4,0.58,-5.027435770154238e-05,-4.693864210996446e-05,-5.941677898133843e-05,-4.1160936525475835e-05,-4.1592407196131825e-05,-4.113001778805665e-05,-4.57430240847603e-05,-5.1622131127005604e-05,-4.508567845062563e-05,-4.2827768870657736e-05,0.00013116917997380378,4.709336373510934e-05,-1.1187544774739295e-05
5,0.6,-4.9184253917274795e-05,-4.6333868511221476e-05,-5.790944081147362e-05,-4.052315873424166e-05,-4.080829663016323e-05,-4.028252638484601e-05,-4.5107772194196336e-05,-5.0729073264570275e-05,-4.388423149689073e-05,-4.2336993775614076e-05,0.00013109708545257172,4.7466485593584565e-05,-1.1044552361055346e-05
6,0.62,-4.802711950696584e-05,-4.5343672099112946e-05,-5.627229858871127e-05,-4.002785736379482e-05,-4.008065584987462e-05,-3.958076448425226e-05,-4.429823567039558e-05,-4.979535873882083e-05,-4.289105548376316e-05,-4.1714677060295904e-05,0.00013101874106716567,4.8170858106430986e-05,-1.0833810464509167e-05
7,0.64,-4.680445012684305e-05,-4.44551619545934e-05,-5.4871665750385596e-05,-3.9772323765611765e-05,-3.9480863893117105e-05,-3.894144624652297e-05,-4.332819284370957e-05,-4.8946882004353954e-05,-4.20889466531595e-05,-4.0951286530839326e-05,0.0001309904966344562,4.900751772879288e-05,-1.0506218271545905e-05
8,0.66,-4.568509362009786e-05,-4.36497309412732e-05,-5.30104022407213e-05,-3.8912679511081974e-05,-3.860104004216781e-05,-3.83444355065699e-05,-4.2649207166353026e-05,-4.7992476683124014e-05,-4.111081395570861e-05,-4.0059960861495164e-05,0.00013065940978995523,4.9527371575151326e-05,-9.913030888654273e-06
9,0.6799999999999999,-4.4458272764668904e-05,-4.270681932579323e-05,-5.1515301032821436e-05,-3.806284921459214e-05,-3.8178047522475585e-05,-3.7697082834482534e-05,-4.173920421492192e-05,-4.689587908171413e-05,-4.0162732850906587e-05,-3.927906601685087e-05,0.00013036478358903234,5.007473111185802e-05,-9.394743902688647e-06
10,0.7,-4.32250335437925e-05,-4.163386899847916e-05,-4.9892558679636823e-05,-3.739355866005122e-05,-3.722755266680736e-05,-3.6985493290882174e-05,-4.077134997223322e-05,-4.603193908610703e-05,-3.9263008818597816e-05,-3.85390240413399e-05,0.00012979284728628114,5.045271805792215e-05,-9.089182996856494e-06
11,0.72,-4.192126698986048e-05,-4.0669955500365204e-05,-4.820187131382451e-05,-3.662030285392975e-05,-3.652661254709499e-05,-3.6432011227113795e-05,-3.975586844682202e-05,-4.5015071063246665e-05,-3.819734630281577e-05,-3.781707913674264e-05,0.00012956696609491345,5.078922312489146e-05,-8.595906086410764e-06
12,0.74,-4.0645111856984587e-05,-3.9585586994113094e-05,-4.664463899158239e-05,-3.586351856457252e-05,-3.564993619750154e-05,-3.5766425788517796e-05,-3.879079656135165e-05,-4.4012609219798955e-05,-3.7554826097017066e-05,-3.6894538782332316e-05,0.0001290020911939791,5.119425495214748e-05,-8.02474498512102e-06
13,0.76,-3.9368568122955005e-05,-3.857937455474148e-05,-4.510179219838408e-05,-3.4947451718376947e-05,-3.4832592707525856e-05,-3.51164370053427e-05,-3.7855032500153226e-05,-4.289920692322029e-05,-3.657326859325745e-05,-3.615808075891237e-05,0.00012815138109890497,5.112325177286138e-05,-7.457080543043736e-06
14,0.78,-3.810756205695016e-05,-3.7547915509815166e-05,-4.375391679123826e-05,-3.421807793236692e-05,-3.409302050741935e-05,-3.4360039022653743e-05,-3.680419946902961e-05,-4.1846063980353634e-05,-3.574851526063498e-05,-3.531524193706453e-05,0.00012707245775483848,5.123239917440678e-05,-7.047550773182256e-06
15,0.8,-3.691008689846034e-05,-3.658738280622849e-05,-4.226272485385562e-05,-3.3312018170230154e-05,-3.326182507235139e-05,-3.360631484617022e-05,-3.581288240565532e-05,-4.07610774926935e-05,-3.478784719606583e-05,-3.445992137399553e-05,0.00012600361971220003,5.1332983993387804e-05,-6.604313646650125e-06
16,0.8200000000000001,-3.572215862263844e-05,-3.5523221068293234e-05,-4.0869824103631376e-05,-3.241681408300315e-05,-3.2405778714374646e-05,-3.283595821798785e-05,-3.479135466530932e-05,-3.962712967707169e-05,-3.3926968221566256e-05,-3.361253484788955e-05,0.00012479437426686287,5.132281652752927e-05,-6.0705748719714044e-06
17,0.8400000000000001,-3.4663366663482206e-05,-3.451485779467263e-05,-3.941414085104166e-05,-3.15971467573089e-05,-3.1494615688867186e-05,-3.2041056256845537e-05,-3.378900884360978e-05,-3.848713703276669e-05,-3.301171474996767e-05,-3.273016066273179e-05,0.00012349696772606292,5.1018424668850404e-05,-5.64090192381773e-06
18,0.86,-3.3405797729816445e-05,-3.352871304775423e-05,-3.815696348223993e-05,-3.076570368853559e-05,-3.071243847270758e-05,-3.124609509661346e-05,-3.278142370101686e-05,-3.7459187457929796e-05,-3.2138496845478215e-05,-3.184621872260504e-05,0.00012205290167853546,5.0711784146165965e-05,-5.145486471009213e-06
19,0.88,-3.2380247237528205e-05,-3.251807733898588e-05,-3.692020529237759e-05,-2.99283942009786e-05,-2.989094602043358e-05,-3.050544903635471e-05,-3.1812605740305184e-05,-3.644630626738864e-05,-3.127256546870156e-05,-3.1089910149730606e-05,0.00012050804952556145,5.0450601326828554e-05,-4.83511064214155e-06
