,Non patent,Patent,Pharma Chemicals
USA,41986.95675409879,23236.25112969264,4678.260337625249
EUR,15426.262067590618,8386.501568988691,3927.786710997505
JAP,32103.894035455556,9472.08261747753,16493.663820654438
CHN,2438.783787819262,1629.689279779181,422.6359208018804
BRA,1301.2750783609915,787.1917396996312,260.2376414647843
IND,83.66346594692966,115.7516289938744,180.89957254384345
CAN,26842.3766887211,2266.1713447120324,42594.12996874035
KOR,23307.915952097377,13172.257753815556,1222.071016105428
RUS,4163.4422737451105,2314.309299903628,558.1789718941335
MEX,2377.141715219326,1405.764929073326,336.58468652784444
ZAF,1248.4884604107226,748.7430996294086,244.73043175068895
ROW,245.30048525677736,163.57168916426664,115.79006671745071
count,12.0,12.0,12.0
mean,12627.125063726882,5308.190506744147,5919.580762151967
std,14814.69395796945,7082.031838574813,12451.315833260736
min,83.66346594692966,115.7516289938744,115.79006671745071
25%,1288.0784238734243,777.5795796820755,256.3608390362605
50%,3301.1130307821863,1947.9303122456067,490.40744634800694
75%,24191.531136253307,8657.896831110902,4115.405117654441
max,41986.95675409879,23236.25112969264,42594.12996874035
