,Patent,Pharma Chemicals
USA,0.0335124040336244,0.016678417988727
EUR,0.0199153628707171,0.010576604219515
JAP,0.0384668866455386,0.0187433566345099
CHN,0.0041827680178714,0.0026033583609849
BRA,0.0020349514702872,0.0009129645414618
IND,0.0008982459771781,0.0007776418308317
CAN,0.0128843243738838,0.0044666535972758
KOR,0.0176727637278596,0.0052761185851017
RUS,0.0020659161369772,0.0007231106881823
MEX,0.0013429498430002,0.0009219262865077
ZAF,0.0023418402078058,0.0007427149930131
ROW,0.0030925513033139,0.0015570750795424
count,12.0,12.0
mean,0.011534247050671444,0.005331661900471109
std,0.01322818422614347,0.006470782241024249
min,0.0008982459771781,0.0007231106881823
25%,0.0020581749703047,0.000879133863804275
50%,0.0036376596605926497,0.00208021672026365
75%,0.018233413513573975,0.0066012399937050254
max,0.0384668866455386,0.0187433566345099
