,Patent,Pharma Chemicals,welfare
USA,12.0,12.0,-0.962932565201811
EUR,12.0,12.0,-1.7760699787673673
JAP,12.0,12.0,-2.0372778940561886
CHN,12.0,12.0,-1.955045409800988
BRA,12.0,12.0,-2.4505014440181583
IND,12.0,12.0,-2.6270262514388065
CAN,12.0,12.0,-1.0961120520570091
KOR,12.0,12.0,-1.1546693992171413
RUS,12.0,12.0,-2.7989955234891397
MEX,12.0,12.0,-2.59627613259525
ZAF,12.0,12.0,-2.6460457609887698
ROW,12.0,12.0,-3.1318618918283363
Negishi,,,-2.0896021953767274
Equal,,,-2.7490315196971835
