,Patent,Pharma Chemicals,welfare
USA,0.01,0.01,3.0802445755254695
EUR,0.01,0.01,4.289611909255498
JAP,0.01,0.01,4.55838872782401
CHN,12.0,12.0,12.055618323138106
BRA,12.0,12.0,11.503412875473458
IND,12.0,12.0,11.212992082537099
CAN,0.01,0.01,5.682488387054391
KOR,0.01,0.01,5.353743113238437
RUS,12.0,12.0,11.40647260886307
MEX,12.0,0.01,8.408443063930449
ZAF,12.0,12.0,11.32060225033753
ROW,12.0,0.01,8.061392162996881
Negishi,,,7.571504321245698
Equal,,,9.455610447195568
