,Patent,Pharma Chemicals
USA,0.0879393249062181,0.0879393249062181
EUR,0.1060183259202876,0.1060183259202876
JAP,0.1131656374462641,0.1131656374462641
CHN,0.1619481170969363,0.1619481170969363
BRA,0.1777998475425017,0.1777998475425017
IND,0.2415064252335923,0.2415064252335923
CAN,0.0748105331944239,0.0748105331944239
KOR,0.0780151096934616,0.0780151096934616
RUS,0.2436570215575501,0.2436570215575501
MEX,0.2048096631396782,0.2048096631396782
ZAF,0.1876060414167926,0.1876060414167926
ROW,1.5844731769776246,1.5844731769776246
count,12.0,12.0
mean,0.27181243534377764,0.27181243534377764
std,0.41779845014459416,0.41779845014459416
min,0.0748105331944239,0.0748105331944239
25%,0.10149857566677023,0.10149857566677023
50%,0.169873982319719,0.169873982319719
75%,0.21398385366315673,0.21398385366315673
max,1.5844731769776246,1.5844731769776246
