,Patent,Pharma Chemicals,welfare
USA,12.0,0.0100000002632991,5.934480592713214
EUR,12.0,0.0100000002632991,4.954721142058531
JAP,12.0,12.0,10.743280631970563
CHN,12.0,12.0,10.015197439040463
BRA,12.0,12.0,9.639428932472669
IND,12.0,12.0,9.255827651734734
CAN,12.0,12.0,12.027369318957852
KOR,12.0,12.0,11.718920226790019
RUS,12.0,12.0,9.142051108555947
MEX,12.0,12.0,9.496498184759687
ZAF,12.0,12.0,9.398676243813881
ROW,12.0,12.0,8.542731394687479
Negishi,,,8.110769854370943
Equal,,,8.887007813331522
