,Patent,Pharma Chemicals,welfare
USA,0.01,0.01,18.833971340022202
EUR,0.01,0.01,21.17104005890731
JAP,0.01,0.01,20.915897408814743
CHN,12.0,0.01,24.429218627980248
BRA,12.0,0.01,26.833983230101282
IND,12.0,12.0,33.54541202166021
CAN,0.01,0.01,26.14513577262467
KOR,0.01,0.01,25.454821951167887
RUS,12.0,0.01,27.075698032214305
MEX,0.01,0.01,21.079348797238623
ZAF,12.0,0.01,27.749715231483663
ROW,12.0,0.01,25.407243797643204
Negishi,,,23.67398528687501
Equal,,,27.511405158346875
