,Non patent,Patent,Pharma Chemicals
USA,52754.65004121432,37074.229653439026,7478.134145729596
EUR,20753.909223894945,12002.084793505072,6291.251933745725
JAP,84378.9540718355,4720.450224487218,3500.538584019023
CHN,3104.3138745591873,2265.98822561357,672.4262018375372
BRA,1524.9020703896604,1150.9667168523215,588.2753129630038
IND,159.72381201062478,53.776664361231326,257.09352376079397
CAN,31243.4828019346,20514.691934712147,21.137123130287176
KOR,31992.729151965803,19500.821355325243,1777.5048402989412
RUS,4971.2538963354655,3734.367635391503,1040.0782062594844
MEX,2898.62544208886,2138.2209431777255,654.0799198534803
ZAF,1486.6113188133309,1143.0991704847315,530.3087180956279
ROW,288.1970671185739,235.437808812962,201.93695656831525
count,12.0,12.0,12.0
mean,19629.77939768007,8711.177927180228,1917.7304555218177
std,26554.802464540888,11511.623684282487,2513.232464318492
min,159.72381201062478,53.776664361231326,21.137123130287176
25%,1515.329382495578,1148.999830260424,462.0049195119194
50%,4037.7838854473266,3000.1779305025366,663.2530608455088
75%,31430.7943894424,13876.768933960115,2208.263276228962
max,84378.9540718355,37074.229653439026,7478.134145729596
